alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,cal_null_size,n_cal
0.15,536,187,443,94,349,0.21218961625282168,0.4468629961587708,0.0646005204890466,0.4,6082,7,betting,all,6124
0.2,536,187,443,94,349,0.21218961625282168,0.4468629961587708,0.0646005204890466,0.4,6082,7,betting,all,6124
0.05,536,125,206,14,192,0.06796116504854369,0.26629680998613037,0.01118787928489421,0.4,5557,8,betting,all,4707
0.1,536,156,265,33,232,0.12452830188679245,0.3217753120665742,0.03134328358208955,0.4,5557,8,betting,all,4707
0.15,536,157,293,43,250,0.14675767918088736,0.34674063800277394,0.03260039090262971,0.4,5557,8,betting,all,4707
0.2,536,177,365,71,294,0.19452054794520549,0.4077669902912621,0.048104041480907155,0.4,5557,8,betting,all,4707
0.05,536,133,263,25,238,0.09505703422053231,0.30241423125794153,0.018204040131169195,0.4,5872,9,betting,all,6567
0.1,536,147,303,34,269,0.11221122112211221,0.3418043202033037,0.02039593004875289,0.4,5872,9,betting,all,6567
0.15,536,190,434,84,350,0.1935483870967742,0.44472681067344344,0.055336598258706474,0.4,5872,9,betting,all,6567
0.2,536,190,434,84,350,0.1935483870967742,0.44472681067344344,0.055336598258706474,0.4,5872,9,betting,all,6567
0.05,536,128,187,8,179,0.0427807486631016,0.2613138686131387,0.013992537313432836,0.4,5717,10,betting,all,6673
0.1,536,146,242,18,224,0.0743801652892562,0.327007299270073,0.025019135093761958,0.4,5717,10,betting,all,6673
0.15,536,187,358,65,293,0.18156424581005587,0.42773722627737226,0.0576608417539631,0.4,5717,10,betting,all,6673
0.2,536,187,358,65,293,0.18156424581005587,0.42773722627737226,0.0576608417539631,0.4,5717,10,betting,all,6673
0.05,536,112,206,18,188,0.08737864077669903,0.2896764252696456,0.016199639059603938,0.4,5724,11,betting,all,4940
0.1,536,138,262,37,225,0.14122137404580154,0.34668721109399075,0.028400066972828167,0.4,5724,11,betting,all,4940
0.15,536,161,310,48,262,0.15483870967741936,0.4036979969183359,0.038461709310589905,0.4,5724,11,betting,all,4940
0.2,536,162,327,59,268,0.18042813455657492,0.41294298921417566,0.039648483771618094,0.4,5724,11,betting,all,4940
0.05,536,124,222,25,197,0.11261261261261261,0.32348111658456485,0.021429311774461026,0.4,5422,12,betting,all,5242
0.1,536,145,267,43,224,0.16104868913857678,0.367816091954023,0.03474813432835821,0.4,5422,12,betting,all,5242
0.15,536,157,320,69,251,0.215625,0.4121510673234811,0.04874784730195177,0.4,5422,12,betting,all,5242
0.2,536,172,364,85,279,0.23351648351648352,0.458128078817734,0.060606522675086115,0.4,5422,12,betting,all,5242
0.05,536,115,221,20,201,0.09049773755656108,0.27800829875518673,0.01573383084577114,0.4,5732,13,betting,all,5844
0.1,536,141,305,55,250,0.18032786885245902,0.3457814661134163,0.04056730538610997,0.4,5732,13,betting,all,5844
0.15,536,161,404,112,292,0.27722772277227725,0.40387275242047027,0.05917316770015551,0.4,5732,13,betting,all,5844
0.2,536,161,404,112,292,0.27722772277227725,0.40387275242047027,0.05917316770015551,0.4,5732,13,betting,all,5844
0.05,536,122,207,13,194,0.06280193236714976,0.32550335570469796,0.0166044776119403,0.4,4919,14,betting,all,5719
