family_id,dataset,image_id,category_id,category_name,prompt,is_prompt_absent,num_candidates,num_rejected,fp,tp,fdp
coco:445:9:1332,coco,445,9,chair,chair,False,9,0,0,0,0.0
coco:446:6:1336,coco,446,6,bus,bus,True,8,0,0,0,0.0
coco:446:8:1337,coco,446,8,cat,cat,True,1,0,0,0,0.0
coco:447:10:1339,coco,447,10,cow,cow,True,1,0,0,0,0.0
coco:447:15:1338,coco,447,15,person,person,False,8,0,0,0,0.0
coco:449:7:1346,coco,449,7,car,car,True,3,0,0,0,0.0
coco:44:13:129,coco,44,13,horse,horse,False,1,0,0,0,0.0
coco:452:15:1353,coco,452,15,person,person,False,15,0,0,0,0.0
coco:452:8:1354,coco,452,8,cat,cat,True,4,0,0,0,0.0
coco:453:15:1356,coco,453,15,person,person,False,2,0,0,0,0.0
coco:453:4:1358,coco,453,4,boat,boat,True,4,0,0,0,0.0
coco:454:15:1359,coco,454,15,person,person,False,46,0,0,0,0.0
coco:456:10:1366,coco,456,10,cow,cow,True,4,0,0,0,0.0
coco:456:15:1365,coco,456,15,person,person,False,47,0,0,0,0.0
coco:458:15:1371,coco,458,15,person,person,False,8,0,0,0,0.0
coco:458:20:1373,coco,458,20,tvmonitor,tvmonitor,True,29,0,0,0,0.0
coco:459:9:1375,coco,459,9,chair,chair,True,13,0,0,0,0.0
coco:45:3:133,coco,45,3,bird,bird,True,1,0,0,0,0.0
coco:460:18:1379,coco,460,18,sofa,sofa,True,1,0,0,0,0.0
coco:463:1:1386,coco,463,1,aeroplane,aeroplane,False,3,0,0,0,0.0
coco:463:2:1387,coco,463,2,bicycle,bicycle,True,1,0,0,0,0.0
coco:463:8:1388,coco,463,8,cat,cat,True,1,0,0,0,0.0
coco:464:15:1389,coco,464,15,person,person,False,4,0,0,0,0.0
coco:465:13:1393,coco,465,13,horse,horse,True,3,0,0,0,0.0
coco:465:16:1392,coco,465,16,pottedplant,pottedplant,False,26,0,0,0,0.0
coco:465:1:1394,coco,465,1,aeroplane,aeroplane,True,9,0,0,0,0.0
coco:466:1:1397,coco,466,1,aeroplane,aeroplane,True,9,0,0,0,0.0
coco:466:8:1395,coco,466,8,cat,cat,False,3,0,0,0,0.0
coco:467:4:1398,coco,467,4,boat,boat,False,127,0,0,0,0.0
coco:468:14:1403,coco,468,14,motorbike,motorbike,True,6,0,0,0,0.0
coco:469:19:1406,coco,469,19,train,train,True,1,0,0,0,0.0
coco:469:7:1405,coco,469,7,car,car,True,7,0,0,0,0.0
coco:46:11:136,coco,46,11,diningtable,diningtable,True,3,0,0,0,0.0
coco:46:12:135,coco,46,12,dog,dog,False,1,0,0,0,0.0
coco:46:4:137,coco,46,4,boat,boat,True,4,0,0,0,0.0
coco:470:16:1408,coco,470,16,pottedplant,pottedplant,True,7,0,0,0,0.0
coco:471:12:1412,coco,471,12,dog,dog,True,1,0,0,0,0.0
coco:471:15:1410,coco,471,15,person,person,False,8,0,0,0,0.0
