alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.05,34,3,3,0,3,0.0,0.08333333333333333,0.0,0.0,0,7,betting,K<=5
0.05,92,10,13,0,13,0.0,0.025540275049115914,0.0,0.0,0,7,betting,5<K<=30
0.05,55,2,8,0,8,0.0,0.0107095046854083,0.0,0.0,0,7,betting,K>30
0.1,34,3,3,0,3,0.0,0.08333333333333333,0.0,0.0,0,7,betting,K<=5
0.1,92,23,26,0,26,0.0,0.05108055009823183,0.0,0.0,0,7,betting,5<K<=30
0.1,55,5,18,0,18,0.0,0.024096385542168676,0.0,0.0,0,7,betting,K>30
0.15,34,3,3,0,3,0.0,0.08333333333333333,0.0,0.0,0,7,betting,K<=5
0.15,92,33,36,0,36,0.0,0.07072691552062868,0.0,0.0,0,7,betting,5<K<=30
0.15,55,9,28,0,28,0.0,0.03748326639892905,0.0,0.0,0,7,betting,K>30
0.2,34,3,3,0,3,0.0,0.08333333333333333,0.0,0.0,0,7,betting,K<=5
0.2,92,33,36,0,36,0.0,0.07072691552062868,0.0,0.0,0,7,betting,5<K<=30
0.2,55,15,38,0,38,0.0,0.050870147255689425,0.0,0.0,0,7,betting,K>30
0.05,53,9,20,0,20,0.0,0.02911208151382824,0.0,0.0,0,8,betting,K>30
0.05,109,35,38,0,38,0.0,0.059748427672955975,0.0,0.0,0,8,betting,5<K<=30
0.05,19,0,0,0,0,0.0,0.0,0.0,0.0,0,8,betting,K<=5
0.1,53,21,36,0,36,0.0,0.05240174672489083,0.0,0.0,0,8,betting,K>30
0.1,109,35,38,0,38,0.0,0.059748427672955975,0.0,0.0,0,8,betting,5<K<=30
0.1,19,0,0,0,0,0.0,0.0,0.0,0.0,0,8,betting,K<=5
0.15,53,25,41,2,39,0.04878048780487805,0.056768558951965066,0.018867924528301886,0.0,0,8,betting,K>30
0.15,109,35,38,0,38,0.0,0.059748427672955975,0.0,0.0,0,8,betting,5<K<=30
0.15,19,0,0,0,0,0.0,0.0,0.0,0.0,0,8,betting,K<=5
0.2,53,26,43,2,41,0.046511627906976744,0.05967976710334789,0.018867924528301886,0.0,0,8,betting,K>30
0.2,109,35,38,0,38,0.0,0.059748427672955975,0.0,0.0,0,8,betting,5<K<=30
0.2,19,0,0,0,0,0.0,0.0,0.0,0.0,0,8,betting,K<=5
0.05,56,1,2,0,2,0.0,0.0027472527472527475,0.0,0.0,0,9,betting,K>30
0.05,95,19,25,0,25,0.0,0.04258943781942078,0.0,0.0,0,9,betting,5<K<=30
0.05,30,1,1,0,1,0.0,0.029411764705882353,0.0,0.0,0,9,betting,K<=5
0.1,56,4,7,0,7,0.0,0.009615384615384616,0.0,0.0,0,9,betting,K>30
0.1,95,31,37,0,37,0.0,0.06303236797274275,0.0,0.0,0,9,betting,5<K<=30
0.1,30,1,1,0,1,0.0,0.029411764705882353,0.0,0.0,0,9,betting,K<=5
0.15,56,6,9,0,9,0.0,0.012362637362637362,0.0,0.0,0,9,betting,K>30
0.15,95,31,37,0,37,0.0,0.06303236797274275,0.0,0.0,0,9,betting,5<K<=30
0.15,30,1,1,0,1,0.0,0.029411764705882353,0.0,0.0,0,9,betting,K<=5
0.2,56,7,11,0,11,0.0,0.01510989010989011,0.0,0.0,0,9,betting,K>30
0.2,95,31,37,0,37,0.0,0.06303236797274275,0.0,0.0,0,9,betting,5<K<=30
0.2,30,1,1,0,1,0.0,0.029411764705882353,0.0,0.0,0,9,betting,K<=5
0.05,57,0,0,0,0,0.0,0.0,0.0,0.0,0,10,betting,K>30
0.05,92,9,13,0,13,0.0,0.022530329289428077,0.0,0.0,0,10,betting,5<K<=30
0.05,32,2,2,0,2,0.0,0.08695652173913043,0.0,0.0,0,10,betting,K<=5
0.1,57,5,11,0,11,0.0,0.014248704663212436,0.0,0.0,0,10,betting,K>30
0.1,92,26,33,0,33,0.0,0.05719237435008666,0.0,0.0,0,10,betting,5<K<=30
0.1,32,2,2,0,2,0.0,0.08695652173913043,0.0,0.0,0,10,betting,K<=5
0.15,57,7,16,0,16,0.0,0.02072538860103627,0.0,0.0,0,10,betting,K>30
0.15,92,36,43,0,43,0.0,0.07452339688041594,0.0,0.0,0,10,betting,5<K<=30
0.15,32,2,2,0,2,0.0,0.08695652173913043,0.0,0.0,0,10,betting,K<=5
0.2,57,11,22,0,22,0.0,0.02849740932642487,0.0,0.0,0,10,betting,K>30
0.2,92,36,43,0,43,0.0,0.07452339688041594,0.0,0.0,0,10,betting,5<K<=30
0.2,32,2,2,0,2,0.0,0.08695652173913043,0.0,0.0,0,10,betting,K<=5
0.05,58,4,9,0,9,0.0,0.011612903225806452,0.0,0.0,0,11,betting,K>30
0.05,93,32,35,0,35,0.0,0.060658578856152515,0.0,0.0,0,11,betting,5<K<=30
0.05,30,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,K<=5
0.1,58,10,15,0,15,0.0,0.01935483870967742,0.0,0.0,0,11,betting,K>30
0.1,93,33,36,0,36,0.0,0.06239168110918544,0.0,0.0,0,11,betting,5<K<=30
0.1,30,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,K<=5
0.15,58,14,22,0,22,0.0,0.02838709677419355,0.0,0.0,0,11,betting,K>30
0.15,93,33,36,0,36,0.0,0.06239168110918544,0.0,0.0,0,11,betting,5<K<=30
0.15,30,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,K<=5
0.2,58,15,23,0,23,0.0,0.02967741935483871,0.0,0.0,0,11,betting,K>30
0.2,93,33,38,0,38,0.0,0.0658578856152513,0.0,0.0,0,11,betting,5<K<=30
0.2,30,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,K<=5
0.05,28,1,1,0,1,0.0,0.02631578947368421,0.0,0.0,0,12,betting,K<=5
0.05,62,1,2,0,2,0.0,0.002229654403567447,0.0,0.0,0,12,betting,K>30
0.05,91,11,15,0,15,0.0,0.026785714285714284,0.0,0.0,0,12,betting,5<K<=30
0.1,28,1,1,0,1,0.0,0.02631578947368421,0.0,0.0,0,12,betting,K<=5
0.1,62,15,34,0,34,0.0,0.0379041248606466,0.0,0.0,0,12,betting,K>30
0.1,91,20,24,0,24,0.0,0.04285714285714286,0.0,0.0,0,12,betting,5<K<=30
0.15,28,1,1,0,1,0.0,0.02631578947368421,0.0,0.0,0,12,betting,K<=5
0.15,62,21,44,0,44,0.0,0.04905239687848383,0.0,0.0,0,12,betting,K>30
0.15,91,20,24,0,24,0.0,0.04285714285714286,0.0,0.0,0,12,betting,5<K<=30
0.2,28,1,1,0,1,0.0,0.02631578947368421,0.0,0.0,0,12,betting,K<=5
0.2,62,25,51,0,51,0.0,0.056856187290969896,0.0,0.0,0,12,betting,K>30
0.2,91,20,24,0,24,0.0,0.04285714285714286,0.0,0.0,0,12,betting,5<K<=30
0.05,58,20,37,0,37,0.0,0.04642409033877039,0.0,0.0,0,13,betting,K>30
0.05,97,31,41,0,41,0.0,0.07032590051457976,0.0,0.0,0,13,betting,5<K<=30
0.05,26,0,0,0,0,0.0,0.0,0.0,0.0,0,13,betting,K<=5
0.1,58,25,44,0,44,0.0,0.05520702634880803,0.0,0.0,0,13,betting,K>30
0.1,97,31,41,0,41,0.0,0.07032590051457976,0.0,0.0,0,13,betting,5<K<=30
0.1,26,0,0,0,0,0.0,0.0,0.0,0.0,0,13,betting,K<=5
0.15,58,25,44,0,44,0.0,0.05520702634880803,0.0,0.0,0,13,betting,K>30
0.15,97,31,41,0,41,0.0,0.07032590051457976,0.0,0.0,0,13,betting,5<K<=30
0.15,26,0,0,0,0,0.0,0.0,0.0,0.0,0,13,betting,K<=5
0.2,58,25,44,0,44,0.0,0.05520702634880803,0.0,0.0,0,13,betting,K>30
0.2,97,31,41,0,41,0.0,0.07032590051457976,0.0,0.0,0,13,betting,5<K<=30
0.2,26,0,0,0,0,0.0,0.0,0.0,0.0,0,13,betting,K<=5
0.05,66,1,3,0,3,0.0,0.003015075376884422,0.0,0.0,0,14,betting,K>30
0.05,86,9,10,0,10,0.0,0.02207505518763797,0.0,0.0,0,14,betting,5<K<=30
0.05,29,1,1,0,1,0.0,0.025,0.0,0.0,0,14,betting,K<=5
0.1,66,9,23,0,23,0.0,0.023115577889447236,0.0,0.0,0,14,betting,K>30
0.1,86,19,21,0,21,0.0,0.046357615894039736,0.0,0.0,0,14,betting,5<K<=30
0.1,29,1,1,0,1,0.0,0.025,0.0,0.0,0,14,betting,K<=5
0.15,66,14,29,0,29,0.0,0.02914572864321608,0.0,0.0,0,14,betting,K>30
0.15,86,21,23,0,23,0.0,0.05077262693156733,0.0,0.0,0,14,betting,5<K<=30
0.15,29,1,1,0,1,0.0,0.025,0.0,0.0,0,14,betting,K<=5
0.2,66,17,34,0,34,0.0,0.034170854271356785,0.0,0.0,0,14,betting,K>30
0.2,86,21,23,0,23,0.0,0.05077262693156733,0.0,0.0,0,14,betting,5<K<=30
0.2,29,1,1,0,1,0.0,0.025,0.0,0.0,0,14,betting,K<=5
0.05,94,6,14,1,13,0.07142857142857142,0.021848739495798318,0.005319148936170213,0.0,0,15,betting,5<K<=30
0.05,56,0,0,0,0,0.0,0.0,0.0,0.0,0,15,betting,K>30
0.05,31,3,3,0,3,0.0,0.08333333333333333,0.0,0.0,0,15,betting,K<=5
0.1,94,20,31,1,30,0.03225806451612903,0.05042016806722689,0.005319148936170213,0.0,0,15,betting,5<K<=30
0.1,56,2,6,0,6,0.0,0.00975609756097561,0.0,0.0,0,15,betting,K>30
0.1,31,3,3,0,3,0.0,0.08333333333333333,0.0,0.0,0,15,betting,K<=5
0.15,94,33,44,1,43,0.022727272727272728,0.07226890756302522,0.005319148936170213,0.0,0,15,betting,5<K<=30
0.15,56,9,22,0,22,0.0,0.03577235772357724,0.0,0.0,0,15,betting,K>30
0.15,31,3,3,0,3,0.0,0.08333333333333333,0.0,0.0,0,15,betting,K<=5
0.2,94,38,49,2,47,0.04081632653061224,0.07899159663865546,0.015957446808510637,0.0,0,15,betting,5<K<=30
0.2,56,12,27,0,27,0.0,0.04390243902439024,0.0,0.0,0,15,betting,K>30
0.2,31,3,3,0,3,0.0,0.08333333333333333,0.0,0.0,0,15,betting,K<=5
0.05,58,4,12,0,12,0.0,0.012698412698412698,0.0,0.0,0,16,betting,K>30
0.05,94,17,18,0,18,0.0,0.037422037422037424,0.0,0.0,0,16,betting,5<K<=30
0.05,29,1,1,0,1,0.0,0.03571428571428571,0.0,0.0,0,16,betting,K<=5
0.1,58,11,26,0,26,0.0,0.027513227513227514,0.0,0.0,0,16,betting,K>30
0.1,94,28,29,0,29,0.0,0.060291060291060294,0.0,0.0,0,16,betting,5<K<=30
0.1,29,1,1,0,1,0.0,0.03571428571428571,0.0,0.0,0,16,betting,K<=5
0.15,58,16,37,0,37,0.0,0.039153439153439155,0.0,0.0,0,16,betting,K>30
0.15,94,28,29,0,29,0.0,0.060291060291060294,0.0,0.0,0,16,betting,5<K<=30
