seed,alpha,global_m,global_C_m,global_phi_max,fit_phi_max,mean_K,T1,phi_max_below_T1
13,0.1,31606,31799.930724586804,14.767255388299692,14.767255388299692,28.263157894736842,286.92245316162314,True
13,0.15,31606,31799.930724586804,14.767255388299692,14.767255388299692,28.263157894736842,190.70806578410821,True
13,0.2,31606,31799.930724586804,14.767255388299692,14.767255388299692,28.263157894736842,142.81692670296724,True
14,0.05,31414,31356.313195882303,14.603955061226438,14.603955061226438,29.10359231411863,591.9524419977893,True
14,0.1,31414,31356.313195882303,14.603955061226438,14.603955061226438,29.10359231411863,293.2085879141906,True
14,0.15,31414,31356.313195882303,14.603955061226438,14.603955061226438,29.10359231411863,194.865006618001,True
14,0.2,31414,31356.313195882303,14.603955061226438,14.603955061226438,29.10359231411863,145.9220454315868,True
15,0.05,32294,31823.949540169175,14.699850980414167,14.699850980414167,28.047619047619047,562.5415478090872,True
15,0.1,32294,31823.949540169175,14.699850980414167,14.699850980414167,28.047619047619047,278.8065874738347,True
15,0.15,32294,31823.949540169175,14.699850980414167,14.699850980414167,28.047619047619047,185.32983929898973,True
15,0.2,32294,31823.949540169175,14.699850980414167,14.699850980414167,28.047619047619047,138.79530750951236,True
16,0.05,31503,31326.74463324801,14.471748947666569,14.471748947666569,28.005847953216374,567.0471581781497,True
16,0.1,31503,31326.74463324801,14.471748947666569,14.471748947666569,28.005847953216374,280.9805566964934,True
16,0.15,31503,31326.74463324801,14.471748947666569,14.471748947666569,28.005847953216374,186.76199319724535,True
16,0.2,31503,31326.74463324801,14.471748947666569,14.471748947666569,28.005847953216374,139.86303803412892,True
17,0.05,30813,31533.121247148298,14.660456355073077,14.660456355073077,27.23141186299081,567.3665239816575,True
17,0.1,30813,31533.121247148298,14.660456355073077,14.660456355073077,27.23141186299081,281.1539007185287,True
17,0.15,30813,31533.121247148298,14.660456355073077,14.660456355073077,27.23141186299081,186.88051584841483,True
17,0.2,30813,31533.121247148298,14.660456355073077,14.660456355073077,27.23141186299081,139.95302956387502,True
18,0.05,31590,31827.96781859702,14.397089318131755,14.397089318131755,28.562238930659984,586.1284301078908,True
18,0.1,31590,31827.96781859702,14.397089318131755,14.397089318131755,28.562238930659984,290.3903708868213,True
18,0.15,31590,31827.96781859702,14.397089318131755,14.397089318131755,28.562238930659984,193.00659937294571,True
18,0.2,31590,31827.96781859702,14.397089318131755,14.397089318131755,28.562238930659984,144.53583116328258,True
19,0.05,32496,32445.13754450881,14.22557881214847,14.22557881214847,28.16374269005848,572.2955910490583,True
19,0.1,32496,32445.13754450881,14.22557881214847,14.22557881214847,28.16374269005848,283.64619621265,True
19,0.15,32496,32445.13754450881,14.22557881214847,14.22557881214847,28.16374269005848,188.54801430010392,True
19,0.2,32496,32445.13754450881,14.22557881214847,14.22557881214847,28.16374269005848,141.20586376596825,True
