seed,template,own_model,phi_max,num_fit_families,num_cal_families,num_fit_candidates,num_cal_candidates,template_count
12,a visible {category} in the scene,True,6.947347855817134,131,46,3749,917,7
12,a {category} in the scene,True,11.407714430722383,133,42,3308,819,7
12,a photo containing a {category},True,5.074090909090908,120,44,3726,1215,7
12,a photo of a {category},True,9.377616747181966,104,45,3175,1148,7
12,the {category} in this image,True,8.481545559400232,144,34,4331,988,7
13,a {category} object,True,8.382203162690967,136,46,3419,1333,7
13,a small {category} near the center,True,11.334716459197786,131,55,3359,1710,7
13,a visible {category} in the scene,True,5.664489795918366,126,47,4045,1071,7
13,a {category} in the scene,True,17.56917938931298,132,38,3048,945,7
13,a photo containing a {category},True,9.46045197740113,121,38,3366,1040,7
13,a photo of a {category},True,15.952752185211434,118,32,3025,998,7
13,the {category} in this image,True,9.20298656047785,134,43,4329,1240,7
14,a {category} object,True,9.047009698275861,132,42,3631,1163,7
14,a small {category} near the center,True,9.487252599798724,119,54,3088,1531,7
14,a visible {category} in the scene,True,9.080735411670663,132,39,3526,1135,7
14,a {category} in the scene,True,14.718520220588236,131,44,2897,1482,7
14,a photo containing a {category},True,10.152879581151835,116,43,3061,1394,7
14,a photo of a {category},True,10.181538461538462,129,42,3409,1556,7
14,the {category} in this image,True,8.030116238112011,139,35,4319,997,7
15,a {category} object,True,11.239271255060729,139,41,3746,1326,7
15,a small {category} near the center,True,8.63660777385159,130,49,3339,1690,7
15,a visible {category} in the scene,True,6.0379053461875545,127,48,3408,909,7
15,a {category} in the scene,True,15.10948905109489,128,39,3426,728,7
15,a photo containing a {category},True,9.582446808510637,125,44,3631,1407,7
15,a photo of a {category},True,13.249459459459459,121,34,3907,804,7
15,the {category} in this image,True,5.791941391941392,128,44,4038,1539,7
16,a {category} object,True,9.700956244566791,132,40,3602,772,7
16,a small {category} near the center,True,8.213166144200626,135,46,3303,1729,7
16,a visible {category} in the scene,True,8.975421972164643,133,43,3178,1395,7
16,a {category} in the scene,True,21.980380134886573,123,42,2941,1054,7
16,a photo containing a {category},True,10.54054054054054,130,37,3971,1122,7
16,a photo of a {category},True,9.525281803542674,125,40,3882,1183,7
16,the {category} in this image,True,10.887537993920972,120,51,3657,1890,7
17,a {category} object,True,10.512605042016807,130,51,3831,1124,7
17,a small {category} near the center,True,8.095404159920289,137,44,3710,1256,7
17,a visible {category} in the scene,True,5.660056657223796,133,37,4078,1077,7
17,a {category} in the scene,True,26.968393613554902,126,47,2973,1104,7
17,a photo containing a {category},True,8.658823529411764,128,38,3695,1091,7
17,a photo of a {category},True,9.504273504273504,120,39,3446,1549,7
17,the {category} in this image,True,13.915035725380553,124,43,3957,1162,7
18,a {category} object,True,11.744617380025941,136,43,4034,983,7
18,a small {category} near the center,True,7.825917546505782,134,46,3423,1446,7
18,a visible {category} in the scene,True,9.42762474012474,130,48,3591,1317,7
18,a {category} in the scene,True,26.312820512820515,132,43,3032,841,7
18,a photo containing a {category},True,9.092601508586103,127,35,3582,1012,7
18,a photo of a {category},True,7.24368842364532,116,39,3209,1156,7
18,the {category} in this image,True,9.451206225680934,123,45,3293,2152,7
19,a {category} object,True,9.943656716417912,140,40,3915,949,7
19,a small {category} near the center,True,8.075650812292032,152,34,4445,708,7
19,a visible {category} in the scene,True,7.623051830373323,131,40,4020,1062,7
19,a {category} in the scene,True,17.56661316211878,118,50,2843,1138,7
19,a photo containing a {category},True,9.130434782608695,121,48,3991,1305,7
19,a photo of a {category},True,9.21259842519685,108,42,3084,1493,7
19,the {category} in this image,True,9.808571428571428,128,45,3498,1728,7
0,a clear photo of a {category},True,5.538194444444445,19,8,309,211,50
0,a hanging {category},True,3.2489361702127657,17,7,443,109,50
0,a nearby {category},True,5.39,21,2,479,14,50
0,a side view of a {category},True,8.1651376146789,22,7,483,235,50
0,a small {category} near the center,True,3.056122448979592,23,6,537,120,50
0,a blurry {category},True,5.202380952380952,22,9,834,215,50
0,a scene featuring a {category},False,13.023583131882889,18,5,695,143,50
0,a natural image of a {category},True,5.096153846153847,20,3,474,44,50
0,a standing {category},True,3.7049180327868854,13,3,213,171,50
0,a natural {category},True,6.830808080808081,25,6,513,111,50
0,an actual {category},True,3.6907894736842106,13,6,326,218,50
0,a {category} next to a wall,True,3.9374999999999996,21,4,407,81,50
0,a cropped view of a {category},True,6.504424778761062,26,9,408,523,50
0,a surveillance-style view of a {category},True,5.711111111111111,12,7,444,234,50
0,a photo containing a {category},True,3.4827067669172935,19,2,707,39,50
0,a sitting {category},True,6.5963302752293576,20,6,668,152,50
0,a real {category},True,6.378378378378378,20,7,659,207,50
0,a photographic {category},True,3.5294117647058822,15,6,353,121,50
0,the {category} in this image,True,4.475247524752476,16,8,403,391,50
0,a sharp {category},True,2.9095890410958902,15,9,309,290,50
0,a bright {category},True,2.702380952380952,14,6,629,128,50
0,a front view of a {category},True,7.947368421052631,16,4,398,67,50
0,a moving {category},True,4.93559718969555,20,10,805,368,50
0,a high-resolution view of a {category},True,4.94927536231884,21,6,615,135,50
0,a stacked {category},True,5.423423423423424,16,3,275,45,50
0,a {category} object,True,4.478504672897196,20,5,546,114,50
0,a visible {category} in the scene,True,7.945205479452055,13,4,305,156,50
0,a partial view of a {category},True,3.073529411764706,20,3,569,23,50
0,a dark {category},True,3.2257425742574255,21,8,484,169,50
0,a {category} in the scene,True,9.226102941176471,23,6,693,325,50
0,a close-up of a {category},True,7.033333333333334,14,3,382,32,50
0,a lying {category},True,3.524271844660194,20,7,346,105,50
0,a parked {category},True,5.491913746630727,17,4,761,107,50
0,a tiny {category},True,5.269662921348314,13,4,402,178,50
0,a messy view of a {category},True,5.363636363636364,16,9,470,327,50
0,a clean view of a {category},True,3.875,8,11,241,398,50
0,a distant {category},True,4.785714285714286,17,7,411,104,50
0,a low-resolution view of a {category},True,4.165765765765765,22,3,529,104,50
0,a man-made {category},True,7.954545454545454,15,5,277,71,50
0,a wide-angle view with a {category},False,13.023583131882889,13,6,333,174,50
0,a {category} on a table,True,4.080357142857142,17,3,417,85,50
0,a photo of a {category},True,2.972727272727272,14,6,190,204,50
0,a full view of a {category},True,12.867768595041323,16,4,480,77,50
0,a {category} on the ground,True,3.5406593406593405,15,10,468,229,50
0,a large {category},True,4.142857142857143,14,12,238,318,50
0,a single {category},True,17.73728813559322,18,10,556,240,50
0,a real-world {category},True,3.1901408450704225,16,4,273,75,50
0,a zoomed view of a {category},True,9.465,17,3,571,68,50
0,an image showing a {category},True,4.836065573770491,29,6,788,163,50
0,a picture with a {category},True,4.383838383838384,26,7,590,391,50
1,a clear photo of a {category},True,4.206185567010309,17,6,369,107,50
1,a hanging {category},True,9.795918367346939,18,7,514,196,50
1,a nearby {category},True,2.1505376344086025,15,3,433,24,50
1,a side view of a {category},True,3.3000000000000003,18,8,335,145,50
1,a small {category} near the center,True,6.234567901234567,18,7,284,197,50
1,a blurry {category},True,3.348684210526316,19,9,463,306,50
1,a scene featuring a {category},True,3.0037453183520597,16,6,731,122,50
1,a natural image of a {category},True,4.8,17,8,554,181,50
1,a standing {category},True,4.0898876404494375,18,6,333,253,50
1,a natural {category},True,7.577205882352941,26,6,663,98,50
1,an actual {category},True,4.755102040816326,16,4,410,79,50
1,a {category} next to a wall,True,4.373626373626374,20,4,357,78,50
1,a cropped view of a {category},True,5.371951219512196,31,10,885,195,50
1,a surveillance-style view of a {category},True,5.578947368421052,17,2,465,27,50
1,a photo containing a {category},False,13.30422140120416,16,3,619,47,50
1,a sitting {category},True,6.8809523809523805,20,4,523,42,50
1,a real {category},True,4.6138613861386135,21,4,640,64,50
1,a photographic {category},True,3.528846153846154,14,3,323,92,50
1,the {category} in this image,True,7.5,19,6,467,321,50
1,a sharp {category},True,5.457446808510639,19,5,447,115,50
1,a bright {category},True,5.781710914454277,17,5,443,335,50
1,a front view of a {category},True,7.5625,16,4,323,261,50
1,a moving {category},True,4.147321428571429,26,9,909,403,50
1,a high-resolution view of a {category},True,7.758152173913043,22,2,503,51,50
1,a stacked {category},True,2.9651162790697674,12,6,200,90,50
1,a {category} object,True,3.8045977011494254,14,8,308,284,50
1,a visible {category} in the scene,True,7.544642857142858,16,4,459,122,50
1,a partial view of a {category},True,4.685714285714285,22,7,714,164,50
1,a dark {category},True,4.230769230769231,17,10,348,206,50
1,a {category} in the scene,True,9.023255813953488,17,6,551,203,50
1,a close-up of a {category},True,8.049645390070921,16,3,398,145,50
1,a lying {category},True,7.857142857142857,20,5,480,157,50
1,a parked {category},True,2.8896746817538896,14,5,622,249,50
1,a tiny {category},True,4.158333333333333,13,3,429,18,50
1,a messy view of a {category},True,6.972222222222222,19,11,683,255,50
1,a clean view of a {category},True,3.22,12,8,413,276,50
1,a distant {category},True,3.2043956043956046,15,7,417,151,50
1,a low-resolution view of a {category},True,4.864077669902913,16,8,444,246,50
1,a man-made {category},True,7.573099415204679,18,5,230,199,50
1,a wide-angle view with a {category},True,3.4847560975609753,18,7,337,164,50
1,a {category} on a table,True,3.8769230769230774,16,5,524,157,50
1,a photo of a {category},True,6.588235294117647,16,4,365,62,50
1,a full view of a {category},True,12.46551724137931,13,7,438,214,50
1,a {category} on the ground,True,5.085106382978724,24,1,651,5,50
1,a large {category},True,5.1938775510204085,18,9,447,144,50
1,a single {category},True,8.993788819875776,22,7,725,314,50
1,a real-world {category},True,2.9423076923076925,15,2,236,59,50
1,a zoomed view of a {category},True,12.631578947368421,14,6,535,310,50
1,an image showing a {category},True,4.2741433021806845,24,13,633,328,50
1,a picture with a {category},True,3.051546391752577,21,11,529,212,50
2,a clear photo of a {category},True,3.024590163934426,21,6,454,45,50
2,a hanging {category},True,3.8494382022471907,15,6,500,112,50
2,a nearby {category},True,3.2526315789473688,15,6,450,170,50
2,a side view of a {category},True,2.743119266055046,23,6,547,80,50
2,a small {category} near the center,True,4.053097345132744,18,7,419,107,50
2,a blurry {category},True,5.424418604651163,25,7,902,176,50
2,a scene featuring a {category},True,7.180851063829787,17,4,609,97,50
2,a natural image of a {category},True,4.851851851851852,20,4,472,242,50
2,a standing {category},True,3.551470588235294,16,7,425,156,50
2,a natural {category},True,5.009708737864077,19,11,459,324,50
2,an actual {category},True,3.984375,17,4,446,121,50
2,a {category} next to a wall,True,3.959349593495935,21,3,450,34,50
2,a cropped view of a {category},True,4.204260651629072,29,7,644,161,50
2,a surveillance-style view of a {category},True,4.637593984962406,20,4,706,27,50
2,a photo containing a {category},True,3.1237113402061856,17,3,442,190,50
2,a sitting {category},True,8.14368932038835,17,7,642,123,50
2,a real {category},True,7.4035714285714285,19,7,643,223,50
2,a photographic {category},True,3.816455696202532,13,4,347,58,50
2,the {category} in this image,True,6.036585365853658,15,13,281,458,50
2,a sharp {category},True,2.6666666666666665,21,4,321,99,50
2,a bright {category},True,4.909836065573771,16,6,561,126,50
2,a front view of a {category},True,7.8685897435897445,14,4,435,136,50
2,a moving {category},True,6.029850746268656,24,5,782,286,50
2,a high-resolution view of a {category},True,3.7582417582417587,15,9,501,184,50
2,a stacked {category},True,4.7565543071161045,15,6,259,92,50
2,a {category} object,True,4.700934579439252,16,9,450,315,50
2,a visible {category} in the scene,True,3.2857142857142856,11,9,294,341,50
2,a partial view of a {category},True,5.6934812760055475,18,9,764,318,50
2,a dark {category},True,3.2586206896551726,15,11,339,178,50
2,a {category} in the scene,True,11.610256410256412,22,6,806,378,50
2,a close-up of a {category},True,7.363945578231292,12,5,387,142,50
2,a lying {category},True,5.654296875,22,8,547,124,50
2,a parked {category},True,3.690265486725664,16,6,787,167,50
2,a tiny {category},True,7.075892857142858,16,3,586,94,50
2,a messy view of a {category},True,4.999999999999999,22,5,623,122,50
2,a clean view of a {category},True,3.666666666666667,13,6,480,201,50
2,a distant {category},True,3.5621052631578944,18,5,499,104,50
2,a low-resolution view of a {category},True,3.595454545454545,23,2,741,24,50
2,a man-made {category},True,14.357142857142856,15,5,236,101,50
2,a wide-angle view with a {category},True,3.193548387096774,15,6,282,64,50
2,a {category} on a table,True,4.1056603773584905,14,6,490,169,50
2,a photo of a {category},True,6.735159817351598,16,6,270,95,50
2,a full view of a {category},True,6.861111111111111,15,5,454,182,50
2,a {category} on the ground,True,4.486274509803922,15,8,514,136,50
2,a large {category},True,12.878787878787879,23,7,449,112,50
2,a single {category},True,17.161290322580644,18,5,465,426,50
2,a real-world {category},True,3.6379310344827585,13,3,199,75,50
2,a zoomed view of a {category},True,8.21111111111111,18,1,687,34,50
2,an image showing a {category},True,3.6585365853658542,24,7,638,144,50
2,a picture with a {category},True,8.74090909090909,26,6,591,408,50
3,a clear photo of a {category},True,5.459770114942529,20,6,433,70,50
3,a hanging {category},True,3.2855113636363633,19,5,699,128,50
3,a nearby {category},False,12.633155183205739,11,6,178,358,50
3,a side view of a {category},True,2.9362831858407077,20,7,506,72,50
3,a small {category} near the center,True,3.3193069306930694,21,6,400,188,50
3,a blurry {category},True,3.2661498708010335,23,9,601,405,50
3,a scene featuring a {category},True,8.108108108108109,14,6,314,508,50
3,a natural image of a {category},True,4.734042553191489,15,9,391,268,50
3,a standing {category},True,4.231578947368421,14,6,363,195,50
3,a natural {category},True,3.428571428571429,29,5,645,178,50
3,an actual {category},True,3.6374999999999997,16,3,340,94,50
3,a {category} next to a wall,True,4.524822695035461,18,8,307,230,50
3,a cropped view of a {category},True,10.368421052631579,25,10,564,439,50
3,a surveillance-style view of a {category},True,3.404819277108434,15,8,398,331,50
3,a photo containing a {category},True,3.891891891891892,15,4,330,283,50
3,a sitting {category},True,4.045000000000001,18,8,749,176,50
3,a real {category},True,7.832142857142856,20,5,683,140,50
3,a photographic {category},True,3.3875,16,2,478,27,50
3,the {category} in this image,True,10.052173913043479,20,7,533,316,50
3,a sharp {category},True,1.8754208754208754,21,5,496,107,50
3,a bright {category},True,4.808743169398907,18,3,666,85,50
3,a front view of a {category},True,4.7491408934707895,18,1,628,4,50
3,a moving {category},True,6.06359649122807,18,8,507,149,50
3,a high-resolution view of a {category},True,6.2105263157894735,23,5,761,72,50
3,a stacked {category},True,3.583333333333333,17,5,306,62,50
3,a {category} object,True,3.989610389610389,21,2,718,14,50
3,a visible {category} in the scene,True,3.2232558139534886,14,4,394,132,50
3,a partial view of a {category},True,3.3283018867924525,23,8,534,662,50
3,a dark {category},True,6.292735042735043,27,8,546,222,50
3,a {category} in the scene,True,8.583941605839415,25,7,1006,269,50
3,a close-up of a {category},True,2.475,10,7,211,246,50
3,a lying {category},True,5.696969696969697,15,10,362,175,50
3,a parked {category},True,11.589912280701753,15,4,709,240,50
3,a tiny {category},True,6.5625,12,5,407,146,50
3,a messy view of a {category},True,9.34862385321101,26,7,968,94,50
3,a clean view of a {category},True,3.4090909090909087,14,3,628,75,50
3,a distant {category},True,3.9166666666666665,17,5,364,80,50
3,a low-resolution view of a {category},True,6.622023809523809,20,9,409,325,50
3,a man-made {category},True,8.19277108433735,18,5,355,63,50
3,a wide-angle view with a {category},True,5.037735849056603,11,10,232,347,50
3,a {category} on a table,True,7.688888888888889,15,3,307,139,50
3,a photo of a {category},True,6.008230452674897,18,3,277,75,50
3,a full view of a {category},True,13.0,14,2,374,27,50
3,a {category} on the ground,True,5.327102803738318,17,9,517,200,50
3,a large {category},True,3.3749999999999996,21,5,434,125,50
3,a single {category},True,4.991830065359477,14,9,604,277,50
3,a real-world {category},True,4.647058823529412,13,7,227,98,50
3,a zoomed view of a {category},True,5.049808429118774,14,5,586,246,50
3,an image showing a {category},True,6.514830508474576,24,4,573,64,50
3,a picture with a {category},True,5.062499999999999,16,11,422,172,50
4,a clear photo of a {category},True,2.8664383561643834,15,6,260,127,50
4,a hanging {category},True,6.701388888888888,18,6,527,332,50
4,a nearby {category},True,4.76923076923077,12,10,381,243,50
4,a side view of a {category},True,6.469298245614035,26,6,544,169,50
4,a small {category} near the center,True,2.9707317073170727,18,6,354,173,50
4,a blurry {category},True,4.106809078771695,20,10,716,169,50
4,a scene featuring a {category},True,2.187878787878788,14,3,307,376,50
4,a natural image of a {category},True,4.47719298245614,17,6,573,91,50
4,a standing {category},True,6.831140350877193,22,1,577,22,50
4,a natural {category},True,6.260593220338983,21,5,549,77,50
4,an actual {category},True,3.191860465116279,7,12,166,302,50
4,a {category} next to a wall,True,3.676470588235294,18,8,442,154,50
4,a cropped view of a {category},True,5.3776223776223775,27,10,752,171,50
4,a surveillance-style view of a {category},True,6.915750915750916,18,4,407,240,50
4,a photo containing a {category},True,2.152941176470588,16,6,474,89,50
4,a sitting {category},True,10.053191489361703,20,6,346,139,50
4,a real {category},True,9.042056074766355,19,9,592,322,50
4,a photographic {category},True,3.2960000000000003,14,3,351,117,50
4,the {category} in this image,True,3.411627906976744,15,8,415,175,50
4,a sharp {category},True,2.7016806722689073,22,3,585,39,50
4,a bright {category},True,3.0673076923076925,17,3,582,58,50
4,a front view of a {category},True,6.522875816993464,12,5,441,165,50
4,a moving {category},True,5.644654088050315,21,9,664,320,50
4,a high-resolution view of a {category},True,4.1484375,16,4,467,73,50
4,a stacked {category},True,3.777777777777778,11,7,159,117,50
4,a {category} object,True,8.766025641025642,18,6,491,94,50
4,a visible {category} in the scene,True,7.569444444444444,17,2,602,12,50
4,a partial view of a {category},True,4.294117647058823,18,7,599,408,50
4,a dark {category},True,9.84375,20,8,407,159,50
4,a {category} in the scene,True,7.46969696969697,29,2,958,88,50
4,a close-up of a {category},True,7.185534591194969,14,3,411,78,50
4,a lying {category},True,5.0034364261168385,19,6,341,120,50
4,a parked {category},True,4.457142857142857,18,7,647,305,50
4,a tiny {category},True,13.256756756756758,11,8,293,317,50
4,a messy view of a {category},True,4.283185840707964,22,7,679,238,50
4,a clean view of a {category},True,3.8132530120481922,13,7,365,343,50
4,a distant {category},True,4.285714285714286,17,5,297,273,50
4,a low-resolution view of a {category},True,5.357303370786517,18,7,525,169,50
4,a man-made {category},True,3.65625,13,5,239,104,50
4,a wide-angle view with a {category},True,4.666666666666667,21,6,383,93,50
4,a {category} on a table,True,6.334745762711864,19,3,556,97,50
4,a photo of a {category},True,7.130434782608695,10,7,210,171,50
4,a full view of a {category},True,10.044117647058822,20,3,642,117,50
4,a {category} on the ground,True,4.163636363636364,23,0,637,0,50
4,a large {category},True,8.022875816993464,21,11,433,208,50
4,a single {category},True,8.827480916030535,23,8,797,334,50
4,a real-world {category},True,4.346153846153847,14,4,204,57,50
4,a zoomed view of a {category},True,7.2235576923076925,13,7,545,188,50
4,an image showing a {category},True,4.401709401709402,23,8,472,251,50
4,a picture with a {category},True,6.992857142857142,28,6,924,158,50
5,a clear photo of a {category},True,3.1785714285714284,18,7,322,86,50
5,a hanging {category},True,5.2,20,7,491,309,50
5,a nearby {category},True,5.419753086419753,18,5,374,217,50
5,a side view of a {category},True,6.9209039548022595,19,10,448,233,50
5,a small {category} near the center,True,2.2044444444444444,18,9,426,203,50
5,a blurry {category},True,6.320804195804196,29,6,1016,139,50
5,a scene featuring a {category},True,7.397003745318352,19,2,719,95,50
5,a natural image of a {category},True,3.244791666666667,16,8,559,165,50
5,a standing {category},True,7.357357357357357,18,4,441,106,50
5,a natural {category},True,8.90625,23,4,538,59,50
5,an actual {category},True,3.227272727272727,10,4,303,121,50
5,a {category} next to a wall,True,3.5978260869565215,17,9,290,216,50
5,a cropped view of a {category},True,7.934931506849314,30,9,648,427,50
5,a surveillance-style view of a {category},False,14.206956102144733,15,4,420,91,50
5,a photo containing a {category},True,4.2272727272727275,14,4,367,129,50
5,a sitting {category},True,8.404040404040403,22,3,771,111,50
5,a real {category},True,6.0,18,10,575,331,50
5,a photographic {category},True,3.5795454545454546,10,6,277,128,50
5,the {category} in this image,True,6.125,20,5,548,147,50
5,a sharp {category},True,3.0615384615384618,18,6,344,89,50
5,a bright {category},True,3.005660377358491,14,6,477,233,50
5,a front view of a {category},True,7.193627450980392,18,1,529,9,50
5,a moving {category},True,4.7043478260869565,25,8,1014,318,50
5,a high-resolution view of a {category},True,5.298823529411765,14,5,488,143,50
5,a stacked {category},True,5.818181818181818,22,1,388,12,50
5,a {category} object,True,3.336956521739131,17,4,546,143,50
5,a visible {category} in the scene,True,7.4764150943396235,16,7,580,105,50
5,a partial view of a {category},True,2.9910089910089908,20,6,929,132,50
5,a dark {category},True,4.2015503875969,21,7,511,124,50
5,a {category} in the scene,True,7.341269841269841,23,11,891,374,50
5,a close-up of a {category},True,2.868292682926829,7,8,173,271,50
5,a lying {category},True,5.035714285714286,23,7,516,139,50
5,a parked {category},True,4.2063492063492065,15,4,743,122,50
5,a tiny {category},True,4.7924528301886795,13,2,223,116,50
5,a messy view of a {category},True,5.435064935064935,23,8,787,185,50
5,a clean view of a {category},True,2.6164705882352943,13,5,481,161,50
5,a distant {category},True,3.8983050847457625,13,9,213,335,50
5,a low-resolution view of a {category},True,6.466666666666667,21,4,624,44,50
5,a man-made {category},True,5.288135593220339,15,7,267,96,50
5,a wide-angle view with a {category},True,8.35,21,4,441,45,50
5,a {category} on a table,True,4.289473684210526,15,5,443,216,50
5,a photo of a {category},True,6.46969696969697,15,7,373,125,50
5,a full view of a {category},True,3.4148936170212765,12,4,380,125,50
5,a {category} on the ground,True,3.653932584269663,16,5,471,121,50
5,a large {category},True,5.5049504950495045,21,4,497,46,50
5,a single {category},True,14.888059701492537,20,8,544,508,50
5,a real-world {category},True,3.322033898305085,12,3,191,58,50
5,a zoomed view of a {category},True,7.157894736842105,14,8,445,432,50
5,an image showing a {category},True,6.197033898305085,20,14,543,324,50
5,a picture with a {category},True,7.153246753246753,27,5,868,134,50
6,a clear photo of a {category},True,4.366666666666666,19,7,353,65,50
6,a hanging {category},True,5.358974358974359,15,7,358,245,50
6,a nearby {category},True,6.390804597701149,17,5,366,264,50
6,a side view of a {category},True,2.513317191283293,22,2,650,19,50
6,a small {category} near the center,True,5.294117647058823,22,6,373,162,50
6,a blurry {category},True,5.217917675544794,23,7,820,152,50
6,a scene featuring a {category},True,3.23013698630137,16,7,336,254,50
6,a natural image of a {category},True,4.85,18,7,425,307,50
6,a standing {category},True,4.666666666666666,15,7,322,122,50
6,a natural {category},True,5.086614173228346,25,4,613,38,50
6,an actual {category},True,3.5249999999999995,13,4,445,74,50
