bin,left,right,null_count,tp_count,p0,p1,raw_evalue,evalue
87,0.09027904048562044,0.09113679677247999,87,7,0.006473920400205988,0.0043859649122807015,0.6774820574162679,0.6774820574162679
88,0.09113679677247999,0.09211406148970121,89,6,0.006621054954756124,0.003837719298245614,0.5796235380116959,0.5796235380116959
89,0.09211406148970121,0.09303281828761095,93,1,0.006915324063856396,0.0010964912280701754,0.15855963045912655,0.15855963045912655
90,0.09303281828761095,0.09407976418733598,90,4,0.006694622232031193,0.0027412280701754384,0.4094671775592828,0.4094671775592828
91,0.09407976418733598,0.09509889036417007,89,6,0.006621054954756124,0.003837719298245614,0.5796235380116959,0.5796235380116959
92,0.09509889036417007,0.09612609706819053,90,4,0.006694622232031193,0.0027412280701754384,0.4094671775592828,0.4094671775592828
93,0.09612609706819053,0.09730806574225423,86,8,0.00640035312293092,0.004934210526315789,0.7709278584392014,0.7709278584392014
94,0.09730806574225423,0.0985458604991436,95,0,0.007062458618406533,0.0005482456140350877,0.07762815241228069,0.07762815241228069
95,0.0985458604991436,0.0997293204069137,90,4,0.006694622232031193,0.0027412280701754384,0.4094671775592828,0.4094671775592828
96,0.0997293204069137,0.10117411427199834,92,2,0.006841756786581329,0.001644736842105263,0.24039685908319183,0.24039685908319183
97,0.10117411427199834,0.10255794823169706,90,5,0.006694622232031193,0.003289473684210526,0.4913606130711393,0.4913606130711393
98,0.10255794823169706,0.10357541181147092,86,8,0.00640035312293092,0.004934210526315789,0.7709278584392014,0.7709278584392014
99,0.10357541181147092,0.1047954857349395,86,8,0.00640035312293092,0.004934210526315789,0.7709278584392014,0.7709278584392014
100,0.1047954857349395,0.10638173148035998,90,5,0.006694622232031193,0.003289473684210526,0.4913606130711393,0.4913606130711393
101,0.10638173148035998,0.10775332972407338,90,4,0.006694622232031193,0.0027412280701754384,0.4094671775592828,0.4094671775592828
102,0.10775332972407338,0.10907502360641959,85,10,0.006326785845655852,0.006030701754385965,0.9532014993880048,0.9532014993880048
103,0.10907502360641959,0.11094581335782998,89,5,0.006621054954756124,0.003289473684210526,0.49682017543859647,0.49682017543859647
104,0.11094581335782998,0.11252315901219839,92,2,0.006841756786581329,0.001644736842105263,0.24039685908319183,0.24039685908319183
105,0.11252315901219839,0.11432494372129436,89,6,0.006621054954756124,0.003837719298245614,0.5796235380116959,0.5796235380116959
106,0.11432494372129436,0.1163212995976209,82,12,0.006106084013830648,0.00712719298245614,1.1672281230183894,1.1672281230183894
107,0.1163212995976209,0.11798216998577114,87,7,0.006473920400205988,0.0043859649122807015,0.6774820574162679,0.6774820574162679
108,0.11798216998577114,0.11990014165639876,86,9,0.00640035312293092,0.005482456140350877,0.8565865093768905,0.8565865093768905
109,0.11990014165639876,0.12135153263807295,87,7,0.006473920400205988,0.0043859649122807015,0.6774820574162679,0.6774820574162679
110,0.12135153263807295,0.1233917597681284,88,6,0.006547487677481057,0.003837719298245614,0.5861361620342992,0.5861361620342992
111,0.1233917597681284,0.12529922127723697,84,11,0.006253218568380784,0.006578947368421052,1.0520897832817337,1.0520897832817337
112,0.12529922127723697,0.1274171248078346,86,8,0.00640035312293092,0.004934210526315789,0.7709278584392014,0.7709278584392014
113,0.1274171248078346,0.12956529408693307,86,8,0.00640035312293092,0.004934210526315789,0.7709278584392014,0.7709278584392014
114,0.12956529408693307,0.1319468729197979,84,11,0.006253218568380784,0.006578947368421052,1.0520897832817337,1.0520897832817337
115,0.1319468729197979,0.1341819912195206,83,11,0.006179651291105716,0.006578947368421052,1.0646146616541352,1.0646146616541352
116,0.1341819912195206,0.1367764189839364,86,8,0.00640035312293092,0.004934210526315789,0.7709278584392014,0.7709278584392014
117,0.1367764189839364,0.13892205357551576,89,6,0.006621054954756124,0.003837719298245614,0.5796235380116959,0.5796235380116959
118,0.13892205357551576,0.14193212985992426,80,14,0.005958949459280512,0.008223684210526315,1.3800560428849902,1.3800560428849902
119,0.14193212985992426,0.1452156007289886,84,10,0.006253218568380784,0.006030701754385965,0.9644156346749226,0.9644156346749226
120,0.1452156007289886,0.14801578298211096,88,7,0.006547487677481057,0.0043859649122807015,0.6698698994677704,0.6698698994677704
121,0.14801578298211096,0.1511224627494812,84,10,0.006253218568380784,0.006030701754385965,0.9644156346749226,0.9644156346749226
122,0.1511224627494812,0.15421287268400194,84,11,0.006253218568380784,0.006578947368421052,1.0520897832817337,1.0520897832817337
123,0.15421287268400194,0.15730138421058648,88,6,0.006547487677481057,0.003837719298245614,0.5861361620342992,0.5861361620342992
124,0.15730138421058648,0.16127820312976834,85,9,0.006326785845655852,0.005482456140350877,0.8665468176254589,0.8665468176254589
125,0.16127820312976834,0.16479374170303343,87,8,0.006473920400205988,0.004934210526315789,0.7621673145933014,0.7621673145933014
126,0.16479374170303343,0.1685719706118107,87,7,0.006473920400205988,0.0043859649122807015,0.6774820574162679,0.6774820574162679
127,0.1685719706118107,0.17384546399116513,85,9,0.006326785845655852,0.005482456140350877,0.8665468176254589,0.8665468176254589
128,0.17384546399116513,0.1791266649961471,89,6,0.006621054954756124,0.003837719298245614,0.5796235380116959,0.5796235380116959
129,0.1791266649961471,0.18353227525949475,84,10,0.006253218568380784,0.006030701754385965,0.9644156346749226,0.9644156346749226
130,0.18353227525949475,0.18926924392581032,83,11,0.006179651291105716,0.006578947368421052,1.0646146616541352,1.0646146616541352
131,0.18926924392581032,0.19569897353649135,84,11,0.006253218568380784,0.006578947368421052,1.0520897832817337,1.0520897832817337
132,0.19569897353649135,0.20269673541188252,82,12,0.006106084013830648,0.00712719298245614,1.1672281230183894,1.1672281230183894
133,0.20269673541188252,0.21022791266441337,86,8,0.00640035312293092,0.004934210526315789,0.7709278584392014,0.7709278584392014
134,0.21022791266441337,0.2186281830072402,83,12,0.006179651291105716,0.00712719298245614,1.153332550125313,1.153332550125313
135,0.2186281830072402,0.2261476874351503,78,16,0.005811814904730376,0.00932017543859649,1.6036600599600266,1.6036600599600266
136,0.2261476874351503,0.23568524643778804,80,14,0.005958949459280512,0.008223684210526315,1.3800560428849902,1.3800560428849902
137,0.23568524643778804,0.24438490271568317,82,13,0.006106084013830648,0.007675438596491228,1.2570149017121115,1.2570149017121115
138,0.24438490271568317,0.2535220101475715,77,17,0.0057382476274553075,0.009868421052631578,1.7197621457489878,1.7197621457489878
139,0.2535220101475715,0.262585312128067,79,15,0.005885382182005444,0.008771929824561403,1.4904605263157893,1.4904605263157893
140,0.262585312128067,0.273174591362477,77,18,0.0057382476274553075,0.010416666666666666,1.8153044871794872,1.8153044871794872
141,0.273174591362477,0.28544508814811703,80,14,0.005958949459280512,0.008223684210526315,1.3800560428849902,1.3800560428849902
142,0.28544508814811703,0.29754332304000863,77,18,0.0057382476274553075,0.010416666666666666,1.8153044871794872,1.8153044871794872
143,0.29754332304000863,0.3099630713462829,68,26,0.005076142131979695,0.014802631578947368,2.916118421052632,2.916118421052632
144,0.3099630713462829,0.3242029026150703,73,21,0.0054439785183550355,0.01206140350877193,2.2155494310099573,2.2155494310099573
145,0.3242029026150703,0.3398954570293432,68,27,0.005076142131979695,0.015350877192982455,3.024122807017544,3.024122807017544
146,0.3398954570293432,0.3538780555129052,71,23,0.0052968439638048995,0.013157894736842105,2.4841008771929824,2.4841008771929824
147,0.3538780555129052,0.3668378293514252,67,27,0.0050025748547046275,0.015350877192982455,3.0685952012383897,3.0685952012383897
148,0.3668378293514252,0.3803675785660743,69,26,0.0051497094092547635,0.014802631578947368,2.8744595864661653,2.8744595864661653
149,0.3803675785660743,0.4005498141050339,60,34,0.004487603913779151,0.01918859649122807,4.275911345987921,4.275911345987921
150,0.4005498141050339,0.42473832368850734,58,36,0.004340469359229015,0.020285087719298246,4.673477921498662,4.673477921498662
151,0.42473832368850734,0.4533129811286927,46,49,0.003457662031928198,0.027412280701754384,7.927981522956327,7.927981522956327
152,0.4533129811286927,0.48406103104352977,40,54,0.00301625836827779,0.030153508771929825,9.996991335044928,9.996991335044928
153,0.48406103104352977,0.5302452981472012,32,62,0.0024277201500772457,0.03453947368421053,14.227123205741627,14.227123205741627
154,0.5302452981472012,0.5992331653833389,26,69,0.0019863164864268373,0.03837719298245614,19.320784600389864,19.320784600389864
155,0.5992331653833389,0.6620195984840408,14,80,0.0011035091591260207,0.044407894736842105,40.24243421052632,40.24243421052632
156,0.6620195984840408,0.7290501266717914,6,88,0.0005149709409254763,0.048793859649122806,94.75070488721805,94.75070488721805
157,0.7290501266717914,0.7851672410964969,5,90,0.0004414036636504083,0.049890350877192985,113.0265899122807,113.0265899122807
158,0.7851672410964969,0.8454192340373984,2,92,0.00022070183182520416,0.05098684210526316,231.02138157894734,231.02138157894734
159,0.8454192340373984,0.9667235016822816,2,93,0.00022070183182520416,0.051535087719298246,233.50548245614033,233.50548245614033
