alpha,total_rejections,fp,tp,fdp,recall,threshold,seed,method
0.2,352,70,282,0.19886363636363635,0.7855153203342619,0.2850618362426758,5,score_oracle
0.05,166,8,158,0.04819277108433735,0.42021276595744683,0.7959696054458618,6,score_oracle
0.1,233,23,210,0.09871244635193133,0.5585106382978723,0.6348157525062561,6,score_oracle
0.15,302,45,257,0.1490066225165563,0.6835106382978723,0.4344303607940674,6,score_oracle
0.2,358,71,287,0.19832402234636873,0.7632978723404256,0.2930510938167572,6,score_oracle
0.05,141,7,134,0.04964539007092199,0.3276283618581907,0.842479407787323,7,score_oracle
0.1,204,20,184,0.09803921568627451,0.44987775061124696,0.7307060956954956,7,score_oracle
0.15,267,40,227,0.149812734082397,0.5550122249388753,0.6000734567642212,7,score_oracle
0.2,338,67,271,0.19822485207100593,0.6625916870415648,0.4301108717918396,7,score_oracle
0.05,140,7,133,0.05,0.3181818181818182,0.8631657958030701,8,score_oracle
0.1,277,27,250,0.09747292418772563,0.5980861244019139,0.5695416927337646,8,score_oracle
0.15,329,49,280,0.14893617021276595,0.6698564593301436,0.4230979084968567,8,score_oracle
0.2,377,75,302,0.1989389920424403,0.722488038277512,0.3101823627948761,8,score_oracle
0.05,144,7,137,0.04861111111111111,0.3301204819277108,0.8460855484008789,9,score_oracle
0.1,228,22,206,0.09649122807017543,0.4963855421686747,0.668659508228302,9,score_oracle
0.15,262,39,223,0.14885496183206107,0.5373493975903615,0.5977580547332764,9,score_oracle
0.2,290,58,232,0.2,0.5590361445783133,0.5603228807449341,9,score_oracle
0.05,164,8,156,0.04878048780487805,0.34210526315789475,0.8577508926391602,10,score_oracle
0.1,252,25,227,0.0992063492063492,0.49780701754385964,0.7172331809997559,10,score_oracle
0.15,314,47,267,0.14968152866242038,0.5855263157894737,0.5844432711601257,10,score_oracle
0.2,372,74,298,0.1989247311827957,0.6535087719298246,0.4454624354839325,10,score_oracle
0.05,121,6,115,0.049586776859504134,0.2725118483412322,0.8888005614280701,11,score_oracle
0.1,181,18,163,0.09944751381215469,0.3862559241706161,0.8112447261810303,11,score_oracle
0.15,275,41,234,0.14909090909090908,0.5545023696682464,0.6149148941040039,11,score_oracle
0.2,332,66,266,0.19879518072289157,0.6303317535545023,0.4542213082313537,11,score_oracle
0.05,171,8,163,0.04678362573099415,0.43007915567282323,0.7509981393814087,12,score_oracle
0.1,250,25,225,0.1,0.5936675461741425,0.5346699357032776,12,score_oracle
0.15,288,43,245,0.14930555555555555,0.6464379947229552,0.4567952454090118,12,score_oracle
0.2,338,67,271,0.19822485207100593,0.7150395778364116,0.3011508584022522,12,score_oracle
0.05,183,9,174,0.04918032786885246,0.5132743362831859,0.7130672335624695,13,score_oracle
0.1,215,21,194,0.09767441860465116,0.5722713864306784,0.5982869863510132,13,score_oracle
0.15,271,40,231,0.14760147601476015,0.6814159292035398,0.3898533880710602,13,score_oracle
0.2,308,61,247,0.19805194805194806,0.7286135693215339,0.2814115881919861,13,score_oracle
0.05,146,7,139,0.04794520547945205,0.3982808022922636,0.7693556547164917,14,score_oracle
0.1,174,17,157,0.09770114942528736,0.4498567335243553,0.6618306636810303,14,score_oracle
0.15,200,30,170,0.15,0.4871060171919771,0.5977580547332764,14,score_oracle
0.2,225,45,180,0.2,0.5157593123209169,0.5588114261627197,14,score_oracle
0.05,148,7,141,0.0472972972972973,0.45483870967741935,0.7453449964523315,15,score_oracle
0.1,191,19,172,0.09947643979057591,0.5548387096774193,0.5994892716407776,15,score_oracle
0.15,254,38,216,0.14960629921259844,0.6967741935483871,0.3881875872611999,15,score_oracle
0.2,306,61,245,0.19934640522875818,0.7903225806451613,0.2454631775617599,15,score_oracle
0.05,127,6,121,0.047244094488188976,0.3047858942065491,0.857672929763794,16,score_oracle
0.1,214,21,193,0.09813084112149532,0.48614609571788414,0.6927565336227417,16,score_oracle
0.15,263,39,224,0.1482889733840304,0.5642317380352645,0.5612133741378784,16,score_oracle
0.2,320,64,256,0.2,0.6448362720403022,0.4530042707920074,16,score_oracle
0.05,189,9,180,0.047619047619047616,0.46153846153846156,0.7143665552139282,17,score_oracle
0.1,230,23,207,0.1,0.5307692307692308,0.6215424537658691,17,score_oracle
0.15,249,37,212,0.14859437751004015,0.5435897435897435,0.585502564907074,17,score_oracle
