template_count,template,seeds,own_model_rate,phi_max_mean,phi_max_p95,phi_max_max,fit_families_mean,cal_families_mean,fit_candidates_mean,cal_candidates_mean
100,a wide-angle view with a {category},20,0.65,6.568445671025755,13.063918049138623,13.83028147699758,8.7,3.05,127.05,48.75
100,a zoomed view of a {category},20,0.95,3.7980141856067187,5.243116092493626,12.63315518320574,6.6,2.15,337.6,125.4
100,a {category} among other objects,20,0.65,7.160606955261294,13.316943878330202,13.558670943725,6.0,2.0,186.95,42.2
100,a {category} at large scale,20,0.9,6.686551803963376,13.114750914064254,14.846938775510203,8.75,3.15,274.15,88.7
100,a {category} at medium scale,20,0.9,7.5949440485348685,12.68455523329019,13.66115618489473,7.4,3.05,196.95,80.55
100,a {category} at small scale,20,0.65,7.869810596322351,14.149064872690282,14.206956102144732,6.05,2.35,200.45,73.7
100,a {category} at the bottom of the image,20,0.95,6.220433124471194,8.653959436021175,13.335491241431836,13.0,4.4,401.25,180.35
100,a {category} at the left side,20,1.0,4.28193817279006,6.051694551694553,6.349206349206349,11.7,3.75,248.65,83.5
100,a {category} at the right side,20,0.7,5.695644744147131,13.305784893215543,13.335491241431836,13.55,4.75,239.3,90.25
100,a {category} at the top of the image,20,0.55,7.707946583730932,14.149064872690282,14.206956102144732,9.05,2.7,354.25,128.9
100,a {category} beside a person,20,0.9,5.637941775178758,11.086140487148013,14.206956102144732,10.3,2.8,231.95,61.8
100,a {category} cropped by the frame,20,0.75,6.200838684049359,13.351774488604981,13.66115618489473,9.35,3.4,196.25,73.4
100,a {category} facing the camera,20,1.0,7.02711050220326,12.764211551741147,13.238532110091745,10.7,3.0,452.35,123.25
100,a {category} far from the camera,20,1.0,9.341174340194799,15.783655493026671,16.656716417910445,11.5,4.1,270.55,91.15
100,a {category} fully inside the frame,20,0.3,10.445547001272198,13.669612449499873,13.83028147699758,11.25,3.0,302.8,56.05
100,a {category} in clutter,20,1.0,6.126235074591833,11.982827038861522,11.984126984126984,13.3,4.85,270.0,109.0
100,a {category} in front of a wall,20,0.7,7.529219796185828,12.968152518053685,13.66115618489473,7.4,2.85,263.05,104.15
100,a {category} in high contrast,20,0.95,3.9649559520838906,6.524708932042581,12.931678640851525,7.0,1.15,92.0,15.4
100,a {category} in low contrast,20,1.0,4.331082760305628,6.0043691784093625,6.568396226415095,13.55,4.15,378.3,117.85
100,a {category} in open space,20,0.75,7.759172914247715,13.920937261930208,14.14601796587689,8.75,2.9,171.8,45.55
100,a {category} in profile,20,0.8,4.574834342817858,13.68844618075723,14.206956102144732,6.8,1.85,118.5,28.75
100,a {category} in the background,20,0.95,5.86487235538913,10.95345225650886,11.5531914893617,9.9,3.2,331.95,95.55
100,a {category} in the foreground,20,0.85,5.886924521421345,13.591085201645987,14.206956102144732,7.0,1.85,200.1,52.75
100,a {category} in the scene,20,1.0,6.279118818099855,11.065384615384616,12.307692307692308,12.85,3.9,500.15,170.95
100,a {category} inside a room,20,0.95,5.580601911288438,10.645501303969866,13.410026079397277,9.35,3.7,343.6,185.85
100,a {category} near a building,20,0.65,7.879156615970672,13.669612449499873,13.83028147699758,5.0,1.8,175.3,71.95
100,a {category} near a road,20,0.85,5.9409648999619815,13.446825673721257,14.14601796587689,6.95,2.7,142.35,58.7
100,a {category} near a vehicle,20,0.95,5.076902866713386,8.188057809244741,13.66115618489473,7.15,2.55,168.9,72.2
100,a {category} near an animal,20,0.75,5.454709428242929,13.08275178039598,14.206956102144732,8.5,3.0,303.75,92.5
