alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,stratum
0.2,54,10,68,5,63,0.07352941176470588,0.140625,0.0073599240265906935,1,betting,K>30
0.05,323,61,66,2,64,0.030303030303030304,0.6095238095238096,0.006191950464396285,2,betting,K<=5
0.05,163,16,26,0,26,0.0,0.1262135922330097,0.0,2,betting,5<K<=30
0.05,50,2,5,1,4,0.2,0.01038961038961039,0.006666666666666666,2,betting,K>30
0.1,323,72,79,5,74,0.06329113924050633,0.7047619047619048,0.015479876160990712,2,betting,K<=5
0.1,163,21,36,1,35,0.027777777777777776,0.16990291262135923,0.003067484662576687,2,betting,5<K<=30
0.1,50,4,18,3,15,0.16666666666666666,0.03896103896103896,0.006,2,betting,K>30
0.15,323,73,83,6,77,0.07228915662650602,0.7333333333333333,0.018575851393188854,2,betting,K<=5
0.15,163,30,49,2,47,0.04081632653061224,0.22815533980582525,0.009202453987730062,2,betting,5<K<=30
0.15,50,7,39,7,32,0.1794871794871795,0.08311688311688312,0.012153846153846156,2,betting,K>30
0.2,323,76,86,8,78,0.09302325581395349,0.7428571428571429,0.02476780185758514,2,betting,K<=5
0.2,163,33,55,3,52,0.05454545454545454,0.2524271844660194,0.012269938650306749,2,betting,5<K<=30
0.2,50,9,53,7,46,0.1320754716981132,0.11948051948051948,0.012153846153846156,2,betting,K>30
0.05,309,48,51,2,49,0.0392156862745098,0.5697674418604651,0.006472491909385114,3,betting,K<=5
0.05,177,19,29,1,28,0.034482758620689655,0.11914893617021277,0.002824858757062147,3,betting,5<K<=30
0.05,50,8,19,1,18,0.05263157894736842,0.04825737265415549,0.006666666666666666,3,betting,K>30
0.1,309,55,58,5,53,0.08620689655172414,0.6162790697674418,0.016181229773462782,3,betting,K<=5
0.1,177,21,38,2,36,0.05263157894736842,0.15319148936170213,0.005649717514124294,3,betting,5<K<=30
0.1,50,9,20,1,19,0.05,0.05093833780160858,0.006666666666666666,3,betting,K>30
0.15,309,56,60,5,55,0.08333333333333333,0.6395348837209303,0.016181229773462782,3,betting,K<=5
0.15,177,26,56,3,53,0.05357142857142857,0.225531914893617,0.011299435028248588,3,betting,5<K<=30
0.15,50,10,42,5,37,0.11904761904761904,0.09919571045576407,0.00738095238095238,3,betting,K>30
0.2,309,59,63,8,55,0.12698412698412698,0.6395348837209303,0.025889967637540454,3,betting,K<=5
0.2,177,36,68,3,65,0.04411764705882353,0.2765957446808511,0.011299435028248588,3,betting,5<K<=30
0.2,50,11,46,5,41,0.10869565217391304,0.10991957104557641,0.00738095238095238,3,betting,K>30
0.05,328,44,46,0,46,0.0,0.48936170212765956,0.0,4,betting,K<=5
0.05,170,21,28,1,27,0.03571428571428571,0.12735849056603774,0.0058823529411764705,4,betting,5<K<=30
0.05,38,3,10,0,10,0.0,0.03636363636363636,0.0,4,betting,K>30
0.1,328,51,53,2,51,0.03773584905660377,0.5425531914893617,0.006097560975609756,4,betting,K<=5
0.1,170,22,49,3,46,0.061224489795918366,0.2169811320754717,0.0063025210084033615,4,betting,5<K<=30
0.1,38,4,11,0,11,0.0,0.04,0.0,4,betting,K>30
0.15,328,58,60,6,54,0.1,0.574468085106383,0.018292682926829267,4,betting,K<=5
0.15,170,22,51,3,48,0.058823529411764705,0.22641509433962265,0.0063025210084033615,4,betting,5<K<=30
0.15,38,5,12,0,12,0.0,0.04363636363636364,0.0,4,betting,K>30
0.2,328,60,63,6,57,0.09523809523809523,0.6063829787234043,0.01676829268292683,4,betting,K<=5
0.2,170,25,56,3,53,0.05357142857142857,0.25,0.0063025210084033615,4,betting,5<K<=30
0.2,38,5,12,0,12,0.0,0.04363636363636364,0.0,4,betting,K>30
0.05,164,22,39,2,37,0.05128205128205128,0.1574468085106383,0.009146341463414634,5,betting,5<K<=30
