alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.1,72,4,6,1,5,0.16666666666666666,0.023809523809523808,0.006944444444444444,0.0,0,12,betting,5<K<=30
0.1,66,42,44,0,44,0.0,0.4888888888888889,0.0,0.0,0,12,betting,K<=5
0.1,19,0,0,0,0,0.0,0.0,0.0,0.0,0,12,betting,K>30
0.15,72,5,9,1,8,0.1111111111111111,0.0380952380952381,0.003472222222222222,0.0,0,12,betting,5<K<=30
0.15,66,50,52,1,51,0.019230769230769232,0.5666666666666667,0.015151515151515152,0.0,0,12,betting,K<=5
0.15,19,0,0,0,0,0.0,0.0,0.0,0.0,0,12,betting,K>30
0.2,72,7,12,2,10,0.16666666666666666,0.047619047619047616,0.017361111111111112,0.0,0,12,betting,5<K<=30
0.2,66,56,58,2,56,0.034482758620689655,0.6222222222222222,0.030303030303030304,0.0,0,12,betting,K<=5
0.2,19,0,0,0,0,0.0,0.0,0.0,0.0,0,12,betting,K>30
0.05,68,2,2,0,2,0.0,0.010309278350515464,0.0,0.0,0,13,betting,5<K<=30
0.05,74,31,33,0,33,0.0,0.2796610169491525,0.0,0.0,0,13,betting,K<=5
0.05,15,0,0,0,0,0.0,0.0,0.0,0.0,0,13,betting,K>30
0.1,68,4,7,0,7,0.0,0.03608247422680412,0.0,0.0,0,13,betting,5<K<=30
0.1,74,50,63,3,60,0.047619047619047616,0.5084745762711864,0.04054054054054054,0.0,0,13,betting,K<=5
0.1,15,0,0,0,0,0.0,0.0,0.0,0.0,0,13,betting,K>30
0.15,68,7,11,0,11,0.0,0.05670103092783505,0.0,0.0,0,13,betting,5<K<=30
0.15,74,58,74,6,68,0.08108108108108109,0.576271186440678,0.07432432432432433,0.0,0,13,betting,K<=5
0.15,15,0,0,0,0,0.0,0.0,0.0,0.0,0,13,betting,K>30
0.2,68,11,17,0,17,0.0,0.08762886597938144,0.0,0.0,0,13,betting,5<K<=30
0.2,74,63,79,6,73,0.0759493670886076,0.6186440677966102,0.07432432432432433,0.0,0,13,betting,K<=5
0.2,15,1,3,1,2,0.3333333333333333,0.021739130434782608,0.02222222222222222,0.0,0,13,betting,K>30
0.05,17,0,0,0,0,0.0,0.0,0.0,0.0,0,14,betting,K>30
0.05,64,1,3,1,2,0.3333333333333333,0.0091324200913242,0.005208333333333333,0.0,0,14,betting,5<K<=30
0.05,76,48,51,3,48,0.058823529411764705,0.39344262295081966,0.039473684210526314,0.0,0,14,betting,K<=5
0.1,17,0,0,0,0,0.0,0.0,0.0,0.0,0,14,betting,K>30
0.1,64,10,16,1,15,0.0625,0.0684931506849315,0.00390625,0.0,0,14,betting,5<K<=30
0.1,76,54,63,3,60,0.047619047619047616,0.4918032786885246,0.039473684210526314,0.0,0,14,betting,K<=5
0.15,17,0,0,0,0,0.0,0.0,0.0,0.0,0,14,betting,K>30
0.15,64,14,26,2,24,0.07692307692307693,0.1095890410958904,0.01953125,0.0,0,14,betting,5<K<=30
0.15,76,58,69,5,64,0.07246376811594203,0.5245901639344263,0.06578947368421052,0.0,0,14,betting,K<=5
0.2,17,2,9,7,2,0.7777777777777778,0.02197802197802198,0.0784313725490196,0.0,0,14,betting,K>30
0.2,64,18,41,9,32,0.21951219512195122,0.1461187214611872,0.03515625,0.0,0,14,betting,5<K<=30
0.2,76,59,70,5,65,0.07142857142857142,0.5327868852459017,0.06578947368421052,0.0,0,14,betting,K<=5
0.05,21,0,0,0,0,0.0,0.0,0.0,0.0,0,15,betting,K>30
0.05,65,35,37,0,37,0.0,0.42045454545454547,0.0,0.0,0,15,betting,K<=5
0.05,71,4,4,0,4,0.0,0.019138755980861243,0.0,0.0,0,15,betting,5<K<=30
0.1,21,0,0,0,0,0.0,0.0,0.0,0.0,0,15,betting,K>30
0.1,65,49,54,2,52,0.037037037037037035,0.5909090909090909,0.03076923076923077,0.0,0,15,betting,K<=5
0.1,71,8,11,0,11,0.0,0.05263157894736842,0.0,0.0,0,15,betting,5<K<=30
0.15,21,0,0,0,0,0.0,0.0,0.0,0.0,0,15,betting,K>30
0.15,65,56,64,4,60,0.0625,0.6818181818181818,0.05384615384615385,0.0,0,15,betting,K<=5
0.15,71,10,17,0,17,0.0,0.08133971291866028,0.0,0.0,0,15,betting,5<K<=30
0.2,21,1,4,4,0,1.0,0.0,0.047619047619047616,0.0,0,15,betting,K>30
0.2,65,57,65,4,61,0.06153846153846154,0.6931818181818182,0.05384615384615385,0.0,0,15,betting,K<=5
0.2,71,19,33,3,30,0.09090909090909091,0.14354066985645933,0.028169014084507043,0.0,0,15,betting,5<K<=30
0.05,21,0,0,0,0,0.0,0.0,0.0,0.0,0,16,betting,K>30
0.05,60,1,1,1,0,1.0,0.0,0.016666666666666666,0.0,0,16,betting,5<K<=30
0.05,76,34,41,0,41,0.0,0.3565217391304348,0.0,0.0,0,16,betting,K<=5
0.1,21,0,0,0,0,0.0,0.0,0.0,0.0,0,16,betting,K>30
0.1,60,2,4,1,3,0.25,0.016853932584269662,0.016666666666666666,0.0,0,16,betting,5<K<=30
0.1,76,51,61,2,59,0.03278688524590164,0.5130434782608696,0.02631578947368421,0.0,0,16,betting,K<=5
0.15,21,0,0,0,0,0.0,0.0,0.0,0.0,0,16,betting,K>30
0.15,60,6,17,1,16,0.058823529411764705,0.0898876404494382,0.016666666666666666,0.0,0,16,betting,5<K<=30
0.15,76,55,68,4,64,0.058823529411764705,0.5565217391304348,0.039473684210526314,0.0,0,16,betting,K<=5
0.2,21,0,0,0,0,0.0,0.0,0.0,0.0,0,16,betting,K>30
0.2,60,11,23,2,21,0.08695652173913043,0.11797752808988764,0.025,0.0,0,16,betting,5<K<=30
0.2,76,59,72,5,67,0.06944444444444445,0.5826086956521739,0.05263157894736842,0.0,0,16,betting,K<=5
