seed,alpha,iou_thresh,n_candidates,n_clusters,compression_ratio,mean_cluster_size,max_cluster_size,nms_rej,nms_fp,nms_tp,nms_tp_members,nms_fdp_pooled,nms_family_fdp_mean,nms_recall_cluster,nms_recall_members,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall,total_tp_clusters,nms_hit_tp_clusters,base_hit_tp_clusters,nms_recall_object,base_recall_object
10,0.15,0.5,5879,4214,0.7167885694846062,1.3951115329852872,21,154,7,147,194,0.045454545454545456,0.009931719428926133,0.22685185185185186,0.2993827160493827,163,6,157,0.03680981595092025,0.009000620732464307,0.24228395061728394,408,147,151,0.3602941176470588,0.3700980392156863
10,0.2,0.5,5879,4214,0.7167885694846062,1.3951115329852872,21,169,8,161,213,0.047337278106508875,0.009931719428926133,0.24845679012345678,0.3287037037037037,181,7,174,0.03867403314917127,0.009931719428926133,0.26851851851851855,408,161,167,0.3946078431372549,0.40931372549019607
11,0.05,0.5,5927,4300,0.7254935043023452,1.378372093023256,44,101,4,97,117,0.039603960396039604,0.005772811918063315,0.1547049441786284,0.18660287081339713,95,4,91,0.042105263157894736,0.0074487895716946,0.14513556618819776,404,97,89,0.2400990099009901,0.2202970297029703
11,0.1,0.5,5927,4300,0.7254935043023452,1.378372093023256,44,127,8,119,148,0.06299212598425197,0.01165284126177981,0.189792663476874,0.23604465709728867,131,10,121,0.07633587786259542,0.01367022177078043,0.19298245614035087,404,119,119,0.29455445544554454,0.29455445544554454
11,0.15,0.5,5927,4300,0.7254935043023452,1.378372093023256,44,146,12,134,168,0.0821917808219178,0.01504026699557426,0.21371610845295055,0.2679425837320574,145,11,134,0.07586206896551724,0.015532419163704079,0.21371610845295055,404,134,131,0.3316831683168317,0.32425742574257427
11,0.2,0.5,5927,4300,0.7254935043023452,1.378372093023256,44,161,17,144,182,0.10559006211180125,0.01886139930832668,0.22966507177033493,0.2902711323763955,164,15,149,0.09146341463414634,0.01962925342813611,0.23763955342902712,404,144,145,0.3564356435643564,0.3589108910891089
12,0.05,0.5,6884,4539,0.6593550261475886,1.5166336197400307,81,95,2,93,103,0.021052631578947368,0.0037243947858473,0.11467324290998766,0.12700369913686807,94,2,92,0.02127659574468085,0.0037243947858473,0.11344019728729964,475,93,92,0.1957894736842105,0.1936842105263158
12,0.1,0.5,6884,4539,0.6593550261475886,1.5166336197400307,81,118,3,115,138,0.025423728813559324,0.00558659217877095,0.14180024660912455,0.17016029593094945,119,3,116,0.025210084033613446,0.00558659217877095,0.14303329223181258,475,115,115,0.24210526315789474,0.24210526315789474
12,0.15,0.5,6884,4539,0.6593550261475886,1.5166336197400307,81,135,4,131,163,0.02962962962962963,0.0062073246430788325,0.16152897657213316,0.20098643649815043,140,3,137,0.02142857142857143,0.00558659217877095,0.16892725030826142,475,131,136,0.27578947368421053,0.2863157894736842
12,0.2,0.5,6884,4539,0.6593550261475886,1.5166336197400307,81,148,5,143,180,0.033783783783783786,0.008069522036002483,0.17632552404438964,0.2219482120838471,155,4,151,0.025806451612903226,0.0074487895716946,0.18618988902589395,475,143,149,0.30105263157894735,0.3136842105263158
13,0.05,0.5,5389,3794,0.704026721098534,1.4204006325777543,40,90,4,86,93,0.044444444444444446,0.0074487895716946,0.152753108348135,0.16518650088809947,92,4,88,0.043478260869565216,0.0074487895716946,0.15630550621669628,359,86,86,0.2395543175487465,0.2395543175487465
13,0.1,0.5,5389,3794,0.704026721098534,1.4204006325777543,40,109,5,104,122,0.045871559633027525,0.007138423339540657,0.1847246891651865,0.216696269982238,112,4,108,0.03571428571428571,0.0062073246430788325,0.19182948490230906,359,104,106,0.28969359331476324,0.29526462395543174
13,0.15,0.5,5389,3794,0.704026721098534,1.4204006325777543,40,125,11,114,140,0.088,0.012725015518311606,0.2024866785079929,0.24866785079928952,131,12,119,0.0916030534351145,0.014587212911235258,0.2113676731793961,359,114,117,0.31754874651810583,0.32590529247910865
13,0.2,0.5,5389,3794,0.704026721098534,1.4204006325777543,40,132,11,121,151,0.08333333333333333,0.012725015518311606,0.21492007104795738,0.2682060390763766,140,13,127,0.09285714285714286,0.01551831160769708,0.2255772646536412,359,121,123,0.3370473537604457,0.3426183844011142
14,0.05,0.5,5911,4044,0.6841481982744037,1.4616716122650841,32,88,1,87,104,0.011363636363636364,0.00186219739292365,0.12410841654778887,0.14835948644793154,92,3,89,0.03260869565217391,0.002482929857231533,0.12696148359486448,425,87,88,0.20470588235294118,0.20705882352941177
14,0.1,0.5,5911,4044,0.6841481982744037,1.4616716122650841,32,125,5,120,157,0.04,0.0033105731429753774,0.17118402282453637,0.2239657631954351,120,3,117,0.025,0.002482929857231533,0.16690442225392296,425,120,115,0.2823529411764706,0.27058823529411763
14,0.15,0.5,5911,4044,0.6841481982744037,1.4616716122650841,32,134,5,129,166,0.03731343283582089,0.0033105731429753774,0.1840228245363766,0.23680456490727533,137,5,132,0.0364963503649635,0.003155390026898407,0.18830242510699002,425,129,130,0.3035294117647059,0.3058823529411765
14,0.2,0.5,5911,4044,0.6841481982744037,1.4616716122650841,32,142,7,135,173,0.04929577464788732,0.004593420235878337,0.19258202567760344,0.24679029957203993,149,6,143,0.040268456375838924,0.005017587419822057,0.20399429386590584,425,135,140,0.3176470588235294,0.32941176470588235
15,0.05,0.5,6204,4262,0.686976144422953,1.4556546222430784,81,83,2,81,94,0.024096385542168676,0.0037243947858473,0.11538461538461539,0.1339031339031339,86,3,83,0.03488372093023256,0.00558659217877095,0.11823361823361823,431,81,81,0.18793503480278423,0.18793503480278423
15,0.1,0.5,6204,4262,0.686976144422953,1.4556546222430784,81,104,2,102,129,0.019230769230769232,0.0037243947858473,0.1452991452991453,0.18376068376068377,109,3,106,0.027522935779816515,0.00558659217877095,0.150997150997151,431,102,103,0.23665893271461716,0.23897911832946636
