seed,score_floor,n_tp_surviving,n_tp_reachable,n_tp_rejected,n_total_rejected,recall_ceiling,recall_actual,fdp,efficiency,total_tp_all
6,0.5,320,266,298,334,0.43322475570032576,0.48534201954397393,0.10778443113772455,1.1203007518796992,614
7,0.0,615,171,208,217,0.2780487804878049,0.3382113821138211,0.041474654377880185,1.2163742690058479,615
7,0.05,615,171,208,217,0.2780487804878049,0.3382113821138211,0.041474654377880185,1.2163742690058479,615
7,0.1,502,220,267,282,0.35772357723577236,0.43414634146341463,0.05319148936170213,1.2136363636363636,615
7,0.15,458,240,282,305,0.3902439024390244,0.4585365853658537,0.07540983606557378,1.175,615
7,0.2,443,244,293,316,0.3967479674796748,0.4764227642276423,0.07278481012658228,1.2008196721311477,615
7,0.25,420,247,297,320,0.4016260162601626,0.48292682926829267,0.071875,1.2024291497975708,615
7,0.3,403,250,298,321,0.4065040650406504,0.4845528455284553,0.07165109034267912,1.192,615
7,0.35,391,259,301,324,0.4211382113821138,0.4894308943089431,0.07098765432098765,1.1621621621621623,615
7,0.4,373,262,301,324,0.42601626016260163,0.4894308943089431,0.07098765432098765,1.1488549618320612,615
7,0.5,336,273,302,325,0.44390243902439025,0.49105691056910566,0.07076923076923076,1.106227106227106,615
8,0.0,572,161,222,239,0.28146853146853146,0.3881118881118881,0.07112970711297072,1.37888198757764,572
8,0.05,572,161,222,239,0.28146853146853146,0.3881118881118881,0.07112970711297072,1.37888198757764,572
8,0.1,471,195,254,292,0.3409090909090909,0.44405594405594406,0.13013698630136986,1.3025641025641026,572
8,0.15,429,216,272,316,0.3776223776223776,0.4755244755244755,0.13924050632911392,1.2592592592592593,572
8,0.2,412,229,279,325,0.40034965034965037,0.48776223776223776,0.14153846153846153,1.2183406113537116,572
8,0.25,390,234,300,349,0.4090909090909091,0.5244755244755245,0.14040114613180515,1.282051282051282,572
8,0.3,369,243,310,360,0.42482517482517484,0.541958041958042,0.1388888888888889,1.2757201646090535,572
8,0.35,350,253,317,369,0.4423076923076923,0.5541958041958042,0.14092140921409213,1.2529644268774702,572
8,0.4,340,255,323,376,0.4458041958041958,0.5646853146853147,0.14095744680851063,1.2666666666666668,572
8,0.5,318,260,318,367,0.45454545454545453,0.5559440559440559,0.1335149863760218,1.2230769230769232,572
9,0.0,648,165,219,233,0.25462962962962965,0.33796296296296297,0.060085836909871244,1.3272727272727272,648
9,0.05,648,165,219,233,0.25462962962962965,0.33796296296296297,0.060085836909871244,1.3272727272727272,648
9,0.1,495,203,271,294,0.3132716049382716,0.4182098765432099,0.0782312925170068,1.3349753694581281,648
9,0.15,454,215,287,312,0.3317901234567901,0.44290123456790126,0.08012820512820513,1.3348837209302327,648
9,0.2,439,235,301,332,0.3626543209876543,0.4645061728395062,0.09337349397590361,1.2808510638297872,648
9,0.25,422,244,308,339,0.3765432098765432,0.47530864197530864,0.09144542772861357,1.2622950819672132,648
9,0.3,404,251,316,350,0.3873456790123457,0.4876543209876543,0.09714285714285714,1.2589641434262948,648
9,0.35,391,257,317,352,0.3966049382716049,0.48919753086419754,0.09943181818181818,1.2334630350194553,648
9,0.4,379,259,318,353,0.39969135802469136,0.49074074074074076,0.09915014164305949,1.2277992277992278,648
9,0.5,352,265,320,355,0.4089506172839506,0.49382716049382713,0.09859154929577464,1.2075471698113207,648
10,0.0,521,142,168,180,0.272552783109405,0.32245681381957775,0.06666666666666667,1.1830985915492958,521
10,0.05,521,142,168,180,0.272552783109405,0.32245681381957775,0.06666666666666667,1.1830985915492958,521
10,0.1,429,183,215,236,0.3512476007677543,0.4126679462571977,0.08898305084745763,1.1748633879781423,521
10,0.15,389,199,222,250,0.381957773512476,0.42610364683301344,0.112,1.1155778894472361,521
10,0.2,370,207,232,263,0.39731285988483683,0.44529750479846447,0.11787072243346007,1.1207729468599035,521
10,0.25,350,218,239,271,0.418426103646833,0.45873320537428025,0.11808118081180811,1.0963302752293578,521
10,0.3,329,220,246,281,0.42226487523992323,0.472168905950096,0.12455516014234876,1.1181818181818182,521
10,0.35,317,224,248,283,0.42994241842610365,0.4760076775431862,0.12367491166077739,1.1071428571428572,521
10,0.4,306,228,253,288,0.43761996161228406,0.4856046065259117,0.12152777777777778,1.1096491228070176,521
10,0.5,277,230,261,296,0.44145873320537427,0.5009596928982726,0.11824324324324324,1.1347826086956523,521
11,0.0,571,159,213,220,0.27845884413309985,0.37302977232924694,0.031818181818181815,1.3396226415094339,571
11,0.05,571,159,213,220,0.27845884413309985,0.37302977232924694,0.031818181818181815,1.3396226415094339,571
11,0.1,471,191,256,275,0.3345008756567426,0.44833625218914186,0.06909090909090909,1.3403141361256543,571
11,0.15,432,211,276,303,0.36952714535901926,0.48336252189141854,0.0891089108910891,1.3080568720379147,571
11,0.2,416,222,294,334,0.38879159369527144,0.5148861646234676,0.11976047904191617,1.3243243243243243,571
11,0.25,403,230,306,356,0.4028021015761821,0.5359019264448336,0.1404494382022472,1.3304347826086955,571
11,0.3,390,237,314,371,0.415061295971979,0.5499124343257443,0.15363881401617252,1.3248945147679325,571
11,0.35,378,238,327,395,0.4168126094570928,0.5726795096322241,0.17215189873417722,1.3739495798319328,571
11,0.4,363,239,328,400,0.4185639229422067,0.574430823117338,0.18,1.3723849372384935,571
11,0.5,327,244,327,384,0.4273204903677758,0.5726795096322241,0.1484375,1.3401639344262295,571
12,0.0,535,73,73,74,0.13644859813084112,0.13644859813084112,0.013513513513513514,1.0,535
12,0.05,535,73,73,74,0.13644859813084112,0.13644859813084112,0.013513513513513514,1.0,535
12,0.1,422,73,73,74,0.13644859813084112,0.13644859813084112,0.013513513513513514,1.0,535
12,0.15,383,73,73,74,0.13644859813084112,0.13644859813084112,0.013513513513513514,1.0,535
12,0.2,365,73,73,74,0.13644859813084112,0.13644859813084112,0.013513513513513514,1.0,535
12,0.25,348,73,73,74,0.13644859813084112,0.13644859813084112,0.013513513513513514,1.0,535
12,0.3,338,73,73,74,0.13644859813084112,0.13644859813084112,0.013513513513513514,1.0,535
12,0.35,325,73,73,74,0.13644859813084112,0.13644859813084112,0.013513513513513514,1.0,535
12,0.4,317,73,73,74,0.13644859813084112,0.13644859813084112,0.013513513513513514,1.0,535
12,0.5,284,73,73,74,0.13644859813084112,0.13644859813084112,0.013513513513513514,1.0,535
13,0.0,558,137,183,195,0.24551971326164876,0.3279569892473118,0.06153846153846154,1.335766423357664,558
13,0.05,558,137,183,195,0.24551971326164876,0.3279569892473118,0.06153846153846154,1.335766423357664,558
13,0.1,453,172,233,249,0.30824372759856633,0.4175627240143369,0.0642570281124498,1.3546511627906976,558
13,0.15,403,193,254,278,0.34587813620071683,0.4551971326164875,0.08633093525179857,1.3160621761658031,558
13,0.2,388,199,265,292,0.35663082437275984,0.47491039426523296,0.09246575342465753,1.3316582914572865,558
13,0.25,370,217,269,296,0.3888888888888889,0.482078853046595,0.09121621621621621,1.23963133640553,558
13,0.3,358,220,278,307,0.3942652329749104,0.4982078853046595,0.09446254071661238,1.2636363636363637,558
13,0.35,343,224,281,311,0.4014336917562724,0.503584229390681,0.09646302250803858,1.2544642857142858,558
13,0.4,331,229,281,312,0.4103942652329749,0.503584229390681,0.09935897435897435,1.2270742358078603,558
13,0.5,295,236,281,312,0.4229390681003584,0.503584229390681,0.09935897435897435,1.190677966101695,558
14,0.0,542,176,212,228,0.3247232472324723,0.39114391143911437,0.07017543859649122,1.2045454545454546,542
14,0.05,542,176,212,228,0.3247232472324723,0.39114391143911437,0.07017543859649122,1.2045454545454546,542
14,0.1,426,209,240,262,0.3856088560885609,0.44280442804428044,0.08396946564885496,1.1483253588516746,542
14,0.15,390,224,254,278,0.4132841328413284,0.46863468634686345,0.08633093525179857,1.1339285714285714,542
14,0.2,374,239,259,284,0.44095940959409596,0.477859778597786,0.0880281690140845,1.0836820083682008,542
14,0.25,363,241,259,284,0.4446494464944649,0.477859778597786,0.0880281690140845,1.074688796680498,542
14,0.3,355,242,268,295,0.44649446494464945,0.4944649446494465,0.09152542372881356,1.1074380165289257,542
14,0.35,345,247,269,296,0.45571955719557194,0.496309963099631,0.09121621621621621,1.0890688259109311,542
14,0.4,335,249,269,296,0.45940959409594095,0.496309963099631,0.09121621621621621,1.0803212851405624,542
14,0.5,307,252,270,297,0.46494464944649444,0.4981549815498155,0.09090909090909091,1.0714285714285716,542
15,0.0,577,161,206,212,0.27902946273830154,0.35701906412478335,0.02830188679245283,1.279503105590062,577
15,0.05,577,161,206,212,0.27902946273830154,0.35701906412478335,0.02830188679245283,1.279503105590062,577
15,0.1,471,185,233,256,0.32062391681109187,0.4038128249566724,0.08984375,1.2594594594594593,577
15,0.15,417,208,255,293,0.36048526863084923,0.44194107452339687,0.1296928327645051,1.2259615384615383,577
15,0.2,399,220,270,315,0.38128249566724437,0.4679376083188908,0.14285714285714285,1.2272727272727273,577
15,0.25,380,223,283,335,0.38648180242634317,0.4904679376083189,0.15522388059701492,1.2690582959641257,577
15,0.3,360,229,287,341,0.3968804159445407,0.49740034662045063,0.15835777126099707,1.2532751091703058,577
15,0.35,345,238,293,352,0.4124783362218371,0.5077989601386482,0.16761363636363635,1.23109243697479,577
15,0.4,330,248,299,362,0.42980935875216636,0.5181975736568457,0.17403314917127072,1.2056451612903225,577
15,0.5,305,249,305,366,0.43154246100519933,0.5285961871750433,0.16666666666666666,1.2248995983935742,577
16,0.0,648,149,178,188,0.22993827160493827,0.27469135802469136,0.05319148936170213,1.1946308724832215,648
16,0.05,648,149,178,188,0.22993827160493827,0.27469135802469136,0.05319148936170213,1.1946308724832215,648
16,0.1,512,190,229,246,0.2932098765432099,0.3533950617283951,0.06910569105691057,1.2052631578947368,648
16,0.15,462,204,244,263,0.3148148148148148,0.3765432098765432,0.07224334600760456,1.196078431372549,648
16,0.2,438,215,250,269,0.3317901234567901,0.38580246913580246,0.07063197026022305,1.1627906976744187,648
16,0.25,409,220,260,281,0.3395061728395062,0.4012345679012346,0.07473309608540925,1.1818181818181819,648
16,0.3,396,223,266,287,0.3441358024691358,0.4104938271604938,0.07317073170731707,1.1928251121076234,648
16,0.35,383,227,266,290,0.35030864197530864,0.4104938271604938,0.08275862068965517,1.171806167400881,648
16,0.4,363,231,271,295,0.35648148148148145,0.4182098765432099,0.08135593220338982,1.1731601731601733,648
16,0.5,314,238,273,297,0.36728395061728397,0.4212962962962963,0.08080808080808081,1.1470588235294117,648
17,0.0,508,127,158,165,0.25,0.3110236220472441,0.04242424242424243,1.2440944881889764,508
17,0.05,508,127,158,165,0.25,0.3110236220472441,0.04242424242424243,1.2440944881889764,508
17,0.1,404,169,209,241,0.33267716535433073,0.41141732283464566,0.13278008298755187,1.2366863905325443,508
17,0.15,369,186,227,265,0.3661417322834646,0.4468503937007874,0.14339622641509434,1.2204301075268815,508
17,0.2,358,204,244,287,0.4015748031496063,0.48031496062992124,0.14982578397212543,1.196078431372549,508
17,0.25,344,207,246,293,0.4074803149606299,0.484251968503937,0.16040955631399317,1.1884057971014492,508
17,0.3,334,211,250,300,0.4153543307086614,0.4921259842519685,0.16666666666666666,1.1848341232227488,508
17,0.35,323,224,255,308,0.4409448818897638,0.5019685039370079,0.17207792207792208,1.1383928571428572,508
17,0.4,311,226,256,311,0.4448818897637795,0.5039370078740157,0.17684887459807075,1.1327433628318584,508
17,0.5,271,239,271,329,0.4704724409448819,0.5334645669291339,0.1762917933130699,1.1338912133891215,508
18,0.0,591,142,186,203,0.24027072758037224,0.3147208121827411,0.08374384236453201,1.3098591549295775,591
18,0.05,591,142,186,203,0.24027072758037224,0.3147208121827411,0.08374384236453201,1.3098591549295775,591
18,0.1,483,195,247,282,0.3299492385786802,0.4179357021996616,0.12411347517730496,1.2666666666666666,591
18,0.15,447,210,261,303,0.3553299492385787,0.4416243654822335,0.13861386138613863,1.2428571428571429,591
18,0.2,426,221,273,321,0.3739424703891709,0.4619289340101523,0.14953271028037382,1.2352941176470589,591
18,0.25,407,234,286,336,0.39593908629441626,0.48392554991539766,0.1488095238095238,1.2222222222222223,591
18,0.3,391,246,295,348,0.41624365482233505,0.49915397631133673,0.15229885057471265,1.1991869918699187,591
18,0.35,373,247,308,364,0.4179357021996616,0.5211505922165821,0.15384615384615385,1.2469635627530367,591
18,0.4,355,253,312,369,0.428087986463621,0.5279187817258884,0.15447154471544716,1.233201581027668,591
18,0.5,313,263,313,373,0.4450084602368866,0.5296108291032149,0.16085790884718498,1.1901140684410647,591
19,0.0,529,153,195,209,0.2892249527410208,0.3686200378071834,0.06698564593301436,1.2745098039215688,529
19,0.05,529,153,195,209,0.2892249527410208,0.3686200378071834,0.06698564593301436,1.2745098039215688,529
19,0.1,434,190,236,263,0.3591682419659735,0.44612476370510395,0.10266159695817491,1.2421052631578948,529
19,0.15,401,215,246,277,0.4064272211720227,0.46502835538752363,0.11191335740072202,1.144186046511628,529
19,0.2,382,219,247,278,0.41398865784499056,0.4669187145557656,0.11151079136690648,1.1278538812785388,529
19,0.25,355,221,253,286,0.41776937618147447,0.4782608695652174,0.11538461538461539,1.144796380090498,529
19,0.3,341,226,257,290,0.42722117202268434,0.48582230623818523,0.11379310344827587,1.1371681415929202,529
19,0.35,335,229,259,293,0.43289224952741023,0.4896030245746692,0.11604095563139932,1.131004366812227,529
19,0.4,321,229,261,295,0.43289224952741023,0.4933837429111531,0.1152542372881356,1.1397379912663754,529
19,0.5,289,231,261,296,0.43667296786389415,0.4933837429111531,0.11824324324324324,1.12987012987013,529
