alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,cal_null_size,n_cal
0.15,249,90,152,16,136,0.10526315789473684,0.22553897180762852,0.023315484158857654,0.3,2590,4,betting,all,1674
0.2,249,97,167,19,148,0.11377245508982035,0.24543946932006633,0.030582648052527573,0.3,2590,4,betting,all,1674
0.05,249,45,51,3,48,0.058823529411764705,0.08633093525179857,0.012048192771084338,0.3,2149,5,betting,all,1798
0.1,249,75,98,11,87,0.11224489795918367,0.1564748201438849,0.029785809906291833,0.3,2149,5,betting,all,1798
0.15,249,85,128,14,114,0.109375,0.20503597122302158,0.03611883431160539,0.3,2149,5,betting,all,1798
0.2,249,102,162,26,136,0.16049382716049382,0.2446043165467626,0.05971505067890609,0.3,2149,5,betting,all,1798
0.05,249,54,65,1,64,0.015384615384615385,0.1198501872659176,0.002008032128514056,0.3,2184,6,betting,all,2002
0.1,249,73,89,3,86,0.033707865168539325,0.16104868913857678,0.010040160642570281,0.3,2184,6,betting,all,2002
0.15,249,99,134,9,125,0.06716417910447761,0.2340823970037453,0.028112449799196786,0.3,2184,6,betting,all,2002
0.2,249,107,153,15,138,0.09803921568627451,0.25842696629213485,0.03815261044176707,0.3,2184,6,betting,all,2002
0.05,249,60,77,4,73,0.05194805194805195,0.13035714285714287,0.01606425702811245,0.3,2167,7,betting,all,1703
0.1,249,77,101,6,95,0.0594059405940594,0.16964285714285715,0.024096385542168676,0.3,2167,7,betting,all,1703
0.15,249,88,123,6,117,0.04878048780487805,0.20892857142857144,0.024096385542168676,0.3,2167,7,betting,all,1703
0.2,249,102,153,15,138,0.09803921568627451,0.24642857142857144,0.03480589022757697,0.3,2167,7,betting,all,1703
0.05,249,64,85,5,80,0.058823529411764705,0.16194331983805668,0.01104417670682731,0.3,1955,8,betting,all,2430
0.1,249,82,115,7,108,0.06086956521739131,0.21862348178137653,0.01706827309236948,0.3,1955,8,betting,all,2430
0.15,249,97,138,12,126,0.08695652173913043,0.2550607287449393,0.031191432396251672,0.3,1955,8,betting,all,2430
0.2,249,101,145,14,131,0.09655172413793103,0.2651821862348178,0.03333333333333333,0.3,1955,8,betting,all,2430
0.05,249,59,86,3,83,0.03488372093023256,0.1443478260869565,0.006827309236947791,0.3,2582,9,betting,all,1544
0.1,249,65,96,3,93,0.03125,0.1617391304347826,0.006827309236947791,0.3,2582,9,betting,all,1544
0.15,249,84,130,6,124,0.046153846153846156,0.21565217391304348,0.013855421686746989,0.3,2582,9,betting,all,1544
0.2,249,99,163,12,151,0.0736196319018405,0.26260869565217393,0.025568942436412313,0.3,2582,9,betting,all,1544
0.05,249,62,75,0,75,0.0,0.16778523489932887,0.0,0.3,1806,10,betting,all,1989
0.1,249,73,89,1,88,0.011235955056179775,0.19686800894854586,0.004016064257028112,0.3,1806,10,betting,all,1989
0.15,249,84,107,5,102,0.04672897196261682,0.22818791946308725,0.01606425702811245,0.3,1806,10,betting,all,1989
0.2,249,102,133,11,122,0.08270676691729323,0.27293064876957496,0.028781793842034803,0.3,1806,10,betting,all,1989
0.05,249,76,91,2,89,0.02197802197802198,0.16666666666666666,0.006024096385542169,0.3,1784,11,betting,all,1768
0.1,249,94,127,7,120,0.05511811023622047,0.2247191011235955,0.019076305220883535,0.3,1784,11,betting,all,1768
0.15,249,100,150,12,138,0.08,0.25842696629213485,0.025100401606425703,0.3,1784,11,betting,all,1768
0.2,249,122,202,25,177,0.12376237623762376,0.33146067415730335,0.04254380157994616,0.3,1784,11,betting,all,1768
0.05,249,56,75,0,75,0.0,0.13736263736263737,0.0,0.3,2177,12,betting,all,1983
0.1,249,67,95,0,95,0.0,0.17399267399267399,0.0,0.3,2177,12,betting,all,1983
0.15,249,73,105,2,103,0.01904761904761905,0.18864468864468864,0.004016064257028112,0.3,2177,12,betting,all,1983
0.2,249,96,152,11,141,0.07236842105263158,0.25824175824175827,0.014964620386307134,0.3,2177,12,betting,all,1983
0.05,249,69,90,2,88,0.022222222222222223,0.1647940074906367,0.008032128514056224,0.3,1737,13,betting,all,2071
0.1,249,90,124,7,117,0.056451612903225805,0.21910112359550563,0.02342704149933066,0.3,1737,13,betting,all,2071
