alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method
0.1,238,116,156,1,155,0.00641025641025641,0.4046997389033943,0.004201680672268907,12,betting
0.15,238,127,168,1,167,0.005952380952380952,0.4360313315926893,0.004201680672268907,12,betting
0.2,238,128,169,1,168,0.005917159763313609,0.4386422976501306,0.004201680672268907,12,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,12,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,12,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,12,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,12,binary
0.05,238,158,239,6,233,0.02510460251046025,0.608355091383812,0.017156862745098037,12,pvalue_bh
0.1,238,170,272,11,261,0.04044117647058824,0.6814621409921671,0.025910364145658265,12,pvalue_bh
0.15,238,178,293,18,275,0.06143344709897611,0.7180156657963447,0.04411764705882353,12,pvalue_bh
0.2,238,185,310,22,288,0.07096774193548387,0.7519582245430809,0.054761904761904755,12,pvalue_bh
0.05,238,127,176,4,172,0.022727272727272728,0.4075829383886256,0.01680672268907563,13,betting
0.1,238,133,183,4,179,0.02185792349726776,0.42417061611374407,0.01680672268907563,13,betting
0.15,238,135,185,4,181,0.021621621621621623,0.42890995260663506,0.01680672268907563,13,betting
0.2,238,136,186,4,182,0.021505376344086023,0.4312796208530806,0.01680672268907563,13,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,13,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,13,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,13,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,13,binary
0.05,238,145,219,10,209,0.045662100456621,0.495260663507109,0.0328781512605042,13,pvalue_bh
0.1,238,168,280,15,265,0.05357142857142857,0.6279620853080569,0.04472455648926237,13,pvalue_bh
0.15,238,182,339,33,306,0.09734513274336283,0.7251184834123223,0.07725462734113252,13,pvalue_bh
0.2,238,189,370,37,333,0.1,0.7890995260663507,0.08260858710685699,13,pvalue_bh
