alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,cal_null_size,n_cal
0.2,238,159,223,6,217,0.026905829596412557,0.5802139037433155,0.023109243697478993,6,betting,all,245
0.05,238,125,151,4,147,0.026490066225165563,0.40384615384615385,0.01680672268907563,7,betting,all,228
0.1,238,139,180,8,172,0.044444444444444446,0.4725274725274725,0.028711484593837534,7,betting,all,228
0.15,238,147,197,9,188,0.04568527918781726,0.5164835164835165,0.030112044817927168,7,betting,all,228
0.2,238,152,214,14,200,0.06542056074766354,0.5494505494505495,0.03858543417366947,7,betting,all,228
0.05,238,108,143,1,142,0.006993006993006993,0.3558897243107769,0.004201680672268907,8,betting,all,241
0.1,238,124,165,3,162,0.01818181818181818,0.40601503759398494,0.012605042016806723,8,betting,all,241
0.15,238,126,169,3,166,0.01775147928994083,0.41604010025062654,0.012605042016806723,8,betting,all,241
0.2,238,126,169,3,166,0.01775147928994083,0.41604010025062654,0.012605042016806723,8,betting,all,241
0.05,238,119,149,1,148,0.006711409395973154,0.3654320987654321,0.004201680672268907,9,betting,all,297
0.1,238,121,151,1,150,0.006622516556291391,0.37037037037037035,0.004201680672268907,9,betting,all,297
0.15,238,121,151,1,150,0.006622516556291391,0.37037037037037035,0.004201680672268907,9,betting,all,297
0.2,238,121,151,1,150,0.006622516556291391,0.37037037037037035,0.004201680672268907,9,betting,all,297
0.05,238,116,161,4,157,0.024844720496894408,0.3925,0.01680672268907563,10,betting,all,234
0.1,238,134,181,6,175,0.03314917127071823,0.4375,0.025210084033613446,10,betting,all,234
0.15,238,140,187,6,181,0.03208556149732621,0.4525,0.025210084033613446,10,betting,all,234
0.2,238,141,188,6,182,0.031914893617021274,0.455,0.025210084033613446,10,betting,all,234
0.05,238,116,149,1,148,0.006711409395973154,0.354916067146283,0.004201680672268907,11,betting,all,245
0.1,238,118,151,1,150,0.006622516556291391,0.3597122302158273,0.004201680672268907,11,betting,all,245
0.15,238,120,153,1,152,0.006535947712418301,0.3645083932853717,0.004201680672268907,11,betting,all,245
0.2,238,120,153,1,152,0.006535947712418301,0.3645083932853717,0.004201680672268907,11,betting,all,245
0.05,238,78,103,1,102,0.009708737864077669,0.26631853785900783,0.004201680672268907,12,betting,all,255
0.1,238,116,156,1,155,0.00641025641025641,0.4046997389033943,0.004201680672268907,12,betting,all,255
0.15,238,127,168,1,167,0.005952380952380952,0.4360313315926893,0.004201680672268907,12,betting,all,255
0.2,238,128,169,1,168,0.005917159763313609,0.4386422976501306,0.004201680672268907,12,betting,all,255
0.05,238,127,176,4,172,0.022727272727272728,0.4075829383886256,0.01680672268907563,13,betting,all,213
0.1,238,133,183,4,179,0.02185792349726776,0.42417061611374407,0.01680672268907563,13,betting,all,213
0.15,238,135,185,4,181,0.021621621621621623,0.42890995260663506,0.01680672268907563,13,betting,all,213
0.2,238,136,186,4,182,0.021505376344086023,0.4312796208530806,0.01680672268907563,13,betting,all,213
0.05,238,116,135,2,133,0.014814814814814815,0.3136792452830189,0.008403361344537815,14,betting,all,229
0.1,238,125,146,2,144,0.0136986301369863,0.33962264150943394,0.008403361344537815,14,betting,all,229
0.15,238,126,147,2,145,0.013605442176870748,0.3419811320754717,0.008403361344537815,14,betting,all,229
0.2,238,126,147,2,145,0.013605442176870748,0.3419811320754717,0.008403361344537815,14,betting,all,229
0.05,238,118,152,1,151,0.006578947368421052,0.41032608695652173,0.004201680672268907,15,betting,all,256
0.1,238,125,161,1,160,0.006211180124223602,0.43478260869565216,0.004201680672268907,15,betting,all,256
0.15,238,128,164,1,163,0.006097560975609756,0.4429347826086957,0.004201680672268907,15,betting,all,256
