alpha,total_rejections,fp,tp,fdp,recall,threshold,seed,method
0.15,348,52,296,0.14942528735632185,0.8131868131868132,0.4777024090290069,7,score_oracle
0.2,392,78,314,0.1989795918367347,0.8626373626373627,0.3213921785354614,7,score_oracle
0.05,308,15,293,0.048701298701298704,0.7343358395989975,0.6446636915206909,8,score_oracle
0.1,361,36,325,0.0997229916897507,0.8145363408521303,0.4202991127967834,8,score_oracle
0.15,398,59,339,0.14824120603015076,0.849624060150376,0.2909282445907593,8,score_oracle
0.2,437,87,350,0.19908466819221968,0.8771929824561403,0.1988577395677566,8,score_oracle
0.05,289,14,275,0.04844290657439446,0.6790123456790124,0.6957274079322815,9,score_oracle
0.1,364,36,328,0.0989010989010989,0.8098765432098766,0.4283517599105835,9,score_oracle
0.15,417,62,355,0.1486810551558753,0.8765432098765432,0.2528790235519409,9,score_oracle
0.2,461,92,369,0.19956616052060738,0.9111111111111111,0.1591603457927703,9,score_oracle
0.05,284,14,270,0.04929577464788732,0.675,0.763477087020874,10,score_oracle
0.1,347,34,313,0.09798270893371758,0.7825,0.5413742661476135,10,score_oracle
0.15,402,60,342,0.14925373134328357,0.855,0.342133104801178,10,score_oracle
0.2,442,88,354,0.19909502262443438,0.885,0.2140815258026123,10,score_oracle
0.05,333,16,317,0.04804804804804805,0.7601918465227818,0.5522001385688782,11,score_oracle
0.1,386,38,348,0.09844559585492228,0.8345323741007195,0.3537850081920624,11,score_oracle
0.15,429,64,365,0.14918414918414918,0.8752997601918465,0.2634892463684082,11,score_oracle
0.2,476,95,381,0.19957983193277312,0.9136690647482014,0.1575565934181213,11,score_oracle
0.05,305,15,290,0.04918032786885246,0.7571801566579635,0.595104992389679,12,score_oracle
0.1,354,35,319,0.09887005649717515,0.8328981723237598,0.3766461908817291,12,score_oracle
0.15,397,59,338,0.1486146095717884,0.8825065274151436,0.2777101099491119,12,score_oracle
0.2,433,86,347,0.19861431870669746,0.9060052219321149,0.1948061883449554,12,score_oracle
0.05,308,15,293,0.048701298701298704,0.6943127962085308,0.7263723015785217,13,score_oracle
0.1,381,38,343,0.09973753280839895,0.8127962085308057,0.5016748905181885,13,score_oracle
0.15,423,63,360,0.14893617021276595,0.8530805687203792,0.3463311791419983,13,score_oracle
0.2,467,93,374,0.19914346895074947,0.8862559241706162,0.2381312400102615,13,score_oracle
0.05,326,16,310,0.049079754601226995,0.7311320754716981,0.6408571600914001,14,score_oracle
0.1,378,37,341,0.09788359788359788,0.8042452830188679,0.4857283234596252,14,score_oracle
0.15,430,64,366,0.14883720930232558,0.8632075471698113,0.3009925186634063,14,score_oracle
0.2,477,95,382,0.19916142557651992,0.9009433962264151,0.1870689988136291,14,score_oracle
0.05,306,15,291,0.049019607843137254,0.7907608695652174,0.6272198557853699,15,score_oracle
0.1,345,34,311,0.09855072463768116,0.845108695652174,0.388853907585144,15,score_oracle
0.15,381,57,324,0.14960629921259844,0.8804347826086957,0.2732839286327362,15,score_oracle
0.2,413,82,331,0.19854721549636803,0.8994565217391305,0.1970337331295013,15,score_oracle
0.05,271,13,258,0.04797047970479705,0.6972972972972973,0.6957274079322815,16,score_oracle
0.1,322,32,290,0.09937888198757763,0.7837837837837838,0.4860773384571075,16,score_oracle
0.15,370,55,315,0.14864864864864866,0.8513513513513513,0.3092166185379028,16,score_oracle
0.2,403,80,323,0.19851116625310175,0.8729729729729729,0.2216583043336868,16,score_oracle
0.05,271,13,258,0.04797047970479705,0.6789473684210526,0.74174964427948,17,score_oracle
0.1,341,34,307,0.09970674486803519,0.8078947368421052,0.540285587310791,17,score_oracle
0.15,380,57,323,0.15,0.85,0.3854401707649231,17,score_oracle
0.2,426,85,341,0.19953051643192488,0.8973684210526316,0.2708659768104553,17,score_oracle
