alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,stratum
0.15,220,119,143,1,142,0.006993006993006993,0.45806451612903226,0.004545454545454545,12,betting,K<=5
0.15,18,8,25,0,25,0.0,0.3424657534246575,0.0,12,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,12,betting,K>30
0.2,220,119,143,1,142,0.006993006993006993,0.45806451612903226,0.004545454545454545,12,betting,K<=5
0.2,18,9,26,0,26,0.0,0.3561643835616438,0.0,12,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,12,betting,K>30
0.05,210,115,139,4,135,0.02877697841726619,0.47368421052631576,0.01904761904761905,13,betting,K<=5
0.05,28,12,37,0,37,0.0,0.27007299270072993,0.0,13,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,13,betting,K>30
0.1,210,115,139,4,135,0.02877697841726619,0.47368421052631576,0.01904761904761905,13,betting,K<=5
0.1,28,18,44,0,44,0.0,0.32116788321167883,0.0,13,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,13,betting,K>30
0.15,210,115,139,4,135,0.02877697841726619,0.47368421052631576,0.01904761904761905,13,betting,K<=5
0.15,28,20,46,0,46,0.0,0.3357664233576642,0.0,13,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,13,betting,K>30
0.2,210,115,139,4,135,0.02877697841726619,0.47368421052631576,0.01904761904761905,13,betting,K<=5
0.2,28,21,47,0,47,0.0,0.34306569343065696,0.0,13,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,13,betting,K>30
0.05,215,112,126,2,124,0.015873015873015872,0.40390879478827363,0.009302325581395349,14,betting,K<=5
0.05,23,4,9,0,9,0.0,0.07692307692307693,0.0,14,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,14,betting,K>30
0.1,215,112,126,2,124,0.015873015873015872,0.40390879478827363,0.009302325581395349,14,betting,K<=5
0.1,23,13,20,0,20,0.0,0.17094017094017094,0.0,14,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,14,betting,K>30
0.15,215,112,126,2,124,0.015873015873015872,0.40390879478827363,0.009302325581395349,14,betting,K<=5
0.15,23,14,21,0,21,0.0,0.1794871794871795,0.0,14,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,14,betting,K>30
0.2,215,112,126,2,124,0.015873015873015872,0.40390879478827363,0.009302325581395349,14,betting,K<=5
0.2,23,14,21,0,21,0.0,0.1794871794871795,0.0,14,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,14,betting,K>30
0.05,218,111,128,1,127,0.0078125,0.4703703703703704,0.0045871559633027525,15,betting,K<=5
0.05,20,7,24,0,24,0.0,0.24489795918367346,0.0,15,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,15,betting,K>30
0.1,218,115,132,1,131,0.007575757575757576,0.48518518518518516,0.0045871559633027525,15,betting,K<=5
0.1,20,10,29,0,29,0.0,0.29591836734693877,0.0,15,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,15,betting,K>30
0.15,218,115,132,1,131,0.007575757575757576,0.48518518518518516,0.0045871559633027525,15,betting,K<=5
0.15,20,13,32,0,32,0.0,0.32653061224489793,0.0,15,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,15,betting,K>30
0.2,218,115,132,1,131,0.007575757575757576,0.48518518518518516,0.0045871559633027525,15,betting,K<=5
0.2,20,13,32,0,32,0.0,0.32653061224489793,0.0,15,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,15,betting,K>30
0.05,211,83,102,0,102,0.0,0.3938223938223938,0.0,16,betting,K<=5
0.05,27,7,18,0,18,0.0,0.16216216216216217,0.0,16,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,16,betting,K>30
0.1,211,86,105,0,105,0.0,0.40540540540540543,0.0,16,betting,K<=5
0.1,27,14,25,0,25,0.0,0.22522522522522523,0.0,16,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,16,betting,K>30
0.15,211,86,105,0,105,0.0,0.40540540540540543,0.0,16,betting,K<=5
0.15,27,15,26,0,26,0.0,0.23423423423423423,0.0,16,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,16,betting,K>30
0.2,211,86,105,0,105,0.0,0.40540540540540543,0.0,16,betting,K<=5
0.2,27,16,27,0,27,0.0,0.24324324324324326,0.0,16,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,16,betting,K>30
0.05,209,95,118,0,118,0.0,0.44866920152091255,0.0,17,betting,K<=5
0.05,29,7,18,2,16,0.1111111111111111,0.13675213675213677,0.028735632183908042,17,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,17,betting,K>30
0.1,209,104,127,0,127,0.0,0.4828897338403042,0.0,17,betting,K<=5
0.1,29,11,23,2,21,0.08695652173913043,0.1794871794871795,0.028735632183908042,17,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,17,betting,K>30
0.15,209,104,127,0,127,0.0,0.4828897338403042,0.0,17,betting,K<=5
0.15,29,16,29,2,27,0.06896551724137931,0.23076923076923078,0.028735632183908042,17,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,17,betting,K>30
0.2,209,104,127,0,127,0.0,0.4828897338403042,0.0,17,betting,K<=5
0.2,29,17,30,2,28,0.06666666666666667,0.23931623931623933,0.028735632183908042,17,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,17,betting,K>30
0.05,217,89,97,0,97,0.0,0.3702290076335878,0.0,18,betting,K<=5
0.05,21,4,11,0,11,0.0,0.14102564102564102,0.0,18,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,18,betting,K>30
0.1,217,94,102,0,102,0.0,0.3893129770992366,0.0,18,betting,K<=5
0.1,21,8,16,0,16,0.0,0.20512820512820512,0.0,18,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,18,betting,K>30
0.15,217,94,102,0,102,0.0,0.3893129770992366,0.0,18,betting,K<=5
0.15,21,10,18,0,18,0.0,0.23076923076923078,0.0,18,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,18,betting,K>30
