selected,selected_fraction,threshold,fp,tp,fdp,recall
1013,0.8001579778830964,0.05544544756412506,1013,0,1.0,0.0
1025,0.8096366508688784,0.055175479501485825,1025,0,1.0,0.0
1038,0.8199052132701422,0.05490197613835335,1038,0,1.0,0.0
1051,0.830173775671406,0.05451744422316551,1051,0,1.0,0.0
1063,0.839652448657188,0.05433746427297592,1063,0,1.0,0.0
1076,0.8499210110584519,0.05405531823635101,1076,0,1.0,0.0
1089,0.8601895734597157,0.053829021751880646,1089,0,1.0,0.0
1101,0.8696682464454977,0.05356543883681297,1101,0,1.0,0.0
1114,0.8799368088467614,0.053269803524017334,1114,0,1.0,0.0
1127,0.8902053712480252,0.05298968032002449,1127,0,1.0,0.0
1139,0.8996840442338072,0.052669283002614975,1139,0,1.0,0.0
1152,0.909952606635071,0.05239380523562431,1152,0,1.0,0.0
1165,0.9202211690363349,0.052164461463689804,1165,0,1.0,0.0
1177,0.9296998420221169,0.051910679787397385,1177,0,1.0,0.0
1190,0.9399684044233807,0.05159645155072212,1190,0,1.0,0.0
1203,0.9502369668246445,0.05135124549269676,1203,0,1.0,0.0
1215,0.9597156398104265,0.051088836044073105,1215,0,1.0,0.0
1228,0.9699842022116903,0.050894103944301605,1228,0,1.0,0.0
1241,0.9802527646129542,0.05065278336405754,1241,0,1.0,0.0
1253,0.9897314375987362,0.05036996304988861,1253,0,1.0,0.0
1266,1.0,0.05000883713364601,1266,0,1.0,0.0
