seed,alpha,iou_thresh,n_candidates,n_clusters,compression_ratio,mean_cluster_size,max_cluster_size,nms_rej,nms_fp,nms_tp,nms_tp_members,nms_fdp_pooled,nms_family_fdp_mean,nms_recall_cluster,nms_recall_members,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall,total_tp_clusters,nms_hit_tp_clusters,base_hit_tp_clusters,nms_recall_object,base_recall_object
2,0.15,0.7,6659,6659,1.0,1.0,1,136,12,124,124,0.08823529411764706,0.01551831160769708,0.18452380952380953,0.18452380952380953,136,12,124,0.08823529411764706,0.01551831160769708,0.18452380952380953,672,124,124,0.18452380952380953,0.18452380952380953
2,0.2,0.7,6659,6659,1.0,1.0,1,144,13,131,131,0.09027777777777778,0.01738050900062073,0.1949404761904762,0.1949404761904762,144,13,131,0.09027777777777778,0.01738050900062073,0.1949404761904762,672,131,131,0.1949404761904762,0.1949404761904762
3,0.05,0.7,5192,5192,1.0,1.0,1,120,2,118,118,0.016666666666666666,0.002793296089385475,0.19376026272577998,0.19376026272577998,120,2,118,0.016666666666666666,0.002793296089385475,0.19376026272577998,609,118,118,0.19376026272577998,0.19376026272577998
3,0.1,0.7,5192,5192,1.0,1.0,1,140,4,136,136,0.02857142857142857,0.004655493482309125,0.2233169129720854,0.2233169129720854,140,4,136,0.02857142857142857,0.004655493482309125,0.2233169129720854,609,136,136,0.2233169129720854,0.2233169129720854
3,0.15,0.7,5192,5192,1.0,1.0,1,154,6,148,148,0.03896103896103896,0.008379888268156424,0.24302134646962234,0.24302134646962234,154,6,148,0.03896103896103896,0.008379888268156424,0.24302134646962234,609,148,148,0.24302134646962234,0.24302134646962234
3,0.2,0.7,5192,5192,1.0,1.0,1,171,10,161,161,0.05847953216374269,0.013345747982619489,0.26436781609195403,0.26436781609195403,171,10,161,0.05847953216374269,0.013345747982619489,0.26436781609195403,609,161,161,0.26436781609195403,0.26436781609195403
4,0.05,0.7,5971,5971,1.0,1.0,1,94,2,92,92,0.02127659574468085,0.0037243947858473,0.14219474497681608,0.14219474497681608,94,2,92,0.02127659574468085,0.0037243947858473,0.14219474497681608,647,92,92,0.14219474497681608,0.14219474497681608
4,0.1,0.7,5971,5971,1.0,1.0,1,118,5,113,113,0.0423728813559322,0.006828057107386715,0.17465224111282843,0.17465224111282843,118,5,113,0.0423728813559322,0.006828057107386715,0.17465224111282843,647,113,113,0.17465224111282843,0.17465224111282843
4,0.15,0.7,5971,5971,1.0,1.0,1,130,7,123,123,0.05384615384615385,0.010552451893234015,0.1901081916537867,0.1901081916537867,130,7,123,0.05384615384615385,0.010552451893234015,0.1901081916537867,647,123,123,0.1901081916537867,0.1901081916537867
4,0.2,0.7,5971,5971,1.0,1.0,1,148,10,138,138,0.06756756756756757,0.013345747982619489,0.2132921174652241,0.2132921174652241,148,10,138,0.06756756756756757,0.013345747982619489,0.2132921174652241,647,138,138,0.2132921174652241,0.2132921174652241
