alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,stratum
0.2,23,0,0,0,0,0.0,0.0,0.0,2,betting,K>30
0.2,139,45,51,1,50,0.0196078431372549,0.36496350364963503,0.007194244604316547,2,betting,K<=5
0.05,142,27,30,0,30,0.0,0.23622047244094488,0.0,3,betting,K<=5
0.05,27,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.05,80,4,7,1,6,0.14285714285714285,0.024390243902439025,0.0125,3,betting,5<K<=30
0.1,142,32,35,0,35,0.0,0.2755905511811024,0.0,3,betting,K<=5
0.1,27,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.1,80,6,12,1,11,0.08333333333333333,0.044715447154471545,0.00625,3,betting,5<K<=30
0.15,142,35,38,0,38,0.0,0.2992125984251969,0.0,3,betting,K<=5
0.15,27,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.15,80,9,16,2,14,0.125,0.056910569105691054,0.01875,3,betting,5<K<=30
0.2,142,40,43,0,43,0.0,0.33858267716535434,0.0,3,betting,K<=5
0.2,27,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.2,80,9,17,2,15,0.11764705882352941,0.06097560975609756,0.01875,3,betting,5<K<=30
0.05,149,28,34,0,34,0.0,0.21656050955414013,0.0,4,betting,K<=5
0.05,27,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.05,73,7,15,0,15,0.0,0.06493506493506493,0.0,4,betting,5<K<=30
0.1,149,36,44,0,44,0.0,0.2802547770700637,0.0,4,betting,K<=5
0.1,27,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.1,73,13,26,0,26,0.0,0.11255411255411256,0.0,4,betting,5<K<=30
0.15,149,40,48,1,47,0.020833333333333332,0.29936305732484075,0.006711409395973154,4,betting,K<=5
0.15,27,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.15,73,15,30,0,30,0.0,0.12987012987012986,0.0,4,betting,5<K<=30
0.2,149,48,57,1,56,0.017543859649122806,0.35668789808917195,0.006711409395973154,4,betting,K<=5
0.2,27,0,0,0,0,0.0,0.0,0.0,4,betting,K>30
0.2,73,20,35,1,34,0.02857142857142857,0.1471861471861472,0.0136986301369863,4,betting,5<K<=30
0.05,142,15,17,0,17,0.0,0.12318840579710146,0.0,5,betting,K<=5
0.05,24,0,0,0,0,0.0,0.0,0.0,5,betting,K>30
0.05,83,0,0,0,0,0.0,0.0,0.0,5,betting,5<K<=30
0.1,142,25,29,1,28,0.034482758620689655,0.2028985507246377,0.0035211267605633804,5,betting,K<=5
0.1,24,0,0,0,0,0.0,0.0,0.0,5,betting,K>30
0.1,83,4,4,0,4,0.0,0.017167381974248927,0.0,5,betting,5<K<=30
0.15,142,27,32,2,30,0.0625,0.21739130434782608,0.01056338028169014,5,betting,K<=5
0.15,24,1,5,0,5,0.0,0.02702702702702703,0.0,5,betting,K>30
0.15,83,10,13,0,13,0.0,0.055793991416309016,0.0,5,betting,5<K<=30
0.2,142,30,35,2,33,0.05714285714285714,0.2391304347826087,0.01056338028169014,5,betting,K<=5
0.2,24,1,8,0,8,0.0,0.043243243243243246,0.0,5,betting,K>30
0.2,83,12,19,0,19,0.0,0.0815450643776824,0.0,5,betting,5<K<=30
0.05,141,19,21,0,21,0.0,0.16030534351145037,0.0,6,betting,K<=5
0.05,88,6,10,1,9,0.1,0.036,0.011363636363636364,6,betting,5<K<=30
0.05,20,0,0,0,0,0.0,0.0,0.0,6,betting,K>30
0.1,141,29,33,0,33,0.0,0.25190839694656486,0.0,6,betting,K<=5
0.1,88,9,15,1,14,0.06666666666666667,0.056,0.005681818181818182,6,betting,5<K<=30
0.1,20,0,0,0,0,0.0,0.0,0.0,6,betting,K>30
0.15,141,34,39,0,39,0.0,0.29770992366412213,0.0,6,betting,K<=5
0.15,88,13,19,1,18,0.05263157894736842,0.072,0.005681818181818182,6,betting,5<K<=30
0.15,20,0,0,0,0,0.0,0.0,0.0,6,betting,K>30
0.2,141,39,44,1,43,0.022727272727272728,0.3282442748091603,0.0070921985815602835,6,betting,K<=5
0.2,88,17,24,1,23,0.041666666666666664,0.092,0.005681818181818182,6,betting,5<K<=30
0.2,20,0,0,0,0,0.0,0.0,0.0,6,betting,K>30
0.05,85,9,16,0,16,0.0,0.06153846153846154,0.0,7,betting,5<K<=30
0.05,19,0,0,0,0,0.0,0.0,0.0,7,betting,K>30
0.05,145,26,29,1,28,0.034482758620689655,0.1917808219178082,0.006896551724137931,7,betting,K<=5
0.1,85,9,19,0,19,0.0,0.07307692307692308,0.0,7,betting,5<K<=30
0.1,19,0,0,0,0,0.0,0.0,0.0,7,betting,K>30
0.1,145,35,39,1,38,0.02564102564102564,0.2602739726027397,0.006896551724137931,7,betting,K<=5
0.15,85,11,23,0,23,0.0,0.08846153846153847,0.0,7,betting,5<K<=30
0.15,19,0,0,0,0,0.0,0.0,0.0,7,betting,K>30
0.15,145,43,47,2,45,0.0425531914893617,0.3082191780821918,0.013793103448275862,7,betting,K<=5
0.2,85,13,26,0,26,0.0,0.1,0.0,7,betting,5<K<=30
0.2,19,0,0,0,0,0.0,0.0,0.0,7,betting,K>30
0.2,145,43,48,2,46,0.041666666666666664,0.3150684931506849,0.010344827586206896,7,betting,K<=5
0.05,159,34,38,0,38,0.0,0.2235294117647059,0.0,8,betting,K<=5
0.05,74,5,10,0,10,0.0,0.04854368932038835,0.0,8,betting,5<K<=30
0.05,16,0,0,0,0,0.0,0.0,0.0,8,betting,K>30
0.1,159,43,48,1,47,0.020833333333333332,0.27647058823529413,0.006289308176100629,8,betting,K<=5
