alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,cal_null_size,n_cal
0.1,182,32,41,1,40,0.024390243902439025,0.07936507936507936,0.005494505494505495,0.0,0,9,betting,all,1603
0.15,182,32,41,1,40,0.024390243902439025,0.07936507936507936,0.005494505494505495,0.0,0,9,betting,all,1603
0.2,182,32,41,1,40,0.024390243902439025,0.07936507936507936,0.005494505494505495,0.0,0,9,betting,all,1603
0.05,182,48,71,2,69,0.028169014084507043,0.12169312169312169,0.0032051282051282046,0.0,0,10,betting,all,1651
0.1,182,71,115,5,110,0.043478260869565216,0.19400352733686066,0.011946386946386946,0.0,0,10,betting,all,1651
0.15,182,86,138,5,133,0.036231884057971016,0.2345679012345679,0.011904761904761904,0.0,0,10,betting,all,1651
0.2,182,99,162,5,157,0.030864197530864196,0.2768959435626102,0.01186954071569456,0.0,0,10,betting,all,1651
0.05,182,55,67,1,66,0.014925373134328358,0.12313432835820895,0.005494505494505495,0.0,0,11,betting,all,1465
0.1,182,76,99,1,98,0.010101010101010102,0.1828358208955224,0.005494505494505495,0.0,0,11,betting,all,1465
0.15,182,86,112,2,110,0.017857142857142856,0.20522388059701493,0.01098901098901099,0.0,0,11,betting,all,1465
0.2,182,94,162,7,155,0.043209876543209874,0.2891791044776119,0.018315018315018312,0.0,0,11,betting,all,1465
0.05,182,56,114,4,110,0.03508771929824561,0.21956087824351297,0.009798534798534798,0.0,0,12,betting,all,1446
0.1,182,77,146,7,139,0.04794520547945205,0.2774451097804391,0.01822344322344322,0.0,0,12,betting,all,1446
0.15,182,87,159,8,151,0.050314465408805034,0.3013972055888224,0.023712040647524517,0.0,0,12,betting,all,1446
0.2,182,92,164,8,156,0.04878048780487805,0.31137724550898205,0.023712040647524517,0.0,0,12,betting,all,1446
0.05,182,54,78,2,76,0.02564102564102564,0.16379310344827586,0.01098901098901099,0.0,0,13,betting,all,1357
0.1,182,77,112,6,106,0.05357142857142857,0.22844827586206898,0.02445054945054945,0.0,0,13,betting,all,1357
0.15,182,81,122,6,116,0.04918032786885246,0.25,0.02445054945054945,0.0,0,13,betting,all,1357
0.2,182,90,135,8,127,0.05925925925925926,0.27370689655172414,0.032692307692307694,0.0,0,13,betting,all,1357
0.05,182,31,36,1,35,0.027777777777777776,0.07306889352818371,0.0027472527472527475,0.0,0,14,betting,all,1656
0.1,182,31,36,1,35,0.027777777777777776,0.07306889352818371,0.0027472527472527475,0.0,0,14,betting,all,1656
0.15,182,31,36,1,35,0.027777777777777776,0.07306889352818371,0.0027472527472527475,0.0,0,14,betting,all,1656
0.2,182,31,36,1,35,0.027777777777777776,0.07306889352818371,0.0027472527472527475,0.0,0,14,betting,all,1656
0.05,182,60,95,1,94,0.010526315789473684,0.17407407407407408,0.005494505494505495,0.0,0,15,betting,all,1624
0.1,182,85,145,4,141,0.027586206896551724,0.2611111111111111,0.017582417582417582,0.0,0,15,betting,all,1624
0.15,182,94,167,5,162,0.029940119760479042,0.3,0.01804029304029304,0.0,0,15,betting,all,1624
0.2,182,102,178,6,172,0.033707865168539325,0.31851851851851853,0.023534798534798534,0.0,0,15,betting,all,1624
0.05,182,52,68,0,68,0.0,0.17941952506596306,0.0,0.0,0,16,betting,all,1883
0.1,182,72,102,1,101,0.00980392156862745,0.26649076517150394,0.005494505494505495,0.0,0,16,betting,all,1883
0.15,182,87,125,3,122,0.024,0.32189973614775724,0.013736263736263736,0.0,0,16,betting,all,1883
0.2,182,92,131,3,128,0.022900763358778626,0.33773087071240104,0.013736263736263736,0.0,0,16,betting,all,1883
0.05,182,51,72,2,70,0.027777777777777776,0.13307984790874525,0.007326007326007326,0.0,0,17,betting,all,1390
0.1,182,76,107,3,104,0.028037383177570093,0.19771863117870722,0.012820512820512818,0.0,0,17,betting,all,1390
0.15,182,83,130,3,127,0.023076923076923078,0.2414448669201521,0.010073260073260072,0.0,0,17,betting,all,1390
0.2,182,94,144,4,140,0.027777777777777776,0.2661596958174905,0.015567765567765566,0.0,0,17,betting,all,1390
0.05,182,51,72,1,71,0.013888888888888888,0.14853556485355648,0.0018315018315018315,0.0,0,18,betting,all,1574
0.1,182,73,118,4,114,0.03389830508474576,0.2384937238493724,0.012820512820512818,0.0,0,18,betting,all,1574
0.15,182,87,136,5,131,0.03676470588235294,0.27405857740585776,0.018315018315018312,0.0,0,18,betting,all,1574
0.2,182,95,146,5,141,0.03424657534246575,0.29497907949790797,0.018315018315018312,0.0,0,18,betting,all,1574
0.05,182,50,78,0,78,0.0,0.14579439252336449,0.0,0.0,0,19,betting,all,1789
0.1,182,73,115,2,113,0.017391304347826087,0.21121495327102804,0.01098901098901099,0.0,0,19,betting,all,1789
0.15,182,82,136,8,128,0.058823529411764705,0.23925233644859814,0.02655677655677656,0.0,0,19,betting,all,1789
0.2,182,91,160,10,150,0.0625,0.2803738317757009,0.0260989010989011,0.0,0,19,betting,all,1789
