seed,alpha,method,total_rejections,fp,tp,pooled_fdp,mean_family_fdp,recall,n_test_families,n_cal_null
7,0.05,pvalue_by,198,16,182,0.08080808080808081,0.01920693928128872,0.2736842105263158,538,5395
7,0.1,pvalue_by,232,26,206,0.11206896551724138,0.03257951259809996,0.3097744360902256,538,5395
7,0.15,pvalue_by,266,45,221,0.16917293233082706,0.056691449814126396,0.3323308270676692,538,5395
7,0.2,pvalue_by,310,62,248,0.2,0.0692951100943666,0.37293233082706767,538,5395
8,0.05,pvalue_by,165,12,153,0.07272727272727272,0.0161090458488228,0.2361111111111111,538,5750
8,0.1,pvalue_by,200,21,179,0.105,0.02623915737298637,0.2762345679012346,538,5750
8,0.15,pvalue_by,233,26,207,0.11158798283261803,0.03269310202395704,0.3194444444444444,538,5750
8,0.2,pvalue_by,261,41,220,0.15708812260536398,0.052627576884082455,0.3395061728395062,538,5750
9,0.05,pvalue_by,185,19,166,0.10270270270270271,0.03004956629491945,0.2361308677098151,538,5474
9,0.1,pvalue_by,227,29,198,0.1277533039647577,0.04440313919867823,0.28165007112375534,538,5474
9,0.15,pvalue_by,255,44,211,0.17254901960784313,0.05860651120874169,0.30014224751066854,538,5474
9,0.2,pvalue_by,283,56,227,0.1978798586572438,0.07520236888266628,0.3229018492176387,538,5474
10,0.05,pvalue_by,160,17,143,0.10625,0.026022304832713755,0.18619791666666666,538,4971
10,0.1,pvalue_by,218,29,189,0.13302752293577982,0.04708798017348203,0.24609375,538,4971
10,0.15,pvalue_by,248,37,211,0.14919354838709678,0.055142503097893425,0.2747395833333333,538,4971
10,0.2,pvalue_by,285,55,230,0.19298245614035087,0.07921313506815365,0.2994791666666667,538,4971
11,0.05,pvalue_by,181,9,172,0.049723756906077346,0.01148126965970832,0.27967479674796747,538,5795
11,0.1,pvalue_by,205,16,189,0.07804878048780488,0.020880606382465115,0.3073170731707317,538,5795
11,0.15,pvalue_by,228,20,208,0.08771929824561403,0.02831555062038333,0.3382113821138211,538,5795
11,0.2,pvalue_by,249,26,223,0.10441767068273092,0.03564723174388602,0.36260162601626017,538,5795
12,0.05,pvalue_by,162,12,150,0.07407407407407407,0.0161090458488228,0.22624434389140272,538,6156
12,0.1,pvalue_by,211,22,189,0.10426540284360189,0.03020446096654275,0.2850678733031674,538,6156
12,0.15,pvalue_by,228,31,197,0.13596491228070176,0.0442998760842627,0.2971342383107089,538,6156
12,0.2,pvalue_by,261,43,218,0.16475095785440613,0.058395291201982655,0.3288084464555053,538,6156
13,0.05,pvalue_by,174,18,156,0.10344827586206896,0.023035050451407326,0.2926829268292683,538,5642
13,0.1,pvalue_by,197,26,171,0.1319796954314721,0.032545583289077716,0.32082551594746717,538,5642
13,0.15,pvalue_by,217,37,180,0.17050691244239632,0.04927420782439369,0.33771106941838647,538,5642
13,0.2,pvalue_by,238,51,187,0.21428571428571427,0.0670096477252611,0.350844277673546,538,5642
14,0.05,pvalue_by,185,16,169,0.08648648648648649,0.017233025132653384,0.2370266479663394,538,5844
14,0.1,pvalue_by,236,23,213,0.09745762711864407,0.023373002462221792,0.29873772791023845,538,5844
14,0.15,pvalue_by,260,33,227,0.12692307692307692,0.03698522666924154,0.31837307152875177,538,5844
14,0.2,pvalue_by,282,42,240,0.14893617021276595,0.04766263269980742,0.33660589060308554,538,5844
15,0.05,pvalue_by,193,14,179,0.07253886010362694,0.02137546468401487,0.2663690476190476,538,5386
15,0.1,pvalue_by,234,25,209,0.10683760683760683,0.03394634073072735,0.31101190476190477,538,5386
15,0.15,pvalue_by,261,37,224,0.1417624521072797,0.046784091579630614,0.3333333333333333,538,5386
15,0.2,pvalue_by,315,61,254,0.19365079365079366,0.07173272823830444,0.37797619047619047,538,5386
16,0.05,pvalue_by,153,16,137,0.10457516339869281,0.02447335811648079,0.20176730486008837,538,4934
16,0.1,pvalue_by,204,22,182,0.10784313725490197,0.02835980624084713,0.26804123711340205,538,4934
16,0.15,pvalue_by,227,29,198,0.1277533039647577,0.0326163922818198,0.2916053019145803,538,4934
16,0.2,pvalue_by,257,40,217,0.1556420233463035,0.04537408069006582,0.31958762886597936,538,4934
17,0.05,pvalue_by,186,13,173,0.06989247311827956,0.020136307311028497,0.2392807745504841,538,5277
17,0.1,pvalue_by,228,28,200,0.12280701754385964,0.04120198265179678,0.2766251728907331,538,5277
17,0.15,pvalue_by,280,59,221,0.21071428571428572,0.0765400955921402,0.30567081604426005,538,5277
17,0.2,pvalue_by,317,78,239,0.24605678233438485,0.09465170826694991,0.330567081604426,538,5277
18,0.05,pvalue_by,148,16,132,0.10810810810810811,0.020600991325898387,0.17209908735332463,538,6497
18,0.1,pvalue_by,197,21,176,0.1065989847715736,0.02741635687732342,0.22946544980443284,538,6497
18,0.15,pvalue_by,230,31,199,0.13478260869565217,0.03734731810939989,0.25945241199478486,538,6497
18,0.2,pvalue_by,255,42,213,0.16470588235294117,0.049086121437422546,0.2777053455019557,538,6497
19,0.05,pvalue_by,188,13,175,0.06914893617021277,0.017534076827757126,0.24544179523141654,538,4239
19,0.1,pvalue_by,211,18,193,0.08530805687203792,0.02681085952461417,0.270687237026648,538,4239
19,0.15,pvalue_by,232,26,206,0.11206896551724138,0.03816980211032256,0.28892005610098176,538,4239
19,0.2,pvalue_by,251,36,215,0.14342629482071714,0.05164563854154933,0.3015427769985975,538,4239
