table,dataset,detector,alpha,method,fdp_pooled_mean,fdp_pooled_std,fdp_family_mean,recall_mean,rejections_mean,phi_max_median,loo_mean,n_seeds,source,pooled_bound_eps,pooled_bound_delta,pooled_bound_covered
score_floor,COCO val,OWL-ViT,0.2,betting_eBH_sf0.30,0.122407,0.053787,0.040438,0.293682,180.2,,1.0,20,outputs/coco_owlvit_1000_20seed_sf0.30,,,
score_floor,COCO val,OWL-ViT,0.05,betting_eBH_sf0.40,0.04114,0.03122,0.00828,0.149345,82.8,,1.0,20,outputs/coco_owlvit_1000_20seed_sf0.40,,,
score_floor,COCO val,OWL-ViT,0.1,betting_eBH_sf0.40,0.066359,0.03756,0.017658,0.208096,119.2,,1.0,20,outputs/coco_owlvit_1000_20seed_sf0.40,,,
score_floor,COCO val,OWL-ViT,0.15,betting_eBH_sf0.40,0.088749,0.049363,0.027575,0.255577,150.2,,1.0,20,outputs/coco_owlvit_1000_20seed_sf0.40,,,
score_floor,COCO val,OWL-ViT,0.2,betting_eBH_sf0.40,0.161854,0.066479,0.047504,0.321171,206.2,,1.0,20,outputs/coco_owlvit_1000_20seed_sf0.40,,,
score_floor,VOC 2012,OWL-ViT,0.05,betting_eBH_sf0.30,0.018479,0.017664,0.003267,0.115401,51.2,,1.0,20,outputs/voc_owlvit_1000_20seed_sf0.30,,,
score_floor,VOC 2012,OWL-ViT,0.1,betting_eBH_sf0.30,0.026042,0.019777,0.004786,0.137826,61.6,,1.0,20,outputs/voc_owlvit_1000_20seed_sf0.30,,,
score_floor,VOC 2012,OWL-ViT,0.15,betting_eBH_sf0.30,0.061082,0.040685,0.012336,0.178666,83.4,,1.0,20,outputs/voc_owlvit_1000_20seed_sf0.30,,,
score_floor,VOC 2012,OWL-ViT,0.2,betting_eBH_sf0.30,0.093856,0.04277,0.020553,0.212446,102.8,,1.0,20,outputs/voc_owlvit_1000_20seed_sf0.30,,,
score_floor,VOC 2012,OWL-ViT,0.05,betting_eBH_sf0.40,0.021057,0.019417,0.003865,0.118372,52.6,,1.0,20,outputs/voc_owlvit_1000_20seed_sf0.40,,,
score_floor,VOC 2012,OWL-ViT,0.1,betting_eBH_sf0.40,0.035277,0.031621,0.006313,0.143618,65.0,,1.0,20,outputs/voc_owlvit_1000_20seed_sf0.40,,,
score_floor,VOC 2012,OWL-ViT,0.15,betting_eBH_sf0.40,0.077234,0.042161,0.015447,0.19576,93.2,,1.0,20,outputs/voc_owlvit_1000_20seed_sf0.40,,,
score_floor,VOC 2012,OWL-ViT,0.2,betting_eBH_sf0.40,0.102303,0.042647,0.020759,0.215249,105.1,,1.0,20,outputs/voc_owlvit_1000_20seed_sf0.40,,,
score_floor,COCO val,YOLO-World,0.05,betting_eBH_sf0.30,0.01345,0.018748,0.001825,0.103235,40.5,,1.0,20,outputs/coco_yoloworld_1000_20seed_sf0.30,,,
score_floor,COCO val,YOLO-World,0.1,betting_eBH_sf0.30,0.03035,0.020591,0.009216,0.225291,91.0,,1.0,20,outputs/coco_yoloworld_1000_20seed_sf0.30,,,
score_floor,COCO val,YOLO-World,0.15,betting_eBH_sf0.30,0.040207,0.023202,0.015879,0.293833,120.4,,1.0,20,outputs/coco_yoloworld_1000_20seed_sf0.30,,,
score_floor,COCO val,YOLO-World,0.2,betting_eBH_sf0.30,0.049012,0.021579,0.021188,0.343056,142.0,,1.0,20,outputs/coco_yoloworld_1000_20seed_sf0.30,,,
score_floor,COCO val,YOLO-World,0.05,betting_eBH_sf0.40,0.022188,0.022296,0.003254,0.106486,42.2,,1.0,20,outputs/coco_yoloworld_1000_20seed_sf0.40,,,
score_floor,COCO val,YOLO-World,0.1,betting_eBH_sf0.40,0.033364,0.02117,0.010645,0.232035,94.0,,1.0,20,outputs/coco_yoloworld_1000_20seed_sf0.40,,,
score_floor,COCO val,YOLO-World,0.15,betting_eBH_sf0.40,0.042479,0.025026,0.017308,0.300295,123.4,,1.0,20,outputs/coco_yoloworld_1000_20seed_sf0.40,,,
score_floor,COCO val,YOLO-World,0.2,betting_eBH_sf0.40,0.050596,0.022884,0.022438,0.3531,146.2,,1.0,20,outputs/coco_yoloworld_1000_20seed_sf0.40,,,
score_floor,VOC 2012,YOLO-World,0.05,betting_eBH_sf0.30,0.009921,0.012106,0.003676,0.185867,73.3,,1.0,20,outputs/voc_yoloworld_1000_20seed_sf0.30,,,
score_floor,VOC 2012,YOLO-World,0.1,betting_eBH_sf0.30,0.013784,0.013007,0.008174,0.380424,149.9,,1.0,20,outputs/voc_yoloworld_1000_20seed_sf0.30,,,
score_floor,VOC 2012,YOLO-World,0.15,betting_eBH_sf0.30,0.02205,0.013103,0.013754,0.475089,188.8,,1.0,20,outputs/voc_yoloworld_1000_20seed_sf0.30,,,
score_floor,VOC 2012,YOLO-World,0.2,betting_eBH_sf0.30,0.031163,0.018708,0.019651,0.548998,220.3,,1.0,20,outputs/voc_yoloworld_1000_20seed_sf0.30,,,
score_floor,VOC 2012,YOLO-World,0.05,betting_eBH_sf0.40,0.009517,0.011699,0.003676,0.195191,76.9,,1.0,20,outputs/voc_yoloworld_1000_20seed_sf0.40,,,
score_floor,VOC 2012,YOLO-World,0.1,betting_eBH_sf0.40,0.014089,0.013174,0.008279,0.391083,154.1,,1.0,20,outputs/voc_yoloworld_1000_20seed_sf0.40,,,
score_floor,VOC 2012,YOLO-World,0.15,betting_eBH_sf0.40,0.022102,0.013634,0.014104,0.489343,194.4,,1.0,20,outputs/voc_yoloworld_1000_20seed_sf0.40,,,
score_floor,VOC 2012,YOLO-World,0.2,betting_eBH_sf0.40,0.03315,0.01921,0.02057,0.562114,226.0,,1.0,20,outputs/voc_yoloworld_1000_20seed_sf0.40,,,
score_floor,COCO train,GDino,0.05,betting_eBH_sf0.30,0.080204,0.028142,0.015327,0.273648,207.4,,1.0,20,outputs/coco_train_gdino_1000_20seed_sf0.30,,,
score_floor,COCO train,GDino,0.1,betting_eBH_sf0.30,0.119267,0.03339,0.026941,0.329034,261.0,,1.0,20,outputs/coco_train_gdino_1000_20seed_sf0.30,,,
score_floor,COCO train,GDino,0.15,betting_eBH_sf0.30,0.164246,0.043278,0.044613,0.37594,316.5,,1.0,20,outputs/coco_train_gdino_1000_20seed_sf0.30,,,
score_floor,COCO train,GDino,0.2,betting_eBH_sf0.30,0.210594,0.043274,0.061099,0.419945,374.9,,1.0,20,outputs/coco_train_gdino_1000_20seed_sf0.30,,,
score_floor,COCO train,GDino,0.05,betting_eBH_sf0.40,0.082355,0.02725,0.016306,0.289085,220.0,,1.0,20,outputs/coco_train_gdino_1000_20seed_sf0.40,,,
score_floor,COCO train,GDino,0.1,betting_eBH_sf0.40,0.132215,0.035673,0.031166,0.346205,279.2,,1.0,20,outputs/coco_train_gdino_1000_20seed_sf0.40,,,
score_floor,COCO train,GDino,0.15,betting_eBH_sf0.40,0.195225,0.049467,0.050419,0.415326,364.7,,1.0,20,outputs/coco_train_gdino_1000_20seed_sf0.40,,,
score_floor,COCO train,GDino,0.2,betting_eBH_sf0.40,0.214634,0.037987,0.05664,0.437819,391.4,,1.0,20,outputs/coco_train_gdino_1000_20seed_sf0.40,,,
lvis_aux_eta,LVIS val (NEG+POS_EXH only),GDino,0.05,betting_eBH_lvisaux,0.006351,0.011448,0.001824,0.094623,54.35,536.6,1.000000,20,outputs/lvis_aux_clean_20seed_formal_hist,,,
