dataset,detector,alpha,bin,n_candidates,n_rejections,pooled_fdp,recall,loo_mean,per_family_fdp,pass_rate
COCO val,GDino,0.05,sandwich,26.45,0.3,0.0,0.20555555555555555,0.44118405312635334,0.0,1.0
COCO val,GDino,0.05,scissors,25.0,0.0,0.0,0.0,0.5176254570088958,0.0,1.0
COCO val,GDino,0.05,sheep,53.35,1.35,0.0,0.1364408037782651,1.0249884003416472,0.0,1.0
COCO val,GDino,0.05,sink,39.55,0.15,0.0,0.020267857142857143,0.5729259434230444,0.0,1.0
COCO val,GDino,0.05,skateboard,45.55,0.55,0.0,0.2463095238095238,1.1873877500751413,0.0,1.0
COCO val,GDino,0.05,skis,111.95,0.25,0.0,0.022392676767676766,0.5478675005873855,0.0,1.0
COCO val,GDino,0.05,snowboard,25.8,0.65,0.0,0.17261904761904762,0.6232314943924667,0.0,1.0
COCO val,GDino,0.05,spoon,45.2,0.0,0.0,0.0,0.6641459585485637,0.0,1.0
COCO val,GDino,0.05,sports ball,34.35,0.0,0.0,0.0,0.41057153999237067,0.0,1.0
COCO val,GDino,0.05,stop sign,26.1,1.0,0.0,0.575,0.5417940030884004,0.0,1.0
COCO val,GDino,0.05,suitcase,135.35,0.4,0.0,0.112127411288402,0.5953421503699348,0.0,1.0
COCO val,GDino,0.05,surfboard,37.65,1.3,0.0,0.24821428571428572,0.5127362527482459,0.0,1.0
COCO val,GDino,0.05,teddy bear,79.45,1.9,0.0,0.3491824298889516,0.9944549699672912,0.0,1.0
COCO val,GDino,0.05,tennis racket,31.2,0.0,0.0,0.0,0.4476805406053825,0.0,1.0
COCO val,GDino,0.05,tie,88.55,1.7,0.0,0.28440656565656564,0.5134596340937906,0.0,1.0
COCO val,GDino,0.05,toaster,11.4,0.15,0.0,0.1125,0.41093589893235116,0.0,1.0
COCO val,GDino,0.05,toilet,43.8,1.85,0.0,0.3543452380952381,0.7629693800763114,0.0,1.0
COCO val,GDino,0.05,toothbrush,25.05,0.0,0.0,0.0,0.9208838909186248,0.0,1.0
COCO val,GDino,0.05,traffic light,78.0,0.25,0.0,0.06561688311688312,0.6100663551683677,0.0,1.0
COCO val,GDino,0.05,train,75.9,3.65,0.0,0.6443569543201896,0.5906862896082055,0.0,1.0
COCO val,GDino,0.05,truck,207.1,0.0,0.0,0.0,0.5078461120453015,0.0,1.0
COCO val,GDino,0.05,tv,22.45,0.55,0.0,0.22833333333333333,0.5043691055396972,0.0,1.0
COCO val,GDino,0.05,umbrella,75.8,0.25,0.0,0.09880952380952382,0.6363773198806499,0.0,1.0
COCO val,GDino,0.05,vase,64.45,0.2,0.0,0.06488095238095239,0.7326968949622156,0.0,1.0
COCO val,GDino,0.05,wine glass,40.3,0.7,0.0,0.14952597840755735,0.7991068111184264,0.0,1.0
COCO val,GDino,0.05,zebra,64.15,5.35,0.0,0.34388007060045866,0.7302762719528498,0.0,1.0
COCO val,GDino,0.1,airplane,35.6,1.4,0.0,0.38095238095238093,0.5346995784198527,0.0,1.0
COCO val,GDino,0.1,apple,94.85,0.75,0.02,0.11325757575757575,1.438389539653101,0.016666666666666666,0.95
COCO val,GDino,0.1,backpack,86.0,0.6,0.0,0.10574404761904761,0.5747142611214917,0.0,1.0
COCO val,GDino,0.1,banana,83.25,0.5,0.0,0.1418693134822167,0.6358335286216082,0.0,1.0
COCO val,GDino,0.1,baseball bat,20.2,0.05,0.0,0.05,0.4678950748003731,0.0,1.0
