dataset,detector,alpha,bin,n_candidates,n_rejections,pooled_fdp,recall,loo_mean,pass_rate
COCO val,YOLO-World,0.2,Q3,113.75,0.0,0.0,0.0,0.10064908716210304,1.0
COCO val,YOLO-World,0.2,Q4,126.35,0.0,0.0,0.0,0.1452739494912791,1.0
COCO val,YOLO-World,0.2,Q5 (high),355.9,71.2,0.03469046748573529,0.24950270237971708,5.422140744726759,1.0
VOC 2012,GDino,0.05,Q1 (low),1106.65,0.0,0.0,0.0,0.2687007565799888,1.0
VOC 2012,GDino,0.05,Q2,1105.8,0.0,0.0,0.0,0.2746698419206992,1.0
VOC 2012,GDino,0.05,Q3,1111.7,0.0,0.0,0.0,0.3239916643173612,1.0
VOC 2012,GDino,0.05,Q4,1118.05,0.0,0.0,0.0,0.36485813823410795,1.0
VOC 2012,GDino,0.05,Q5 (high),1498.85,149.95,0.04566038103351215,0.3373101357772891,3.6583742565848913,0.65
VOC 2012,GDino,0.1,Q1 (low),1106.65,0.0,0.0,0.0,0.2687007565799888,1.0
VOC 2012,GDino,0.1,Q2,1105.8,0.0,0.0,0.0,0.2746698419206992,1.0
VOC 2012,GDino,0.1,Q3,1111.7,0.0,0.0,0.0,0.3239916643173612,1.0
VOC 2012,GDino,0.1,Q4,1118.05,0.0,0.0,0.0,0.36485813823410795,1.0
VOC 2012,GDino,0.1,Q5 (high),1498.85,196.4,0.0562332973360604,0.436078306458329,3.6583742565848913,1.0
VOC 2012,GDino,0.15,Q1 (low),1106.65,0.0,0.0,0.0,0.2687007565799888,1.0
VOC 2012,GDino,0.15,Q2,1105.8,0.0,0.0,0.0,0.2746698419206992,1.0
VOC 2012,GDino,0.15,Q3,1111.7,0.0,0.0,0.0,0.3239916643173612,1.0
VOC 2012,GDino,0.15,Q4,1118.05,0.0,0.0,0.0,0.36485813823410795,1.0
VOC 2012,GDino,0.15,Q5 (high),1498.85,222.1,0.0711918428981706,0.48486405425073514,3.6583742565848913,1.0
VOC 2012,GDino,0.2,Q1 (low),1106.65,0.0,0.0,0.0,0.2687007565799888,1.0
VOC 2012,GDino,0.2,Q2,1105.8,0.0,0.0,0.0,0.2746698419206992,1.0
VOC 2012,GDino,0.2,Q3,1111.7,0.0,0.0,0.0,0.3239916643173612,1.0
VOC 2012,GDino,0.2,Q4,1118.05,0.0,0.0,0.0,0.36485813823410795,1.0
VOC 2012,GDino,0.2,Q5 (high),1498.85,241.95,0.08655029401962669,0.5191583655892442,3.6583742565848913,1.0
VOC 2012,OWL-ViT,0.05,Q1 (low),216.85,0.0,0.0,0.0,0.1253945435659004,1.0
VOC 2012,OWL-ViT,0.05,Q2,219.25,0.0,0.0,0.0,0.15200220097855352,1.0
VOC 2012,OWL-ViT,0.05,Q3,222.45,0.0,0.0,0.0,0.19838852268797452,1.0
VOC 2012,OWL-ViT,0.05,Q4,247.55,0.0,0.0,0.0,0.4563108755325135,1.0
VOC 2012,OWL-ViT,0.05,Q5 (high),540.75,34.7,0.018076108033004586,0.10082635131696387,4.662553523832288,0.9
VOC 2012,OWL-ViT,0.1,Q1 (low),216.85,0.0,0.0,0.0,0.1253945435659004,1.0
VOC 2012,OWL-ViT,0.1,Q2,219.25,0.0,0.0,0.0,0.15200220097855352,1.0
VOC 2012,OWL-ViT,0.1,Q3,222.45,0.0,0.0,0.0,0.19838852268797452,1.0
VOC 2012,OWL-ViT,0.1,Q4,247.55,0.0,0.0,0.0,0.4563108755325135,1.0
VOC 2012,OWL-ViT,0.1,Q5 (high),540.75,43.45,0.025365167004640882,0.12530472827734923,4.662553523832288,1.0
VOC 2012,OWL-ViT,0.15,Q1 (low),216.85,0.0,0.0,0.0,0.1253945435659004,1.0
VOC 2012,OWL-ViT,0.15,Q2,219.25,0.0,0.0,0.0,0.15200220097855352,1.0
VOC 2012,OWL-ViT,0.15,Q3,222.45,0.0,0.0,0.0,0.19838852268797452,1.0
VOC 2012,OWL-ViT,0.15,Q4,247.55,0.0,0.0,0.0,0.4563108755325135,1.0
VOC 2012,OWL-ViT,0.15,Q5 (high),540.75,49.65,0.02389112795995723,0.1434561573962875,4.662553523832288,1.0
VOC 2012,OWL-ViT,0.2,Q1 (low),216.85,0.0,0.0,0.0,0.1253945435659004,1.0
VOC 2012,OWL-ViT,0.2,Q2,219.25,0.0,0.0,0.0,0.15200220097855352,1.0
VOC 2012,OWL-ViT,0.2,Q3,222.45,0.0,0.0,0.0,0.19838852268797452,1.0
VOC 2012,OWL-ViT,0.2,Q4,247.55,0.0,0.0,0.0,0.4563108755325135,1.0
VOC 2012,OWL-ViT,0.2,Q5 (high),540.75,57.0,0.026620590905850387,0.1640809060785252,4.662553523832288,1.0
VOC 2012,YOLO-World,0.05,Q1 (low),61.0,0.0,0.0,0.0,0.025881086574409923,1.0
VOC 2012,YOLO-World,0.05,Q2,61.6,0.0,0.0,0.0,0.03760196614928437,1.0
VOC 2012,YOLO-World,0.05,Q3,60.5,0.0,0.0,0.0,0.0424971366896692,1.0
VOC 2012,YOLO-World,0.05,Q4,73.7,0.0,0.0,0.0,0.08556442134598075,1.0
VOC 2012,YOLO-World,0.05,Q5 (high),378.9,145.1,0.010693168279151297,0.43519484910540623,4.551372425906215,1.0
VOC 2012,YOLO-World,0.1,Q1 (low),61.0,0.0,0.0,0.0,0.025881086574409923,1.0
VOC 2012,YOLO-World,0.1,Q2,61.6,0.0,0.0,0.0,0.03760196614928437,1.0
VOC 2012,YOLO-World,0.1,Q3,60.5,0.0,0.0,0.0,0.0424971366896692,1.0
VOC 2012,YOLO-World,0.1,Q4,73.7,0.0,0.0,0.0,0.08556442134598075,1.0
VOC 2012,YOLO-World,0.1,Q5 (high),378.9,161.35,0.013372580579066262,0.48294154366619696,4.551372425906215,1.0
VOC 2012,YOLO-World,0.15,Q1 (low),61.0,0.0,0.0,0.0,0.025881086574409923,1.0
VOC 2012,YOLO-World,0.15,Q2,61.6,0.0,0.0,0.0,0.03760196614928437,1.0
VOC 2012,YOLO-World,0.15,Q3,60.5,0.0,0.0,0.0,0.0424971366896692,1.0
VOC 2012,YOLO-World,0.15,Q4,73.7,0.0,0.0,0.0,0.08556442134598075,1.0
VOC 2012,YOLO-World,0.15,Q5 (high),378.9,167.1,0.013618606408196182,0.49998852264960075,4.551372425906215,1.0
VOC 2012,YOLO-World,0.2,Q1 (low),61.0,0.0,0.0,0.0,0.025881086574409923,1.0
VOC 2012,YOLO-World,0.2,Q2,61.6,0.0,0.0,0.0,0.03760196614928437,1.0
VOC 2012,YOLO-World,0.2,Q3,60.5,0.0,0.0,0.0,0.0424971366896692,1.0
VOC 2012,YOLO-World,0.2,Q4,73.7,0.0,0.0,0.0,0.08556442134598075,1.0
VOC 2012,YOLO-World,0.2,Q5 (high),378.9,170.25,0.014658550631138417,0.5085230608652961,4.551372425906215,1.0
