seed,n_tp,n_tp_reachable_T1,n_tp_reachable_tight,n_tp_rejected,n_rejected_total,ceiling_T1,ceiling_tight,actual_recall,efficiency_T1,efficiency_tight,C_m,m,phi_max,n_tp_score>=0.0,ceiling_score>=0.0,n_tp_score>=0.1,ceiling_score>=0.1,n_tp_score>=0.2,ceiling_score>=0.2,n_tp_score>=0.3,ceiling_score>=0.3,n_tp_score>=0.4,ceiling_score>=0.4,n_tp_score>=0.5,ceiling_score>=0.5,config
11,534,60,62,62,64,0.11235955056179775,0.11610486891385768,0.11610486891385768,1.0333333333333334,1.0,1648.878498923627,1768,202.1227963525836,534,0.11235955056179775,463,0.12958963282937366,380,0.15789473684210525,270,0.2222222222222222,198,0.30303030303030304,161,0.37267080745341613,COCO-1k/OWL
12,546,43,45,45,45,0.07875457875457875,0.08241758241758242,0.08241758241758242,1.0465116279069768,1.0,2741.6509238166477,1983,346.1357186921653,546,0.07875457875457875,459,0.09368191721132897,363,0.1184573002754821,259,0.16602316602316602,199,0.21608040201005024,151,0.2847682119205298,COCO-1k/OWL
13,534,51,51,51,52,0.09550561797752809,0.09550561797752809,0.09550561797752809,1.0,1.0,2170.2937294126946,2071,90.7177033492823,534,0.09550561797752809,458,0.11135371179039301,365,0.13972602739726028,276,0.18478260869565216,215,0.2372093023255814,172,0.29651162790697677,COCO-1k/OWL
14,553,50,51,51,52,0.09041591320072333,0.0922242314647378,0.0922242314647378,1.02,1.0,2098.700708086396,1887,361.2972972972973,553,0.09041591320072333,461,0.10845986984815618,371,0.1347708894878706,281,0.17793594306049823,209,0.23923444976076555,155,0.3225806451612903,COCO-1k/OWL
15,535,57,57,57,59,0.10654205607476636,0.10654205607476636,0.10654205607476636,1.0,1.0,2182.412895334338,1790,186.63355145746579,535,0.10654205607476636,459,0.12418300653594772,352,0.16193181818181818,260,0.21923076923076923,198,0.2878787878787879,156,0.36538461538461536,COCO-1k/OWL
16,525,55,55,55,56,0.10476190476190476,0.10476190476190476,0.10476190476190476,1.0,1.0,1738.1328675511859,2063,171.6434250764526,525,0.10476190476190476,452,0.12168141592920353,362,0.15193370165745856,262,0.2099236641221374,201,0.2736318407960199,151,0.36423841059602646,COCO-1k/OWL
17,551,46,47,47,48,0.08348457350272233,0.0852994555353902,0.0852994555353902,1.0217391304347825,1.0,1570.022859460376,1902,87.21897590361446,551,0.08348457350272233,471,0.09766454352441614,375,0.12266666666666666,273,0.1684981684981685,209,0.22009569377990432,158,0.2911392405063291,COCO-1k/OWL
18,458,64,66,66,67,0.13973799126637554,0.14410480349344978,0.14410480349344978,1.03125,1.0,1774.7588575646178,1821,117.12853271389857,458,0.13973799126637554,399,0.16040100250626566,314,0.20382165605095542,233,0.27467811158798283,179,0.3575418994413408,136,0.47058823529411764,COCO-1k/OWL
19,506,67,69,69,70,0.1324110671936759,0.13636363636363635,0.13636363636363635,1.0298507462686566,1.0,1290.6150848949617,1646,193.23988439306356,506,0.1324110671936759,431,0.1554524361948956,343,0.19533527696793002,267,0.250936329588015,206,0.32524271844660196,158,0.4240506329113924,COCO-1k/OWL
0,423,56,58,58,58,0.13238770685579196,0.13711583924349882,0.13711583924349882,1.0357142857142858,1.0,986.0272026328039,935,151.10506706408347,423,0.13238770685579196,374,0.1497326203208556,281,0.199288256227758,163,0.34355828220858897,112,0.5,90,0.6,VOC-1k/OWL
1,452,46,46,46,46,0.10176991150442478,0.10176991150442478,0.10176991150442478,1.0,1.0,921.8817864448837,1011,136.3740157480315,452,0.10176991150442478,396,0.11616161616161616,290,0.15862068965517243,158,0.2911392405063291,115,0.4,85,0.5411764705882353,VOC-1k/OWL
2,439,41,41,41,41,0.09339407744874716,0.09339407744874716,0.09339407744874716,1.0,1.0,1179.911566998606,1057,127.76603773584905,439,0.09339407744874716,389,0.10539845758354756,286,0.14335664335664336,157,0.2611464968152866,100,0.41,71,0.5774647887323944,VOC-1k/OWL
3,482,45,45,45,45,0.09336099585062241,0.09336099585062241,0.09336099585062241,1.0,1.0,1013.0126357471472,1022,135.40435458786936,482,0.09336099585062241,425,0.10588235294117647,312,0.14423076923076922,176,0.2556818181818182,117,0.38461538461538464,86,0.5232558139534884,VOC-1k/OWL
4,477,32,32,32,33,0.06708595387840671,0.06708595387840671,0.06708595387840671,1.0,1.0,1451.8666903903516,1052,1000000.0,477,0.06708595387840671,410,0.07804878048780488,315,0.10158730158730159,158,0.20253164556962025,87,0.367816091954023,58,0.5517241379310345,VOC-1k/OWL
5,452,19,19,19,21,0.0420353982300885,0.0420353982300885,0.0420353982300885,1.0,1.0,1000978.1115736061,1055,1000000.0,452,0.0420353982300885,399,0.047619047619047616,300,0.06333333333333334,163,0.1165644171779141,111,0.17117117117117117,81,0.2345679012345679,VOC-1k/OWL
6,422,41,42,42,43,0.0971563981042654,0.0995260663507109,0.0995260663507109,1.024390243902439,1.0,1055.942536004074,1075,122.11317944899479,422,0.0971563981042654,373,0.10991957104557641,264,0.1553030303030303,143,0.2867132867132867,103,0.39805825242718446,70,0.5857142857142857,VOC-1k/OWL
7,381,25,25,25,27,0.06561679790026247,0.06561679790026247,0.06561679790026247,1.0,1.0,2001277.0901809463,1248,1000000.0,381,0.06561679790026247,338,0.07396449704142012,255,0.09803921568627451,137,0.18248175182481752,96,0.2604166666666667,66,0.3787878787878788,VOC-1k/OWL
