seed,alpha,method,threshold,cal_fdp,rejections,fp,tp,fdp_pooled,fdp_family,recall
7,0.05,score_threshold_cal,0.5799999999999997,0.04891304347826087,212,14,198,0.0660377358490566,0.05878552971576228,0.29774436090225564
7,0.1,score_threshold_cal,0.48499999999999976,0.088,285,40,245,0.14035087719298245,0.08973814578910119,0.3684210526315789
7,0.15,score_threshold_cal,0.4449999999999998,0.14473684210526316,319,52,267,0.16300940438871472,0.10071140040084141,0.40150375939849625
7,0.2,score_threshold_cal,0.3949999999999998,0.1977715877437326,399,96,303,0.24060150375939848,0.16556488239396785,0.4556390977443609
8,0.05,score_threshold_cal,0.6199999999999998,0.042328042328042326,172,10,162,0.05813953488372093,0.047483380816714146,0.25
8,0.1,score_threshold_cal,0.5549999999999998,0.0970464135021097,213,16,197,0.07511737089201878,0.061631351105035315,0.30401234567901236
8,0.15,score_threshold_cal,0.4999999999999998,0.1423487544483986,246,22,224,0.08943089430894309,0.07499161636485578,0.345679012345679
8,0.2,score_threshold_cal,0.4549999999999998,0.19571865443425077,273,31,242,0.11355311355311355,0.10140183890183889,0.3734567901234568
9,0.05,score_threshold_cal,0.6049999999999998,0.05,186,11,175,0.05913978494623656,0.0463276836158192,0.24893314366998578
9,0.1,score_threshold_cal,0.4999999999999998,0.09787234042553192,248,25,223,0.10080645161290322,0.10501419110690634,0.31721194879089615
9,0.15,score_threshold_cal,0.4549999999999998,0.14492753623188406,274,30,244,0.10948905109489052,0.11262626262626264,0.34708392603129445
9,0.2,score_threshold_cal,0.4049999999999998,0.1831831831831832,333,51,282,0.15315315315315314,0.14272768566886213,0.4011379800853485
10,0.05,score_threshold_cal,0.6599999999999997,0.0457516339869281,161,8,153,0.049689440993788817,0.05555555555555555,0.19921875
10,0.1,score_threshold_cal,0.4949999999999998,0.09615384615384616,273,37,236,0.13553113553113552,0.08788924274593066,0.3072916666666667
10,0.15,score_threshold_cal,0.4449999999999998,0.14563106796116504,342,73,269,0.2134502923976608,0.10768440598949074,0.3502604166666667
10,0.2,score_threshold_cal,0.3949999999999998,0.1989247311827957,446,131,315,0.2937219730941704,0.15580040009617865,0.41015625
11,0.05,score_threshold_cal,0.6099999999999998,0.04807692307692308,182,8,174,0.04395604395604396,0.04914285714285714,0.28292682926829266
11,0.1,score_threshold_cal,0.5599999999999998,0.09448818897637795,204,12,192,0.058823529411764705,0.058671369782480894,0.3121951219512195
11,0.15,score_threshold_cal,0.48499999999999976,0.14790996784565916,262,29,233,0.11068702290076336,0.08388991960420532,0.37886178861788616
11,0.2,score_threshold_cal,0.4449999999999998,0.1876750700280112,302,44,258,0.1456953642384106,0.11424492667096217,0.4195121951219512
12,0.05,score_threshold_cal,0.7849999999999997,0.046875,96,3,93,0.03125,0.0375,0.14027149321266968
12,0.1,score_threshold_cal,0.5999999999999998,0.0972972972972973,199,9,190,0.04522613065326633,0.04042288557213931,0.2865761689291101
12,0.15,score_threshold_cal,0.5699999999999998,0.14354066985645933,211,12,199,0.05687203791469194,0.04770531400966184,0.30015082956259426
12,0.2,score_threshold_cal,0.5049999999999998,0.19924812030075187,261,23,238,0.08812260536398467,0.07290394790394791,0.358974358974359
13,0.05,score_threshold_cal,0.5999999999999998,0.0481283422459893,162,11,151,0.06790123456790123,0.05024027959807777,0.28330206378986866
13,0.1,score_threshold_cal,0.5699999999999998,0.091324200913242,176,14,162,0.07954545454545454,0.06444991789819376,0.30393996247654786
13,0.15,score_threshold_cal,0.5199999999999998,0.1471698113207547,200,18,182,0.09,0.08896271686969362,0.34146341463414637
13,0.2,score_threshold_cal,0.4699999999999998,0.2,237,32,205,0.1350210970464135,0.13431372549019607,0.38461538461538464
14,0.05,score_threshold_cal,0.5999999999999998,0.04830917874396135,229,14,215,0.0611353711790393,0.05083002397051983,0.3015427769985975
14,0.1,score_threshold_cal,0.5699999999999998,0.08898305084745763,252,19,233,0.07539682539682539,0.061343953204418315,0.3267882187938289
14,0.15,score_threshold_cal,0.5299999999999998,0.14909090909090908,287,28,259,0.0975609756097561,0.07056303197607545,0.3632538569424965
14,0.2,score_threshold_cal,0.48999999999999977,0.19817073170731708,330,45,285,0.13636363636363635,0.09657771385959303,0.3997194950911641
15,0.05,score_threshold_cal,0.6149999999999998,0.05,205,12,193,0.05853658536585366,0.04120148856990962,0.28720238095238093
15,0.1,score_threshold_cal,0.5449999999999998,0.09803921568627451,251,27,224,0.10756972111553785,0.07496293660677224,0.3333333333333333
15,0.15,score_threshold_cal,0.47499999999999976,0.14869888475836432,326,63,263,0.19325153374233128,0.11216044005678152,0.3913690476190476
15,0.2,score_threshold_cal,0.4349999999999998,0.1949685534591195,388,99,289,0.2551546391752577,0.14590577064577714,0.43005952380952384
16,0.05,score_threshold_cal,0.6249999999999998,0.047619047619047616,197,14,183,0.07106598984771574,0.06621297722992638,0.2695139911634757
16,0.1,score_threshold_cal,0.5049999999999998,0.09689922480620156,290,39,251,0.13448275862068965,0.09471191201960433,0.3696612665684831
16,0.15,score_threshold_cal,0.48499999999999976,0.13986013986013987,300,44,256,0.14666666666666667,0.10627092106683944,0.37702503681885124
16,0.2,score_threshold_cal,0.4449999999999998,0.19420289855072465,342,63,279,0.18421052631578946,0.13598133173604873,0.4108983799705449
17,0.05,score_threshold_cal,0.5749999999999997,0.04945054945054945,202,11,191,0.054455445544554455,0.036347975882859596,0.2641770401106501
17,0.1,score_threshold_cal,0.47499999999999976,0.0995850622406639,289,37,252,0.12802768166089964,0.08740851630073186,0.34854771784232363
17,0.15,score_threshold_cal,0.4399999999999998,0.14760147601476015,330,54,276,0.16363636363636364,0.10276436948725405,0.3817427385892116
17,0.2,score_threshold_cal,0.3649999999999998,0.19553072625698323,499,161,338,0.3226452905811623,0.1586755933259464,0.46749654218533887
18,0.05,score_threshold_cal,0.6999999999999997,0.05,120,3,117,0.025,0.020576131687242795,0.15254237288135594
18,0.1,score_threshold_cal,0.5649999999999998,0.09865470852017937,243,33,210,0.13580246913580246,0.07819043576683644,0.2737940026075619
18,0.15,score_threshold_cal,0.5349999999999998,0.14634146341463414,260,39,221,0.15,0.0826972010178117,0.288135593220339
18,0.2,score_threshold_cal,0.48499999999999976,0.19536423841059603,311,61,250,0.19614147909967847,0.1165083609201256,0.3259452411994785
19,0.05,score_threshold_cal,0.5749999999999997,0.04736842105263158,201,7,194,0.03482587064676617,0.04521963824289406,0.2720897615708275
19,0.1,score_threshold_cal,0.5349999999999998,0.0967741935483871,219,9,210,0.0410958904109589,0.04325396825396825,0.29453015427769985
19,0.15,score_threshold_cal,0.47999999999999976,0.14760147601476015,257,18,239,0.07003891050583658,0.07457264957264957,0.33520336605890605
19,0.2,score_threshold_cal,0.4399999999999998,0.19558359621451105,301,32,269,0.10631229235880399,0.11220379998789089,0.37727910238429174
