dataset,detector,alpha,bin,n_families_mean,mean_K,total_rejections_mean,fdp_pooled_mean,fdp_pooled_std,per_family_fdp_mean,recall_mean,pass_rate,family_share
VOC 2012,GDino,0.15,6-10,116.85,7.6806653490477625,39.9,0.04835127439391394,0.035034107619472205,0.04774938192546254,0.3928179698227095,0.95,0.2090339892665474
VOC 2012,GDino,0.15,K=1,82.05,1.0,31.05,0.09241406435609596,0.046556888727718834,0.09241406435609596,0.984028305028305,0.85,0.14677996422182468
VOC 2012,GDino,0.15,K>20,76.1,39.93326428094632,38.2,0.07531125713201739,0.08547875848303985,0.042555763593316115,0.15910795847729373,0.8,0.1361359570661896
VOC 2012,GDino,0.2,11-20,90.05,14.454066543890377,44.3,0.04174492810629085,0.02885360983356806,0.039774082903257374,0.35628276824009514,1.0,0.1610912343470483
VOC 2012,GDino,0.2,2-5,193.95,3.236670471779052,74.85,0.10879982472322414,0.04626026853090393,0.12732362807638126,0.644333783334688,1.0,0.34695885509839
VOC 2012,GDino,0.2,6-10,116.85,7.6806653490477625,42.9,0.06421316564435273,0.037851355683269944,0.06623472610185058,0.4145775421377785,1.0,0.2090339892665474
VOC 2012,GDino,0.2,K=1,82.05,1.0,32.15,0.1174423812111631,0.04677498030385584,0.1174423812111631,0.9914665334665335,0.95,0.14677996422182468
VOC 2012,GDino,0.2,K>20,76.1,39.93326428094632,47.75,0.09488822822586027,0.07908553611661569,0.05075859151407397,0.19425354126733094,0.95,0.1361359570661896
VOC 2012,OWL-ViT,0.05,11-20,22.6,14.28733384216297,1.25,0.0,0.0,0.0,0.01635433515356789,1.0,0.0900398406374502
VOC 2012,OWL-ViT,0.05,2-5,106.9,3.1034291910539986,18.15,0.02072092159048681,0.03144426714906061,0.022966146340759344,0.11244058126393966,0.85,0.4258964143426295
VOC 2012,OWL-ViT,0.05,6-10,35.4,7.455579129993266,1.45,0.016666666666666666,0.07453559924999299,0.016666666666666666,0.01704349100513786,0.95,0.14103585657370518
VOC 2012,OWL-ViT,0.05,K=1,74.0,1.0,13.0,0.0,0.0,0.0,0.25589686168184833,1.0,0.2948207171314741
VOC 2012,OWL-ViT,0.05,K>20,12.1,37.80649954212454,0.85,0.11339285714285714,0.3059819707661581,0.15,0.009493401447424435,0.8,0.04820717131474103
VOC 2012,OWL-ViT,0.1,11-20,22.6,14.28733384216297,2.9,0.017142857142857144,0.053572681689604475,0.020833333333333332,0.03705231650400852,0.9,0.0900398406374502
VOC 2012,OWL-ViT,0.1,2-5,106.9,3.1034291910539986,22.3,0.018597077491474042,0.029708621722343575,0.020869267185056658,0.13854859725081695,1.0,0.4258964143426295
VOC 2012,OWL-ViT,0.1,6-10,35.4,7.455579129993266,2.8,0.04380952380952381,0.09545839183095002,0.046309523809523814,0.03208348875833175,0.8,0.14103585657370518
VOC 2012,OWL-ViT,0.1,K=1,74.0,1.0,13.8,0.0,0.0,0.0,0.2720170794686174,1.0,0.2948207171314741
VOC 2012,OWL-ViT,0.1,K>20,12.1,37.80649954212454,1.65,0.2000595238095238,0.36322155142981466,0.23666666666666666,0.017291318728100337,0.65,0.04820717131474103
VOC 2012,OWL-ViT,0.15,11-20,22.6,14.28733384216297,4.15,0.01625,0.05147495558649448,0.01875,0.05149384607966075,0.95,0.0900398406374502
VOC 2012,OWL-ViT,0.15,2-5,106.9,3.1034291910539986,23.95,0.01811120818766996,0.029313440505692845,0.020417126732916208,0.14895012424722995,1.0,0.4258964143426295
VOC 2012,OWL-ViT,0.15,6-10,35.4,7.455579129993266,3.25,0.04380952380952381,0.09545839183095002,0.046309523809523814,0.037052168312264766,0.85,0.14103585657370518
VOC 2012,OWL-ViT,0.15,K=1,74.0,1.0,16.35,0.0,0.0,0.0,0.3210779999576908,1.0,0.2948207171314741
VOC 2012,OWL-ViT,0.15,K>20,12.1,37.80649954212454,1.95,0.20249999999999999,0.36498918513177603,0.24,0.02214053810933942,0.75,0.04820717131474103
VOC 2012,OWL-ViT,0.2,11-20,22.6,14.28733384216297,4.95,0.014583333333333332,0.04539261796902522,0.014583333333333332,0.06102668742094904,1.0,0.0900398406374502
VOC 2012,OWL-ViT,0.2,2-5,106.9,3.1034291910539986,26.65,0.02014101639101639,0.029600847457623276,0.02126920536081005,0.1653390882377072,1.0,0.4258964143426295
VOC 2012,OWL-ViT,0.2,6-10,35.4,7.455579129993266,4.15,0.05540043290043291,0.10404780437375366,0.0528125,0.04680627988850466,0.9,0.14103585657370518
VOC 2012,OWL-ViT,0.2,K=1,74.0,1.0,19.1,0.0,0.0,0.0,0.3749679511812706,1.0,0.2948207171314741
VOC 2012,OWL-ViT,0.2,K>20,12.1,37.80649954212454,2.15,0.21375000000000002,0.3747345551748668,0.25125000000000003,0.023703038109339422,0.75,0.04820717131474103
VOC 2012,YOLO-World,0.05,11-20,5.65,13.03468253968254,3.0,0.0,0.0,0.0,0.09609760337701514,1.0,0.023669878508588187
VOC 2012,YOLO-World,0.05,2-5,104.7,2.9278772401795035,64.75,0.005772240834993293,0.009939038105642362,0.007542081822246719,0.32716596627825506,1.0,0.43862589023879345
VOC 2012,YOLO-World,0.05,6-10,19.15,7.2741261779408335,18.2,0.008666666666666666,0.03067276827171445,0.009217171717171718,0.23793019545235605,0.95,0.0802262253875157
VOC 2012,YOLO-World,0.05,K=1,108.2,1.0,59.15,0.017935477901175834,0.01615904251503546,0.017935477901175834,0.7275257435885647,1.0,0.4532886468370339
VOC 2012,YOLO-World,0.05,K>20,1.0,24.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0041893590280687055
VOC 2012,YOLO-World,0.1,11-20,5.65,13.03468253968254,5.4,0.0,0.0,0.0,0.17908741932322053,1.0,0.023669878508588187
VOC 2012,YOLO-World,0.1,2-5,104.7,2.9278772401795035,72.1,0.009388451631663783,0.014269966926967402,0.011702213381501719,0.3619196335972237,1.0,0.43862589023879345
VOC 2012,YOLO-World,0.1,6-10,19.15,7.2741261779408335,23.8,0.012280219780219781,0.02899596328738038,0.01581439393939394,0.317972263633159,1.0,0.0802262253875157
VOC 2012,YOLO-World,0.1,K=1,108.2,1.0,60.05,0.02100400827639918,0.018632518688646828,0.02100400827639918,0.7356083704211915,1.0,0.4532886468370339
VOC 2012,YOLO-World,0.1,K>20,1.0,24.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0041893590280687055
VOC 2012,YOLO-World,0.15,11-20,5.65,13.03468253968254,6.4,0.0,0.0,0.0,0.21152174288968442,1.0,0.023669878508588187
VOC 2012,YOLO-World,0.15,2-5,104.7,2.9278772401795035,74.8,0.009534104589816742,0.012975888825191554,0.01217229885158719,0.3749139418134943,1.0,0.43862589023879345
VOC 2012,YOLO-World,0.15,6-10,19.15,7.2741261779408335,25.6,0.014180021367521367,0.02518690081607269,0.01562039568618516,0.3427722857248445,1.0,0.0802262253875157
VOC 2012,YOLO-World,0.15,K=1,108.2,1.0,60.3,0.020912839429928106,0.018545920010245125,0.020912839429928106,0.7384118169746381,1.0,0.4532886468370339
VOC 2012,YOLO-World,0.15,K>20,1.0,24.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0041893590280687055
VOC 2012,YOLO-World,0.2,11-20,5.65,13.03468253968254,6.9,0.0035714285714285713,0.015971914124998498,0.0020833333333333333,0.2224008761521848,1.0,0.023669878508588187
VOC 2012,YOLO-World,0.2,2-5,104.7,2.9278772401795035,76.3,0.00977033589702483,0.012339312006361515,0.012838483025835878,0.3823602683572952,1.0,0.43862589023879345
VOC 2012,YOLO-World,0.2,6-10,19.15,7.2741261779408335,26.3,0.01916110763671739,0.0387718039642754,0.02028134339860346,0.3496149418156209,1.0,0.0802262253875157
VOC 2012,YOLO-World,0.2,K=1,108.2,1.0,60.75,0.021367965369847513,0.019660663427217583,0.021367965369847513,0.7431347966976178,1.0,0.4532886468370339
VOC 2012,YOLO-World,0.2,K>20,1.0,24.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0041893590280687055
