dataset,detector,alpha,bin,n_candidates,n_rejections,pooled_fdp,recall,loo_mean,pass_rate
COCO val,YOLO-World,0.15,large,293.9,58.1,0.02119571574802766,0.28237588548445824,2.164472867537195,1.0
COCO val,YOLO-World,0.15,medium,275.3,9.35,0.12824480436549401,0.06402451804384376,1.471851951372306,0.55
COCO val,YOLO-World,0.15,small,235.15,0.4,0.0,0.006115163572060124,0.10937831027642324,1.0
COCO val,YOLO-World,0.2,large,293.9,59.6,0.022705956729811592,0.2886724487781382,2.164472867537195,1.0
COCO val,YOLO-World,0.2,medium,275.3,10.7,0.12489704739704739,0.07411063695210941,1.471851951372306,0.8
COCO val,YOLO-World,0.2,small,235.15,0.9,0.0,0.014302450423140078,0.10937831027642324,1.0
VOC 2012,GDino,0.05,large,2084.55,127.05,0.04364837200529157,0.2932641367659246,1.5676760511564507,0.65
VOC 2012,GDino,0.05,medium,1862.5,18.5,0.059961029467608416,0.14328107292409706,0.9188574261725846,0.4
VOC 2012,GDino,0.05,small,1994.0,4.4,0.01488095238095238,0.13457075854722259,0.5401069243688142,0.95
VOC 2012,GDino,0.1,large,2084.55,162.2,0.04976611825263746,0.37110046335786484,1.5676760511564507,1.0
VOC 2012,GDino,0.1,medium,1862.5,25.75,0.07929023302145963,0.19523920876545142,0.9188574261725846,0.6
VOC 2012,GDino,0.1,small,1994.0,8.45,0.07521214896214896,0.22377519302363486,0.5401069243688142,0.75
VOC 2012,GDino,0.15,large,2084.55,179.7,0.0555158682630269,0.4084980375916187,1.5676760511564507,1.0
VOC 2012,GDino,0.15,medium,1862.5,31.5,0.10892795946332275,0.22910896298269107,0.9188574261725846,0.75
VOC 2012,GDino,0.15,small,1994.0,10.9,0.2167486440762303,0.25718730692169894,0.5401069243688142,0.6
VOC 2012,GDino,0.2,large,2084.55,192.6,0.06634243034130524,0.43250637003492765,1.5676760511564507,1.0
VOC 2012,GDino,0.2,medium,1862.5,35.95,0.12849041709089204,0.2557657295593818,0.9188574261725846,0.85
VOC 2012,GDino,0.2,small,1994.0,13.4,0.2608218454251063,0.29244336250796,0.5401069243688142,0.5
VOC 2012,OWL-ViT,0.05,large,522.7,30.7,0.0,0.09684245574423879,0.782672055073115,1.0
VOC 2012,OWL-ViT,0.05,medium,407.75,2.9,0.12,0.02681363181200292,1.3420052355950653,0.65
VOC 2012,OWL-ViT,0.05,small,516.4,1.1,0.175,0.03641964640107055,1.089892640518881,0.8
VOC 2012,OWL-ViT,0.1,large,522.7,37.1,0.002079759862778731,0.11672515144015923,0.782672055073115,1.0
VOC 2012,OWL-ViT,0.1,medium,407.75,4.9,0.14075396825396824,0.04476912671670305,1.3420052355950653,0.6
VOC 2012,OWL-ViT,0.1,small,516.4,1.45,0.16666666666666669,0.05489416603348492,1.089892640518881,0.75
VOC 2012,OWL-ViT,0.15,large,522.7,41.6,0.0018928571428571427,0.13099857454207306,0.782672055073115,1.0
VOC 2012,OWL-ViT,0.15,medium,407.75,6.35,0.11647997835497836,0.061065142765906896,1.3420052355950653,0.7
VOC 2012,OWL-ViT,0.15,small,516.4,1.7,0.16666666666666669,0.06275781143201405,1.089892640518881,0.7
VOC 2012,OWL-ViT,0.2,large,522.7,46.9,0.0035980933353936275,0.14732120711449492,0.782672055073115,1.0
VOC 2012,OWL-ViT,0.2,medium,407.75,8.15,0.11345598845598845,0.0788241670432369,1.3420052355950653,0.9
VOC 2012,OWL-ViT,0.2,small,516.4,1.95,0.17333333333333334,0.06713876381296642,1.089892640518881,0.7
VOC 2012,YOLO-World,0.05,large,373.15,129.8,0.01012942068387922,0.4347553034269235,2.262586168636743,1.0
VOC 2012,YOLO-World,0.05,medium,169.45,14.9,0.016358685174474648,0.18901932104956934,0.5576916945546568,0.8
VOC 2012,YOLO-World,0.05,small,93.1,0.4,0.0,0.024404401154401154,0.1029482144815689,1.0
VOC 2012,YOLO-World,0.1,large,373.15,142.8,0.011875566322167696,0.47741933274719006,2.262586168636743,1.0
VOC 2012,YOLO-World,0.1,medium,169.45,17.95,0.026519188370968554,0.22752645831116802,0.5576916945546568,0.95
VOC 2012,YOLO-World,0.1,small,93.1,0.6,0.0,0.03674531024531025,0.1029482144815689,1.0
VOC 2012,YOLO-World,0.15,large,373.15,147.8,0.01201735151160836,0.4940594911384439,2.262586168636743,1.0
VOC 2012,YOLO-World,0.15,medium,169.45,18.55,0.028695849386251866,0.2351619603675421,0.5576916945546568,1.0
VOC 2012,YOLO-World,0.15,small,93.1,0.75,0.0,0.047397019647019645,0.1029482144815689,1.0
VOC 2012,YOLO-World,0.2,large,373.15,149.65,0.01287987901954401,0.49968804852964643,2.262586168636743,1.0
VOC 2012,YOLO-World,0.2,medium,169.45,19.55,0.029781461079415046,0.24760077912564876,0.5576916945546568,1.0
VOC 2012,YOLO-World,0.2,small,93.1,1.05,0.0,0.05489701964701965,0.1029482144815689,1.0
