bin,left,right,null_count,tp_count,p0,p1,raw_phi,regularized_raw_phi,phi
49,0.4821089524775743,0.5083667486906052,11,17,0.01000018180495964,0.014455649275559488,1.445578231292517,1.4455386469464122,1.4455386469464122
50,0.5083667486906052,0.5332150012254718,16,13,0.014545305795942116,0.011054520100673424,0.7599914965986395,0.7600060291449796,0.7600060291449796
51,0.5332150012254718,0.5521340072154999,11,17,0.01000018180495964,0.014455649275559488,1.445578231292517,1.4455386469464122,1.4455386469464122
52,0.5521340072154999,0.5667905770242214,11,18,0.01000018180495964,0.015305931569281003,1.530612244897959,1.5305653304912867,1.5305653304912867
53,0.5667905770242214,0.5853917002677917,12,16,0.010909206603156134,0.013605366981837973,1.2471655328798184,1.2471454136638878,1.2471454136638878
54,0.5853917002677917,0.6025649383664131,13,16,0.011818231401352628,0.013605366981837973,1.1512297226582942,1.151218530065404,1.151218530065404
55,0.6025649383664131,0.6250325143337252,13,15,0.011818231401352628,0.012755084688116454,1.0792778649921508,1.0792718686026574,1.0792718686026574
56,0.6250325143337252,0.6525452919304371,7,21,0.006364082612173661,0.01785677845044555,2.8061224489795915,2.8058684241917065,2.8058684241917065
57,0.6525452919304371,0.6837915033102036,11,18,0.01000018180495964,0.015305931569281003,1.530612244897959,1.5305653304912867,1.5305653304912867
58,0.6837915033102036,0.71032540127635,7,21,0.006364082612173661,0.01785677845044555,2.8061224489795915,2.8058684241917065,2.8058684241917065
59,0.71032540127635,0.7346242964267731,8,21,0.0072731074103701545,0.01785677845044555,2.455357142857143,2.455178707382345,2.455178707382345
60,0.7346242964267731,0.7590460702776911,4,24,0.003637008217584176,0.020407625331610096,5.612244897959183,5.61110234311363,5.61110234311363
61,0.7590460702776911,0.778713695704937,4,25,0.003637008217584176,0.021257907625331612,5.846088435374149,5.844888532985453,5.844888532985453
62,0.778713695704937,0.7986490018665793,4,24,0.003637008217584176,0.020407625331610096,5.612244897959183,5.61110234311363,5.61110234311363
63,0.7986490018665793,0.8143701553344727,2,26,0.001818958621191186,0.02210818991905313,12.159863945578232,12.154311627262352,12.154311627262352
64,0.8143701553344727,0.8293885253369808,1,28,0.0009099338229946913,0.02380875450649616,26.19047619047619,26.165369288218077,26.165369288218077
65,0.8293885253369808,0.8481525629758836,5,23,0.004546033015780671,0.019557343037888582,4.302721088435375,4.302067972229648,4.302067972229648
66,0.8481525629758836,0.8645220324397087,5,24,0.004546033015780671,0.020407625331610096,4.489795918367347,4.4891062737047855,4.4891062737047855
67,0.8645220324397087,0.8827343136072161,3,25,0.002727983419387681,0.021257907625331612,7.794784580498865,7.792535494993269,7.792535494993269
68,0.8827343136072161,0.8951192423701286,4,25,0.003637008217584176,0.021257907625331612,5.846088435374149,5.844888532985453,5.844888532985453
69,0.8951192423701286,0.9101678505539894,1,27,0.0009099338229946913,0.022958472212774642,25.25510204081633,25.230925186642487,25.230925186642487
70,0.9101678505539894,0.91948052495718,0,29,9.090247981964949e-07,0.024659036800217676,inf,27126.91320318346,27126.91320318346
71,0.91948052495718,0.9284433722496033,1,27,0.0009099338229946913,0.022958472212774642,25.25510204081633,25.230925186642487,25.230925186642487
72,0.9284433722496033,0.9374776296317576,0,28,9.090247981964949e-07,0.02380875450649616,inf,26191.534657506294,26191.534657506294
73,0.9374776296317576,0.9454748630523682,1,28,0.0009099338229946913,0.02380875450649616,26.19047619047619,26.165369288218077,26.165369288218077
74,0.9454748630523682,0.950910236686468,0,28,9.090247981964949e-07,0.02380875450649616,inf,26191.534657506294,26191.534657506294
75,0.950910236686468,0.9562600404024125,2,27,0.001818958621191186,0.022958472212774642,12.627551020408164,12.6217671723284,12.6217671723284
76,0.9562600404024125,0.9605810530483722,0,28,9.090247981964949e-07,0.02380875450649616,inf,26191.534657506294,26191.534657506294
77,0.9605810530483722,0.9658158272504808,1,28,0.0009099338229946913,0.02380875450649616,26.19047619047619,26.165369288218077,26.165369288218077
78,0.9658158272504808,0.9737231507897376,0,28,9.090247981964949e-07,0.02380875450649616,inf,26191.534657506294,26191.534657506294
79,0.9737231507897376,0.9898781776428224,0,29,9.090247981964949e-07,0.024659036800217676,inf,27126.91320318346,27126.91320318346
