alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,cal_null_size,n_cal
0.1,593,26,32,3,29,0.09375,0.03956343792633015,0.00505902192242833,16,betting,all,12415
0.15,593,41,56,14,42,0.25,0.0572987721691678,0.01517706576728499,16,betting,all,12415
0.2,593,49,69,24,45,0.34782608695652173,0.061391541609822645,0.026700393479482852,16,betting,all,12415
0.05,593,13,14,3,11,0.21428571428571427,0.014138817480719794,0.003372681281618887,17,betting,all,12081
0.1,593,30,35,7,28,0.2,0.03598971722365039,0.01011804384485666,17,betting,all,12081
0.15,593,42,50,9,41,0.18,0.05269922879177378,0.013490725126475547,17,betting,all,12081
0.2,593,64,76,19,57,0.25,0.07326478149100257,0.027543563799887576,17,betting,all,12081
0.05,593,12,12,3,9,0.25,0.012048192771084338,0.00505902192242833,18,betting,all,12595
0.1,593,26,54,7,47,0.12962962962962962,0.06291834002677377,0.011804384485666104,18,betting,all,12595
0.15,593,47,104,19,85,0.18269230769230768,0.11378848728246319,0.02417088251826869,18,betting,all,12595
0.2,593,57,121,26,95,0.21487603305785125,0.12717536813922356,0.03035413153456998,18,betting,all,12595
0.05,593,8,12,2,10,0.16666666666666666,0.014005602240896359,0.003372681281618887,19,betting,all,12792
0.1,593,28,38,7,31,0.18421052631578946,0.04341736694677871,0.011804384485666104,19,betting,all,12792
0.15,593,37,51,10,41,0.19607843137254902,0.05742296918767507,0.015739179314221474,19,betting,all,12792
0.2,593,56,76,22,54,0.2894736842105263,0.07563025210084033,0.031197301854974706,19,betting,all,12792
