alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,threshold,cal_loss,cal_bound,cal_rejections,cal_fp,cal_tp,seed,method
0.1,238,198,381,71,310,0.18635170603674542,0.8516483516483516,0.1337605630487489,0.339027464389801,0.09385921035080698,0.09765059440791658,423,53,370,7,scoregate_family_crc
0.15,238,205,445,115,330,0.25842696629213485,0.9065934065934066,0.18797124112803018,0.193309873342514,0.14600021826912585,0.14957343911318807,474,81,393,7,scoregate_family_crc
0.2,238,216,499,164,335,0.3286573146292585,0.9203296703296703,0.2453458576413021,0.1217523291707038,0.19652209368595921,0.199883925929951,525,120,405,7,scoregate_family_crc
0.05,238,175,296,13,283,0.04391891891891892,0.7092731829573935,0.030252100840336135,0.6832948327064514,0.044864612511671335,0.04886099488609948,293,20,273,8,scoregate_family_crc
0.1,238,191,358,34,324,0.09497206703910614,0.8120300751879699,0.05770308123249299,0.4318778216838836,0.09498132586367881,0.0987680148768015,369,47,322,8,scoregate_family_crc
0.15,238,198,401,61,340,0.15211970074812967,0.8521303258145363,0.09260037348272643,0.2839189171791076,0.14447157650939163,0.14805119334408037,425,78,347,8,scoregate_family_crc
0.2,238,213,487,128,359,0.26283367556468173,0.899749373433584,0.1770042865631101,0.1317792534828186,0.19614679205015337,0.1995101945938766,496,124,372,8,scoregate_family_crc
0.05,238,181,294,16,278,0.05442176870748299,0.6864197530864198,0.030718954248366015,0.6710295081138611,0.04446778711484594,0.048465829846582986,288,16,272,9,scoregate_family_crc
0.1,238,204,379,45,334,0.11873350923482849,0.8246913580246914,0.08651960784313727,0.3537850081920624,0.09619847939175671,0.0999800757122933,374,55,319,9,scoregate_family_crc
0.15,238,211,417,62,355,0.1486810551558753,0.8765432098765432,0.11442577030812326,0.2504531145095825,0.14529401504191417,0.14887019071119487,420,84,336,9,scoregate_family_crc
0.2,238,215,454,88,366,0.19383259911894274,0.9037037037037037,0.14485627584367078,0.1726072281599044,0.19413536976562187,0.1975071883021674,467,118,349,9,scoregate_family_crc
0.05,238,186,339,30,309,0.08849557522123894,0.7725,0.06069094304388421,0.56544429063797,0.042226890756302524,0.04623430962343097,327,21,306,10,scoregate_family_crc
0.1,238,199,390,54,336,0.13846153846153847,0.84,0.09728057889822596,0.4028396010398865,0.0947062158196612,0.09849405592083416,379,47,332,10,scoregate_family_crc
0.15,238,217,452,98,354,0.2168141592920354,0.885,0.17095186559472275,0.1938289105892181,0.14638627380776872,0.1499578793566902,463,99,364,10,scoregate_family_crc
0.2,238,226,513,146,367,0.28460038986354774,0.9175,0.2328449561642839,0.1154593452811241,0.19374188271799947,0.19711534764386557,505,132,373,10,scoregate_family_crc
0.05,238,193,326,15,311,0.046012269938650305,0.7458033573141487,0.03529411764705882,0.5901305079460144,0.04530812324929971,0.04930264993026499,313,22,291,11,scoregate_family_crc
0.1,238,205,379,33,346,0.0870712401055409,0.829736211031175,0.06727357609710552,0.3705783188343048,0.09603841536614645,0.09982068141063956,362,49,313,11,scoregate_family_crc
0.15,238,211,430,65,365,0.1511627906976744,0.8752997601918465,0.10580876075126405,0.2592886090278625,0.1458233293317327,0.1493972902968719,405,77,328,11,scoregate_family_crc
0.2,238,218,480,99,381,0.20625,0.9136690647482014,0.15081986542623427,0.1531950682401657,0.19659786991719763,0.1999593851058286,454,111,343,11,scoregate_family_crc
0.05,238,183,302,14,288,0.046357615894039736,0.7519582245430809,0.031862745098039214,0.6180294752120972,0.04446778711484594,0.048465829846582986,288,20,268,12,scoregate_family_crc
0.1,238,197,350,32,318,0.09142857142857143,0.8302872062663186,0.07331932773109244,0.4076046347618103,0.09283419250052963,0.09662986533525546,356,47,309,12,scoregate_family_crc
0.15,238,211,403,65,338,0.16129032258064516,0.8825065274151436,0.12545351473922903,0.2564541101455688,0.14625622178696038,0.14982837148659653,411,77,334,12,scoregate_family_crc
0.2,238,218,457,103,354,0.22538293216630198,0.9242819843342036,0.16725690276110444,0.1537561565637588,0.19587606972613605,0.19924060499924845,459,110,349,12,scoregate_family_crc
0.05,238,193,370,32,338,0.08648648648648649,0.8009478672985783,0.06865662931839403,0.5351530313491821,0.04488795518207282,0.04888423988842398,335,21,314,13,scoregate_family_crc
0.1,238,206,432,70,362,0.16203703703703703,0.8578199052132701,0.14007975739315334,0.3238021731376648,0.09591942039973883,0.09970218433112067,396,53,343,13,scoregate_family_crc
0.15,238,213,473,98,375,0.20718816067653276,0.8886255924170616,0.17631171717859026,0.2146068662405014,0.14350845601398451,0.14709210264154107,436,79,357,13,scoregate_family_crc
0.2,238,220,525,136,389,0.259047619047619,0.9218009478672986,0.22390561487752994,0.141864612698555,0.19492902424127548,0.19829752204779735,472,108,364,13,scoregate_family_crc
0.05,238,188,337,20,317,0.05934718100890208,0.7476415094339622,0.047128851540616246,0.5835195183753967,0.04498716153127918,0.048983031148303116,330,23,307,14,scoregate_family_crc
0.1,238,204,408,52,356,0.12745098039215685,0.839622641509434,0.099953314659197,0.3463363945484161,0.09546842003524367,0.0992530709974393,398,57,341,14,scoregate_family_crc
0.15,238,217,474,93,381,0.1962025316455696,0.8985849056603774,0.16153323800382624,0.1915538311004638,0.14633563951896547,0.1499074569268359,456,91,365,14,scoregate_family_crc
0.2,238,225,522,131,391,0.2509578544061303,0.9221698113207547,0.20663280463700634,0.125048890709877,0.19429649052603495,0.1976676349171394,494,120,374,14,scoregate_family_crc
