alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,cal_null_size,n_cal
0.05,537,76,101,9,92,0.0891089108910891,0.13690476190476192,0.0111731843575419,2,betting,all,4569
0.1,537,86,118,11,107,0.09322033898305085,0.15922619047619047,0.013656114214773432,2,betting,all,4569
0.15,537,94,136,12,124,0.08823529411764706,0.18452380952380953,0.01551831160769708,2,betting,all,4569
0.2,537,100,144,13,131,0.09027777777777778,0.1949404761904762,0.01738050900062073,2,betting,all,4569
0.05,537,76,101,9,92,0.0891089108910891,0.13690476190476192,0.0111731843575419,2,betting,all,4569
0.1,537,86,118,11,107,0.09322033898305085,0.15922619047619047,0.013656114214773432,2,betting,all,4569
0.15,537,94,136,12,124,0.08823529411764706,0.18452380952380953,0.01551831160769708,2,betting,all,4569
0.2,537,100,144,13,131,0.09027777777777778,0.1949404761904762,0.01738050900062073,2,betting,all,4569
0.05,537,84,117,2,115,0.017094017094017096,0.18883415435139572,0.002793296089385475,3,betting,500,500
0.1,537,100,137,6,131,0.043795620437956206,0.21510673234811165,0.008379888268156424,3,betting,500,500
0.15,537,107,153,7,146,0.0457516339869281,0.23973727422003285,0.010242085661080074,3,betting,500,500
0.2,537,115,170,11,159,0.06470588235294118,0.26108374384236455,0.01520794537554314,3,betting,500,500
0.05,537,84,117,2,115,0.017094017094017096,0.18883415435139572,0.002793296089385475,3,betting,1000,1000
0.1,537,94,129,4,125,0.031007751937984496,0.20525451559934318,0.004655493482309125,3,betting,1000,1000
0.15,537,105,150,6,144,0.04,0.23645320197044334,0.008379888268156424,3,betting,1000,1000
0.2,537,111,164,7,157,0.042682926829268296,0.25779967159277506,0.010242085661080074,3,betting,1000,1000
0.05,537,86,120,2,118,0.016666666666666666,0.19376026272577998,0.002793296089385475,3,betting,2000,2000
0.1,537,103,145,6,139,0.041379310344827586,0.22824302134646962,0.008379888268156424,3,betting,2000,2000
0.15,537,108,155,6,149,0.03870967741935484,0.24466338259441708,0.008379888268156424,3,betting,2000,2000
0.2,537,117,173,11,162,0.06358381502890173,0.2660098522167488,0.01520794537554314,3,betting,2000,2000
0.05,537,86,120,2,118,0.016666666666666666,0.19376026272577998,0.002793296089385475,3,betting,5000,5000
0.1,537,98,140,4,136,0.02857142857142857,0.2233169129720854,0.004655493482309125,3,betting,5000,5000
0.15,537,106,153,6,147,0.0392156862745098,0.2413793103448276,0.008379888268156424,3,betting,5000,5000
0.2,537,113,168,10,158,0.05952380952380952,0.2594417077175698,0.013345747982619489,3,betting,5000,5000
0.05,537,86,120,2,118,0.016666666666666666,0.19376026272577998,0.002793296089385475,3,betting,all,6073
0.1,537,98,140,4,136,0.02857142857142857,0.2233169129720854,0.004655493482309125,3,betting,all,6073
0.15,537,106,153,6,147,0.0392156862745098,0.2413793103448276,0.008379888268156424,3,betting,all,6073
0.2,537,113,168,10,158,0.05952380952380952,0.2594417077175698,0.013345747982619489,3,betting,all,6073
0.05,537,64,83,2,81,0.024096385542168676,0.125193199381762,0.0037243947858473,4,betting,500,500
0.1,537,84,114,5,109,0.043859649122807015,0.16846986089644514,0.006828057107386715,4,betting,500,500
0.15,537,94,133,8,125,0.06015037593984962,0.19319938176197837,0.010552451893234015,4,betting,500,500
0.2,537,102,145,10,135,0.06896551724137931,0.20865533230293662,0.013345747982619489,4,betting,500,500
0.05,537,70,90,2,88,0.022222222222222223,0.13601236476043277,0.0037243947858473,4,betting,1000,1000
0.1,537,87,121,5,116,0.04132231404958678,0.17928902627511592,0.006828057107386715,4,betting,1000,1000
0.15,537,99,140,9,131,0.06428571428571428,0.20247295208655333,0.012414649286157665,4,betting,1000,1000
0.2,537,108,152,10,142,0.06578947368421052,0.21947449768160743,0.013345747982619489,4,betting,1000,1000
0.05,537,65,84,2,82,0.023809523809523808,0.1267387944358578,0.0037243947858473,4,betting,2000,2000
0.1,537,83,113,5,108,0.04424778761061947,0.16692426584234932,0.006828057107386715,4,betting,2000,2000
0.15,537,92,127,6,121,0.047244094488188976,0.18701700154559506,0.008690254500310366,4,betting,2000,2000
0.2,537,100,141,9,132,0.06382978723404255,0.20401854714064915,0.012414649286157665,4,betting,2000,2000
0.05,537,67,87,2,85,0.022988505747126436,0.13137557959814528,0.0037243947858473,4,betting,5000,5000
0.1,537,86,118,5,113,0.0423728813559322,0.17465224111282843,0.006828057107386715,4,betting,5000,5000
0.15,537,94,130,7,123,0.05384615384615385,0.1901081916537867,0.010552451893234015,4,betting,5000,5000
0.2,537,103,146,10,136,0.0684931506849315,0.21020092735703247,0.013345747982619489,4,betting,5000,5000
