seed,template,alpha,cal_null_count,tmpl_phi_max,tmpl_C_m,global_phi_max,global_C_m,global_m,fit_phi_max,mean_K,median_K,T1_global,T1_tmpl,phi_max_below_T1_global,phi_max_below_T1_tmpl
2,the {cat},0.15,202,11.568975367140506,233.5003657005049,11.568975367140506,7961.372228995178,7887,11.568975367140506,16.666666666666668,11.0,113.7468886300603,282.3462704963784,True,True
2,the {cat},0.2,202,11.568975367140506,233.5003657005049,11.568975367140506,7961.372228995178,7887,11.568975367140506,16.666666666666668,11.0,85.00653699704428,162.6047114906023,True,True
3,a photo of a {cat},0.05,512,12.633155183205739,540.6288801845801,12.633155183205739,8547.837879455636,8992,12.633155183205739,17.352941176470587,15.0,343.12083526978483,1130.702018110252,True,True
3,a photo of a {cat},0.1,512,12.633155183205739,540.6288801845801,12.633155183205739,8547.837879455636,8992,12.633155183205739,17.352941176470587,15.0,168.1848433238898,276.356817976869,True,True
3,a photo of a {cat},0.15,512,12.633155183205739,540.6288801845801,12.633155183205739,8547.837879455636,8992,12.633155183205739,17.352941176470587,15.0,111.39265209796339,157.4155057537888,True,True
3,a photo of a {cat},0.2,512,12.633155183205739,540.6288801845801,12.633155183205739,8547.837879455636,8992,12.633155183205739,17.352941176470587,15.0,83.27319176384727,110.05073119959366,True,True
3,a small {cat} near the center,0.05,2852,12.633155183205739,2398.519417396138,12.633155183205739,8547.837879455636,8992,12.633155183205739,55.78260869565217,48.0,1210.6122673534549,1540.2289409240695,True,True
3,a small {cat} near the center,0.1,2852,12.633155183205739,2398.519417396138,12.633155183205739,8547.837879455636,8992,12.633155183205739,55.78260869565217,48.0,565.2766623889396,582.9434943869452,True,True
3,a small {cat} near the center,0.15,2852,12.633155183205739,2398.519417396138,12.633155183205739,8547.837879455636,8992,12.633155183205739,55.78260869565217,48.0,368.7231048585317,359.5040114627295,True,True
3,a small {cat} near the center,0.2,2852,12.633155183205739,2398.519417396138,12.633155183205739,8547.837879455636,8992,12.633155183205739,55.78260869565217,48.0,273.59188518694316,259.8895693297112,True,True
3,a visible {cat} in the scene,0.05,294,12.633155183205739,310.40904978126827,12.633155183205739,8547.837879455636,8992,12.633155183205739,18.275862068965516,12.0,362.1429574384574,inf,True,True
3,a visible {cat} in the scene,0.1,294,12.633155183205739,310.40904978126827,12.633155183205739,8547.837879455636,8992,12.633155183205739,18.275862068965516,12.0,177.31535306134657,505.42794588040596,True,True
3,a visible {cat} in the scene,0.15,294,12.633155183205739,310.40904978126827,12.633155183205739,8547.837879455636,8992,12.633155183205739,18.275862068965516,12.0,117.39846865567199,218.40928826295672,True,True
3,a visible {cat} in the scene,0.2,294,12.633155183205739,310.40904978126827,12.633155183205739,8547.837879455636,8992,12.633155183205739,18.275862068965516,12.0,87.74756390954546,139.3029605284269,True,True
3,a {cat} in the scene,0.05,2802,12.633155183205739,2444.301408785922,12.633155183205739,8547.837879455636,8992,12.633155183205739,46.39622641509434,37.0,983.4685937073853,1209.61916787341,True,True
3,a {cat} in the scene,0.1,2802,12.633155183205739,2444.301408785922,12.633155183205739,8547.837879455636,8992,12.633155183205739,46.39622641509434,37.0,464.9849536341202,484.8419495361406,True,True
3,a {cat} in the scene,0.15,2802,12.633155183205739,2444.301408785922,12.633155183205739,8547.837879455636,8992,12.633155183205739,46.39622641509434,37.0,304.4691356758734,303.18197435060455,True,True
