seed,template,n_null,mean_phi,loo_mean_within_template,loo_mean_from_global
9,a visible {cat} in the scene,256,1.184512106841057,1.0,1.2052838383646933
9,a {cat} in the scene,2674,0.8859607642992104,1.0,0.9014970674152482
9,a {cat} object,637,0.8563790993613865,1.0,0.8713966552239669
9,other,1718,1.3152558636461462,1.0,1.3383203317311585
9,the {cat},192,1.0509379975462272,1.0,1.0693673591432442
10,a photo of a {cat},368,1.041596945425453,1.0,1.0555294598393616
10,a small {cat} near the center,2072,0.8901782522960652,1.0,0.9020853737460012
10,a visible {cat} in the scene,369,1.2079148400278827,0.9999999999999999,1.2240720407506522
10,a {cat} in the scene,1748,0.885680536335874,1.0,0.8975274958462802
10,a {cat} object,686,0.8687563964187357,1.0,0.8803769767866394
10,other,2040,1.1616678689383968,1.0,1.177206465128834
10,the {cat},333,0.985152296163316,1.0,0.9983298007887588
11,a photo of a {cat},423,1.0148166807238714,1.0000000000000002,1.056710770481422
11,a small {cat} near the center,2442,0.8710334153549816,1.0,0.9069917837754515
11,a visible {cat} in the scene,265,1.1430936615232952,1.0,1.190283335645507
11,a {cat} in the scene,2614,0.8520414000182432,1.0000000000000002,0.8872157320602154
11,a {cat} object,888,0.798893135598431,0.9999999999999999,0.8318733785971748
11,other,1612,1.3166156837715193,1.0000000000000002,1.370968767121291
11,the {cat},233,0.9555120369211695,1.0,0.9949578873881149
12,a photo of a {cat},454,1.0031640682044338,1.0,0.9971797201588226
12,a small {cat} near the center,2414,0.9142760457902914,0.9999999999999998,0.9088219568319742
12,a visible {cat} in the scene,385,1.1277640600130001,1.0000000000000002,1.1210364140950901
12,a {cat} in the scene,2079,0.8919776174442784,1.0,0.8866565491555827
12,a {cat} object,403,0.9309195310284936,1.0,0.9253661558103168
12,other,1332,1.3413229974437817,1.0,1.3333213714758048
12,the {cat},352,0.9960544086813216,1.0,0.9901124731167996
13,a photo of a {cat},292,1.1029428368210519,1.0,1.088262740967923
13,a small {cat} near the center,2266,0.8864218916702205,1.0,0.874623675206404
13,a visible {cat} in the scene,385,1.109357801694876,1.0,1.094592323085635
13,a {cat} in the scene,2325,0.9114905397224098,1.0,0.8993586612191579
13,a {cat} object,452,0.8750953009735855,1.0,0.8634478406791414
13,other,2089,1.2557627473911648,1.0,1.2390486286852274
13,the {cat},178,1.117412521146725,1.0,1.102539834756921
14,a photo of a {cat},456,0.9505162681053165,0.9999999999999999,0.9790644740963002
14,a small {cat} near the center,3097,0.8471180549709396,1.0000000000000002,0.8725607554732651
14,a visible {cat} in the scene,398,1.0860710451960978,1.0,1.1186905604632114
14,a {cat} in the scene,2663,0.9405233378641765,1.0,0.9687714119788837
14,a {cat} object,639,0.8535209750132251,1.0,0.8791559835132615
14,other,1320,1.3091914695195632,1.0,1.3485122775978755
14,the {cat},227,1.2160405687207687,1.0000000000000002,1.2525636434056795
15,a photo of a {cat},284,0.9769663825974861,1.0,0.9806165260285611
15,a small {cat} near the center,3025,0.8729393946417514,1.0,0.8762008722666075
15,a visible {cat} in the scene,156,1.3530523246190387,1.0,1.3581076009750972
15,a {cat} in the scene,2027,0.8910065125266733,1.0,0.8943354925475594
15,a {cat} object,501,0.7673897246511648,1.0,0.7702568474226391
15,other,1898,1.3290651622632577,0.9999999999999999,1.3340308177432423
15,the {cat},198,1.0940199260755432,0.9999999999999999,1.098107405151346
16,a photo of a {cat},317,1.0339521950268418,1.0,1.0743737815794865
16,a small {cat} near the center,2724,0.8719005902356649,1.0,0.9059868906884609
16,a visible {cat} in the scene,466,0.9538704227651897,1.0,0.9911612724188431
16,a {cat} in the scene,3048,0.8762346245855913,1.0,0.9104903608647634
16,a {cat} object,502,0.7878082033995585,1.0000000000000002,0.8186069749808425
16,other,1557,1.311608880550059,1.0,1.362885247236427
16,the {cat},162,1.1733058969172587,1.0,1.2191754120583704
17,a photo of a {cat},412,0.9713373891953033,0.9999999999999999,0.9586759178092125
17,a small {cat} near the center,2496,0.867501947989527,1.0,0.8561939810420724
17,a visible {cat} in the scene,450,1.0344288611482277,1.0,1.0209449866757079
17,a {cat} in the scene,2090,0.9477236733904625,1.0,0.9353700089418048
17,a {cat} object,654,0.802770969710573,0.9999999999999998,0.7923067769639154
17,other,1491,1.4677351820279758,1.0000000000000002,1.4486031201756044
17,the {cat},305,0.9088332759607196,1.0,0.8969865513866384
18,a photo of a {cat},349,1.0405773655000063,1.0,1.0625715690172495
18,a small {cat} near the center,2597,0.8516774835633563,1.0,0.8696789974590051
18,a visible {cat} in the scene,690,0.9450804403431481,1.0,0.9650561694280152
18,a {cat} in the scene,2583,0.8917177968669474,0.9999999999999998,0.9105656243851012
18,a {cat} object,551,0.8882987100108418,1.0,0.9070742698681282
18,other,1483,1.375723362991622,1.0,1.4048013927780225
18,the {cat},186,1.098333489645814,0.9999999999999999,1.1215484577029617
19,a photo of a {cat},481,0.9938734026908635,1.0,0.9797706207688586
19,a small {cat} near the center,2393,0.9046809918296296,1.0,0.8918438249407551
19,a visible {cat} in the scene,395,1.0367199535046494,1.0,1.0220091911692428
19,a {cat} in the scene,2242,0.9450555937800715,1.0000000000000002,0.9316455227316196
19,a {cat} object,660,0.8054139958620388,1.0,0.793985399513832
19,other,1547,1.381751698147181,1.0000000000000002,1.3621450331367575
19,the {cat},338,0.9808902586607452,1.0,0.9669717038731249
