alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum_fine
0.2,52,15,20,1,19,0.05,0.22093023255813954,0.019230769230769232,0.4,178,3,betting,3<=K<=5
0.2,28,14,28,3,25,0.10714285714285714,0.24509803921568626,0.07142857142857142,0.4,370,3,betting,11<=K<=20
0.2,120,29,32,0,32,0.0,0.32323232323232326,0.0,0.4,135,3,betting,K<=2
0.2,14,9,38,6,32,0.15789473684210525,0.3902439024390244,0.11224489795918367,0.4,370,3,betting,21<=K<=50
0.2,1,1,2,2,0,1.0,0.0,1.0,0.4,61,3,betting,K>50
0.05,108,18,19,0,19,0.0,0.2,0.0,0.4,118,4,betting,K<=2
0.05,59,10,10,0,10,0.0,0.08928571428571429,0.0,0.4,224,4,betting,3<=K<=5
0.05,45,4,4,0,4,0.0,0.03333333333333333,0.0,0.4,319,4,betting,6<=K<=10
0.05,24,2,3,0,3,0.0,0.03529411764705882,0.0,0.4,330,4,betting,11<=K<=20
0.05,14,1,1,1,0,1.0,0.0,0.07142857142857142,0.4,390,4,betting,21<=K<=50
0.05,1,0,0,0,0,0.0,0.0,0.0,0.4,57,4,betting,K>50
0.1,108,18,19,0,19,0.0,0.2,0.0,0.4,118,4,betting,K<=2
0.1,59,11,12,0,12,0.0,0.10714285714285714,0.0,0.4,224,4,betting,3<=K<=5
0.1,45,5,5,0,5,0.0,0.041666666666666664,0.0,0.4,319,4,betting,6<=K<=10
0.1,24,4,5,0,5,0.0,0.058823529411764705,0.0,0.4,330,4,betting,11<=K<=20
0.1,14,4,4,1,3,0.25,0.046153846153846156,0.07142857142857142,0.4,390,4,betting,21<=K<=50
0.1,1,0,0,0,0,0.0,0.0,0.0,0.4,57,4,betting,K>50
0.15,108,23,24,0,24,0.0,0.25263157894736843,0.0,0.4,118,4,betting,K<=2
0.15,59,13,15,0,15,0.0,0.13392857142857142,0.0,0.4,224,4,betting,3<=K<=5
0.15,45,5,5,0,5,0.0,0.041666666666666664,0.0,0.4,319,4,betting,6<=K<=10
0.15,24,8,12,0,12,0.0,0.1411764705882353,0.0,0.4,330,4,betting,11<=K<=20
0.15,14,6,10,3,7,0.3,0.1076923076923077,0.14285714285714285,0.4,390,4,betting,21<=K<=50
0.15,1,0,0,0,0,0.0,0.0,0.0,0.4,57,4,betting,K>50
0.2,108,25,26,0,26,0.0,0.2736842105263158,0.0,0.4,118,4,betting,K<=2
0.2,59,14,16,0,16,0.0,0.14285714285714285,0.0,0.4,224,4,betting,3<=K<=5
0.2,45,8,10,0,10,0.0,0.08333333333333333,0.0,0.4,319,4,betting,6<=K<=10
0.2,24,9,17,2,15,0.11764705882352941,0.17647058823529413,0.041666666666666664,0.4,330,4,betting,11<=K<=20
0.2,14,8,19,5,14,0.2631578947368421,0.2153846153846154,0.14880952380952378,0.4,390,4,betting,21<=K<=50
0.2,1,0,0,0,0,0.0,0.0,0.0,0.4,57,4,betting,K>50
0.05,113,21,21,0,21,0.0,0.21212121212121213,0.0,0.4,124,5,betting,K<=2
0.05,7,0,0,0,0,0.0,0.0,0.0,0.4,191,5,betting,21<=K<=50
0.05,40,6,6,1,5,0.16666666666666666,0.05,0.025,0.4,272,5,betting,6<=K<=10
0.05,62,16,17,1,16,0.058823529411764705,0.1415929203539823,0.016129032258064516,0.4,207,5,betting,3<=K<=5
0.05,27,9,17,0,17,0.0,0.18478260869565216,0.0,0.4,321,5,betting,11<=K<=20
0.05,2,0,0,0,0,0.0,0.0,0.0,0.4,147,5,betting,K>50
0.1,113,21,22,0,22,0.0,0.2222222222222222,0.0,0.4,124,5,betting,K<=2
0.1,7,2,4,3,1,0.75,0.024390243902439025,0.21428571428571427,0.4,191,5,betting,21<=K<=50
0.1,40,9,9,1,8,0.1111111111111111,0.08,0.025,0.4,272,5,betting,6<=K<=10
0.1,62,18,20,1,19,0.05,0.168141592920354,0.016129032258064516,0.4,207,5,betting,3<=K<=5
0.1,27,9,19,0,19,0.0,0.20652173913043478,0.0,0.4,321,5,betting,11<=K<=20
0.1,2,0,0,0,0,0.0,0.0,0.0,0.4,147,5,betting,K>50
0.15,113,26,29,0,29,0.0,0.29292929292929293,0.0,0.4,124,5,betting,K<=2
0.15,7,4,11,3,8,0.2727272727272727,0.1951219512195122,0.16666666666666666,0.4,191,5,betting,21<=K<=50
0.15,40,15,19,3,16,0.15789473684210525,0.16,0.05,0.4,272,5,betting,6<=K<=10
0.15,62,22,24,1,23,0.041666666666666664,0.20353982300884957,0.016129032258064516,0.4,207,5,betting,3<=K<=5
0.15,27,15,31,3,28,0.0967741935483871,0.30434782608695654,0.05555555555555555,0.4,321,5,betting,11<=K<=20
0.15,2,1,2,1,1,0.5,0.14285714285714285,0.25,0.4,147,5,betting,K>50
0.2,113,26,29,0,29,0.0,0.29292929292929293,0.0,0.4,124,5,betting,K<=2
0.2,7,4,11,3,8,0.2727272727272727,0.1951219512195122,0.16666666666666666,0.4,191,5,betting,21<=K<=50
0.2,40,15,19,3,16,0.15789473684210525,0.16,0.05,0.4,272,5,betting,6<=K<=10
0.2,62,22,24,1,23,0.041666666666666664,0.20353982300884957,0.016129032258064516,0.4,207,5,betting,3<=K<=5
0.2,27,16,33,5,28,0.15151515151515152,0.30434782608695654,0.09259259259259259,0.4,321,5,betting,11<=K<=20
0.2,2,1,2,1,1,0.5,0.14285714285714285,0.25,0.4,147,5,betting,K>50
0.05,36,7,7,1,6,0.14285714285714285,0.07894736842105263,0.027777777777777776,0.4,246,6,betting,6<=K<=10
0.05,62,12,13,0,13,0.0,0.11504424778761062,0.0,0.4,215,6,betting,3<=K<=5
0.05,27,3,4,0,4,0.0,0.05194805194805195,0.0,0.4,352,6,betting,11<=K<=20
0.05,115,18,18,0,18,0.0,0.18181818181818182,0.0,0.4,125,6,betting,K<=2
0.05,8,1,1,1,0,1.0,0.0,0.125,0.4,197,6,betting,21<=K<=50
0.05,3,1,1,0,1,0.0,0.05,0.0,0.4,272,6,betting,K>50
0.1,36,7,7,1,6,0.14285714285714285,0.07894736842105263,0.027777777777777776,0.4,246,6,betting,6<=K<=10
0.1,62,12,13,0,13,0.0,0.11504424778761062,0.0,0.4,215,6,betting,3<=K<=5
