alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.05,121,23,25,0,25,0.0,0.16129032258064516,0.0,0.0,0,8,betting,K<=5
0.05,14,0,0,0,0,0.0,0.0,0.0,0.0,0,8,betting,5<K<=30
0.05,1,0,0,0,0,0.0,0.0,0.0,0.0,0,8,betting,K>30
0.1,121,28,32,3,29,0.09375,0.1870967741935484,0.012396694214876033,0.0,0,8,betting,K<=5
0.1,14,0,0,0,0,0.0,0.0,0.0,0.0,0,8,betting,5<K<=30
0.1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,8,betting,K>30
0.15,121,34,38,4,34,0.10526315789473684,0.21935483870967742,0.02066115702479339,0.0,0,8,betting,K<=5
0.15,14,1,5,0,5,0.0,0.07462686567164178,0.0,0.0,0,8,betting,5<K<=30
0.15,1,0,0,0,0,0.0,0.0,0.0,0.0,0,8,betting,K>30
0.2,121,35,39,4,35,0.10256410256410256,0.22580645161290322,0.02066115702479339,0.0,0,8,betting,K<=5
0.2,14,1,5,0,5,0.0,0.07462686567164178,0.0,0.0,0,8,betting,5<K<=30
0.2,1,0,0,0,0,0.0,0.0,0.0,0.0,0,8,betting,K>30
0.05,124,23,24,0,24,0.0,0.14906832298136646,0.0,0.0,0,9,betting,K<=5
0.05,11,0,0,0,0,0.0,0.0,0.0,0.0,0,9,betting,5<K<=30
0.05,1,0,0,0,0,0.0,0.0,0.0,0.0,0,9,betting,K>30
0.1,124,31,32,1,31,0.03125,0.19254658385093168,0.008064516129032258,0.0,0,9,betting,K<=5
0.1,11,2,4,1,3,0.25,0.03260869565217391,0.045454545454545456,0.0,0,9,betting,5<K<=30
0.1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,9,betting,K>30
0.15,124,33,34,1,33,0.029411764705882353,0.20496894409937888,0.008064516129032258,0.0,0,9,betting,K<=5
0.15,11,4,10,1,9,0.1,0.09782608695652174,0.045454545454545456,0.0,0,9,betting,5<K<=30
0.15,1,0,0,0,0,0.0,0.0,0.0,0.0,0,9,betting,K>30
0.2,124,33,34,1,33,0.029411764705882353,0.20496894409937888,0.008064516129032258,0.0,0,9,betting,K<=5
0.2,11,5,13,1,12,0.07692307692307693,0.13043478260869565,0.045454545454545456,0.0,0,9,betting,5<K<=30
0.2,1,1,5,3,2,0.6,0.15384615384615385,0.6,0.0,0,9,betting,K>30
0.05,127,0,0,0,0,0.0,0.0,0.0,0.0,0,10,betting,K<=5
0.05,8,0,0,0,0,0.0,0.0,0.0,0.0,0,10,betting,5<K<=30
0.05,1,0,0,0,0,0.0,0.0,0.0,0.0,0,10,betting,K>30
0.1,127,25,29,1,28,0.034482758620689655,0.18791946308724833,0.007874015748031496,0.0,0,10,betting,K<=5
0.1,8,0,0,0,0,0.0,0.0,0.0,0.0,0,10,betting,5<K<=30
0.1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,10,betting,K>30
0.15,127,32,36,1,35,0.027777777777777776,0.2348993288590604,0.007874015748031496,0.0,0,10,betting,K<=5
0.15,8,1,3,0,3,0.0,0.06976744186046512,0.0,0.0,0,10,betting,5<K<=30
0.15,1,0,0,0,0,0.0,0.0,0.0,0.0,0,10,betting,K>30
0.2,127,34,38,1,37,0.02631578947368421,0.2483221476510067,0.007874015748031496,0.0,0,10,betting,K<=5
0.2,8,2,5,0,5,0.0,0.11627906976744186,0.0,0.0,0,10,betting,5<K<=30
0.2,1,0,0,0,0,0.0,0.0,0.0,0.0,0,10,betting,K>30
0.05,131,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,K<=5
0.05,1,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,K>30
0.05,4,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,5<K<=30
0.1,131,13,14,0,14,0.0,0.08139534883720931,0.0,0.0,0,11,betting,K<=5
0.1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,K>30
0.1,4,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,5<K<=30
0.15,131,25,26,1,25,0.038461538461538464,0.14534883720930233,0.007633587786259542,0.0,0,11,betting,K<=5
0.15,1,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,K>30
0.15,4,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,5<K<=30
0.2,131,29,30,1,29,0.03333333333333333,0.1686046511627907,0.007633587786259542,0.0,0,11,betting,K<=5
0.2,1,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,K>30
0.2,4,0,0,0,0,0.0,0.0,0.0,0.0,0,11,betting,5<K<=30
0.05,126,16,16,0,16,0.0,0.1032258064516129,0.0,0.0,0,12,betting,K<=5
0.05,9,0,0,0,0,0.0,0.0,0.0,0.0,0,12,betting,5<K<=30
0.05,1,0,0,0,0,0.0,0.0,0.0,0.0,0,12,betting,K>30
0.1,126,21,24,1,23,0.041666666666666664,0.14838709677419354,0.003968253968253968,0.0,0,12,betting,K<=5
0.1,9,0,0,0,0,0.0,0.0,0.0,0.0,0,12,betting,5<K<=30
0.1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,12,betting,K>30
0.15,126,25,28,1,27,0.03571428571428571,0.17419354838709677,0.003968253968253968,0.0,0,12,betting,K<=5
0.15,9,1,3,0,3,0.0,0.05172413793103448,0.0,0.0,0,12,betting,5<K<=30
0.15,1,0,0,0,0,0.0,0.0,0.0,0.0,0,12,betting,K>30
0.2,126,28,31,1,30,0.03225806451612903,0.1935483870967742,0.003968253968253968,0.0,0,12,betting,K<=5
0.2,9,1,3,0,3,0.0,0.05172413793103448,0.0,0.0,0,12,betting,5<K<=30
0.2,1,0,0,0,0,0.0,0.0,0.0,0.0,0,12,betting,K>30
0.05,124,0,0,0,0,0.0,0.0,0.0,0.0,0,13,betting,K<=5
0.05,11,0,0,0,0,0.0,0.0,0.0,0.0,0,13,betting,5<K<=30
0.05,1,0,0,0,0,0.0,0.0,0.0,0.0,0,13,betting,K>30
0.1,124,15,17,1,16,0.058823529411764705,0.10810810810810811,0.008064516129032258,0.0,0,13,betting,K<=5
0.1,11,1,4,0,4,0.0,0.09090909090909091,0.0,0.0,0,13,betting,5<K<=30
0.1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,13,betting,K>30
0.15,124,26,29,2,27,0.06896551724137931,0.18243243243243243,0.016129032258064516,0.0,0,13,betting,K<=5
0.15,11,1,4,0,4,0.0,0.09090909090909091,0.0,0.0,0,13,betting,5<K<=30
0.15,1,0,0,0,0,0.0,0.0,0.0,0.0,0,13,betting,K>30
0.2,124,30,33,2,31,0.06060606060606061,0.20945945945945946,0.016129032258064516,0.0,0,13,betting,K<=5
0.2,11,1,4,0,4,0.0,0.09090909090909091,0.0,0.0,0,13,betting,5<K<=30
0.2,1,0,0,0,0,0.0,0.0,0.0,0.0,0,13,betting,K>30
0.05,126,0,0,0,0,0.0,0.0,0.0,0.0,0,14,betting,K<=5
0.05,10,0,0,0,0,0.0,0.0,0.0,0.0,0,14,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,0.0,0,14,betting,K>30
0.1,126,10,11,0,11,0.0,0.06832298136645963,0.0,0.0,0,14,betting,K<=5
0.1,10,0,0,0,0,0.0,0.0,0.0,0.0,0,14,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,14,betting,K>30
0.15,126,18,21,0,21,0.0,0.13043478260869565,0.0,0.0,0,14,betting,K<=5
0.15,10,0,0,0,0,0.0,0.0,0.0,0.0,0,14,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,0.0,0,14,betting,K>30
0.2,126,23,26,0,26,0.0,0.16149068322981366,0.0,0.0,0,14,betting,K<=5
0.2,10,1,2,0,2,0.0,0.034482758620689655,0.0,0.0,0,14,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,14,betting,K>30
0.05,127,0,0,0,0,0.0,0.0,0.0,0.0,0,15,betting,K<=5
0.05,9,0,0,0,0,0.0,0.0,0.0,0.0,0,15,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15,betting,K>30
0.1,127,21,25,0,25,0.0,0.14124293785310735,0.0,0.0,0,15,betting,K<=5
0.1,9,0,0,0,0,0.0,0.0,0.0,0.0,0,15,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15,betting,K>30
0.15,127,26,31,1,30,0.03225806451612903,0.1694915254237288,0.003937007874015748,0.0,0,15,betting,K<=5
0.15,9,0,0,0,0,0.0,0.0,0.0,0.0,0,15,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15,betting,K>30
0.2,127,28,33,1,32,0.030303030303030304,0.1807909604519774,0.003937007874015748,0.0,0,15,betting,K<=5
0.2,9,1,10,1,9,0.1,0.15,0.011111111111111112,0.0,0,15,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15,betting,K>30
0.05,122,22,24,2,22,0.08333333333333333,0.14193548387096774,0.01639344262295082,0.0,0,16,betting,K<=5
0.05,13,1,2,0,2,0.0,0.02564102564102564,0.0,0.0,0,16,betting,5<K<=30
0.05,1,1,5,0,5,0.0,0.16666666666666666,0.0,0.0,0,16,betting,K>30
0.1,122,22,24,2,22,0.08333333333333333,0.14193548387096774,0.01639344262295082,0.0,0,16,betting,K<=5
0.1,13,2,3,0,3,0.0,0.038461538461538464,0.0,0.0,0,16,betting,5<K<=30
0.1,1,1,5,0,5,0.0,0.16666666666666666,0.0,0.0,0,16,betting,K>30
0.15,122,40,47,3,44,0.06382978723404255,0.2838709677419355,0.02459016393442623,0.0,0,16,betting,K<=5
0.15,13,3,4,0,4,0.0,0.05128205128205128,0.0,0.0,0,16,betting,5<K<=30
