alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,threshold,cal_loss,cal_bound,cal_rejections,cal_fp,cal_tp,seed,method
0.1,251,168,380,123,257,0.3236842105263158,0.5827664399092971,0.14251504361066114,0.2141110301017761,0.09572857031258718,0.09931694900182295,343,84,259,14,scoregate_family_crc
0.15,251,197,580,237,343,0.4086206896551724,0.7777777777777778,0.1893926937751639,0.1678824871778488,0.14500683375709586,0.1483996637818693,495,158,337,14,scoregate_family_crc
0.2,251,203,691,326,365,0.4717800289435601,0.8276643990929705,0.22565515884006626,0.140319749712944,0.19675583380762665,0.19994331065759638,599,235,364,14,scoregate_family_crc
0.05,251,103,140,23,117,0.16428571428571428,0.28536585365853656,0.059096945551128814,0.3357108831405639,0.04426737494466578,0.04805996472663139,169,25,144,15,scoregate_family_crc
0.1,251,146,243,55,188,0.22633744855967078,0.4585365853658537,0.09845380383228988,0.2499097287654876,0.09472592720903823,0.09831828464074839,321,88,233,15,scoregate_family_crc
0.15,251,182,358,95,263,0.26536312849162014,0.6414634146341464,0.1239391639790046,0.198302686214447,0.14618695156420414,0.1495750985818065,494,164,330,15,scoregate_family_crc
0.2,251,202,499,175,324,0.35070140280561124,0.7902439024390244,0.19190322736139467,0.1487350761890411,0.19327244287148915,0.1964737427013642,684,290,394,15,scoregate_family_crc
0.05,251,95,142,26,116,0.18309859154929578,0.2654462242562929,0.05433820274457724,0.3450151681900024,0.04309428950863214,0.046891534391534394,168,23,145,16,scoregate_family_crc
0.1,251,150,316,85,231,0.2689873417721519,0.528604118993135,0.09883481945234934,0.2441878616809845,0.09421836463669134,0.09781273620559336,272,63,209,16,scoregate_family_crc
0.15,251,198,513,173,340,0.33723196881091616,0.7780320366132724,0.14491528878655294,0.1748781055212021,0.14566826489137247,0.14905847018942256,477,135,342,16,scoregate_family_crc
0.2,251,217,661,281,380,0.42511346444780634,0.8695652173913043,0.21995155022047452,0.1289611458778381,0.19677308083682588,0.19996048924620355,608,229,379,16,scoregate_family_crc
0.05,251,108,176,40,136,0.22727272727272727,0.3076923076923077,0.05942895086321381,0.3497714698314667,0.04512857660268019,0.048917748917748916,154,33,121,17,scoregate_family_crc
0.1,251,143,271,81,190,0.2988929889298893,0.4298642533936652,0.09377727186492127,0.2574544548988342,0.09638416032838343,0.09996993746993747,264,76,188,17,scoregate_family_crc
0.15,251,178,401,131,270,0.3266832917705736,0.6108597285067874,0.12316910623683533,0.2067872136831283,0.14519871452142366,0.14859078311459262,398,134,264,17,scoregate_family_crc
0.2,251,204,624,272,352,0.4358974358974359,0.7963800904977375,0.19831379387642414,0.146819606423378,0.19620947445648643,0.19939911939911942,590,238,352,17,scoregate_family_crc
0.05,251,91,131,24,107,0.183206106870229,0.25476190476190474,0.044322709163346616,0.3481461405754089,0.04276228419654715,0.04656084656084657,154,24,130,18,scoregate_family_crc
0.1,251,168,340,101,239,0.29705882352941176,0.569047619047619,0.12237136111638104,0.2268601804971695,0.09563905549961327,0.09922778940636083,320,80,240,18,scoregate_family_crc
0.15,251,192,477,168,309,0.3522012578616352,0.7357142857142858,0.15333629407334584,0.1818625628948211,0.1462615711502517,0.1496494220583856,457,141,316,18,scoregate_family_crc
0.2,251,203,608,263,345,0.43256578947368424,0.8214285714285714,0.20750862379641383,0.1455892324447631,0.19679364200104765,0.19998096881850383,597,223,374,18,scoregate_family_crc
0.05,251,138,244,63,181,0.2581967213114754,0.434052757793765,0.08912761651805477,0.2815870642662048,0.04601593625498007,0.0498015873015873,173,31,142,19,scoregate_family_crc
0.1,251,194,454,158,296,0.34801762114537443,0.709832134292566,0.14576745742084388,0.1894403100013733,0.09598954608914767,0.09957688916022249,365,81,284,19,scoregate_family_crc
0.15,251,212,588,238,350,0.40476190476190477,0.8393285371702638,0.18792335026870569,0.1501493453979492,0.14585668868537394,0.14924614626995578,472,142,330,19,scoregate_family_crc
0.2,251,218,736,369,367,0.501358695652174,0.8800959232613909,0.23270277571355083,0.1142297387123107,0.19313381773279029,0.19633566766242208,564,209,355,19,scoregate_family_crc
