alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,threshold,cal_loss,cal_bound,cal_rejections,cal_fp,cal_tp,seed,method
0.15,537,246,809,392,417,0.484548825710754,0.5923295454545454,0.14676229043780353,0.2776086330413818,0.1461702298869568,0.14775727406932304,562,194,368,6,scoregate_family_crc
0.2,537,277,1002,549,453,0.5479041916167665,0.6434659090909091,0.21606224153289558,0.2285252064466476,0.19700971686926624,0.19850226386393302,728,316,412,6,scoregate_family_crc
0.05,537,167,320,55,265,0.171875,0.41732283464566927,0.03407556602844433,0.4280168414115906,0.04641868063655773,0.04819113662050465,350,85,265,7,scoregate_family_crc
0.1,537,199,462,141,321,0.3051948051948052,0.5055118110236221,0.08266136701890892,0.3392950892448425,0.0975145081582923,0.09919199048513562,602,266,336,7,scoregate_family_crc
0.15,537,220,594,233,361,0.39225589225589225,0.568503937007874,0.12328296315726482,0.287862628698349,0.14688062299794144,0.1484663467470159,782,394,388,7,scoregate_family_crc
0.2,537,244,742,353,389,0.4757412398921833,0.6125984251968504,0.17447240283364535,0.24573814868927,0.1984213832963279,0.19991130637570279,945,525,420,7,scoregate_family_crc
0.05,537,189,391,111,280,0.28388746803069054,0.3977272727272727,0.04256820667435192,0.4027898609638214,0.04622573428198549,0.0479985489022792,377,76,301,8,scoregate_family_crc
0.1,537,228,653,306,347,0.4686064318529862,0.4928977272727273,0.11484375621879575,0.3075199723243713,0.09571514767045493,0.097395974533521,532,164,368,8,scoregate_family_crc
0.15,537,257,908,519,389,0.5715859030837004,0.5525568181818182,0.17540278267423454,0.2552309930324554,0.1473362341844651,0.14892111107259803,655,253,402,8,scoregate_family_crc
0.2,537,270,1043,632,411,0.6059443911792906,0.5838068181818182,0.2052050771510399,0.2301040291786193,0.1982098557866714,0.19970017203985604,756,330,426,8,scoregate_family_crc
0.05,537,166,350,77,273,0.22,0.37916666666666665,0.04864950472903152,0.4292454719543457,0.045550848902804204,0.047324917956888216,298,68,230,9,scoregate_family_crc
