prompt,count,mean,std,min,max,q50,q90,q99
oven,132,0.10492057598788626,0.07942175301074748,0.0506574511528015,0.579050600528717,0.07980901375412935,0.16451074928045276,0.4543596747517583
handbag,715,0.10430040365228282,0.07459183717279147,0.0500294752418994,0.6027741432189941,0.0773812234401702,0.18757808506488796,0.42583041250705717
bus,220,0.10364807207476004,0.06917719664856685,0.0501411296427249,0.5885277390480042,0.07944475114345545,0.17524167150259012,0.34306598246097564
motorcycle,196,0.10355361269748938,0.06370907745523047,0.0504017174243927,0.4163309037685394,0.07882067561149594,0.1846056655049324,0.32846610397100473
elephant,223,0.10348535188778629,0.07527197135518153,0.0500247329473495,0.5413388609886169,0.0767285153269767,0.18245823681354525,0.3788632363080978
bicycle,186,0.10296779636654158,0.06774833042021064,0.0500998497009277,0.4260798990726471,0.0771934613585472,0.1899551451206207,0.3922608718276024
cup,506,0.10279970156698826,0.07429080467495248,0.050051212310791,0.7028016448020935,0.075774285942316,0.18994984030723572,0.38875261545181267
sink,184,0.10271801558606647,0.06802202230875395,0.0500104464590549,0.5215672850608826,0.07689791172742841,0.1820821031928063,0.3670087856054305
bed,216,0.10194291765974071,0.06641068478915596,0.0500110238790512,0.4425864815711975,0.07799705862998954,0.20433495193719858,0.34013607352972014
skateboard,173,0.10122626296357608,0.07955071021625483,0.0506524816155433,0.6855052709579468,0.0778600424528122,0.1595439732074738,0.41311601996421815
frisbee,129,0.10108451097626091,0.07219478069722884,0.0501743666827678,0.498148649930954,0.0742812231183052,0.17416763305664065,0.4108771049976347
wine glass,159,0.10108445540257965,0.08133796689876228,0.0503038354218006,0.5697303414344788,0.0711396187543869,0.18177924156188965,0.4676031357049936
cell phone,209,0.10100453662458786,0.0873118735674751,0.0502421371638774,0.8078244924545288,0.0734925270080566,0.17301239371299756,0.4666978728771188
skis,450,0.10067882177730397,0.0609843502571152,0.0501770004630088,0.4529177844524383,0.0776427201926708,0.18233814388513558,0.3454604089260101
book,844,0.10043578982459138,0.05883201671713876,0.0500232093036174,0.4110159873962402,0.0803533755242824,0.16555928587913515,0.36086368024349147
boat,768,0.09976267537664774,0.06421833126899071,0.0500053614377975,0.4935470521450043,0.0758060812950134,0.17995497435331345,0.35532592535018925
car,1082,0.09967125512232618,0.06422123675403892,0.0500224269926548,0.4986639022827148,0.0770114585757255,0.16662891656160347,0.37639303922653217
donut,178,0.09957100111949306,0.07268077072540552,0.0500583089888095,0.5666587352752686,0.071793258190155,0.1749744579195978,0.34671212494373316
dog,131,0.09917835558530025,0.05964216829593922,0.0502563379704952,0.374609887599945,0.0760008096694946,0.1706637591123581,0.30918858349323264
bench,788,0.09841601335476645,0.06801647257060314,0.0500455945730209,0.5324450731277466,0.07288312911987299,0.17946188598871235,0.40876681596040715
traffic light,318,0.09829561514252758,0.0651523279504698,0.050089806318283,0.5839423537254333,0.0750794447958469,0.1804950565099716,0.32946078062057477
spoon,246,0.09821647204216413,0.06445371992436738,0.0500577799975872,0.4569025337696075,0.07531204447150225,0.1681556180119514,0.38728972822427815
train,292,0.09802592094120094,0.05852964840762869,0.0501756891608238,0.4744382798671722,0.07687903940677634,0.17201154977083208,0.3202872622013083
stop sign,128,0.09791906442842442,0.05673444605123123,0.0501442477107048,0.3339816629886627,0.07592833042144775,0.17307969331741324,0.30435102194547664
backpack,422,0.09764481235242563,0.0665940094803707,0.0500102825462818,0.4812934398651123,0.07445283606648445,0.1653571546077728,0.42581566005945226
surfboard,161,0.0976008420451457,0.06521451557697325,0.0508191920816898,0.5014053583145142,0.0691782236099243,0.1688025295734405,0.350914239883423
sandwich,97,0.09749668060811521,0.05332603965429351,0.050237838178873,0.3725259900093078,0.0777291804552078,0.1591816484928131,0.31377182245254465
hair drier,44,0.09729240165854038,0.05270704223515664,0.0501497723162174,0.3038622736930847,0.0828464142978191,0.16723804026842123,0.26729829534888266
airplane,175,0.09709298644747048,0.06308101241824324,0.0500278547406196,0.437787115573883,0.0736196935176849,0.15799113214015958,0.34458277404308224
toaster,71,0.09693396710593932,0.04974747284577012,0.0500258542597293,0.2324285358190536,0.0743245854973793,0.1725320219993591,0.22825937122106546
tv,109,0.09654571351791737,0.05822530718197603,0.0505150631070137,0.3206698596477508,0.0733274668455123,0.18374161422252658,0.31226997375488286
fork,238,0.09607615993366017,0.05602351598542362,0.0502065047621727,0.4201075434684753,0.0772398635745048,0.1574422866106034,0.34368679672479624
tie,390,0.09511164508951013,0.06383869348355667,0.0500007905066013,0.4120920300483703,0.069259013980627,0.17136389613151548,0.38508342117071154
giraffe,119,0.09499768865834761,0.05002756452564949,0.0500256568193435,0.276062935590744,0.0765140801668167,0.15863981544971464,0.248495416343212
truck,953,0.09471280716461246,0.051514626265698464,0.0500023141503334,0.3856580555438995,0.0758757665753364,0.16032494604587552,0.298143310546875
dining table,271,0.09468223744267903,0.06135821225360359,0.0500625520944595,0.4018633961677551,0.0730648636817932,0.1547316610813141,0.3569067537784577
mouse,84,0.09454826207920194,0.07090442768722008,0.050142616033554,0.53365558385849,0.06943452730774874,0.15654057413339612,0.42467346519231813
umbrella,351,0.09396763106654168,0.0650741434435389,0.050615482032299,0.711214005947113,0.0728862285614013,0.1580341607332229,0.3476907014846802
kite,173,0.09379554292283991,0.058090733349412726,0.05012808740139,0.4744056165218353,0.076125368475914,0.15255489349365234,0.3296825778484346
bottle,533,0.09246001392602916,0.057680067164139676,0.0501268208026886,0.4606910049915313,0.071362167596817,0.15802700221538543,0.36895384311675916
remote,256,0.09234596049645911,0.04967799722790803,0.0501291006803512,0.3680492341518402,0.07457241415977475,0.15882273018360135,0.27706208825111384
scissors,128,0.0917421536869369,0.05146675117558466,0.0502495318651199,0.3263408243656158,0.07339359447360036,0.14755242317914954,0.26763287186622614
knife,250,0.09124320703744884,0.05725853565032879,0.0501334890723228,0.4421708881855011,0.07323060184717176,0.14824747741222374,0.3602124395966529
baseball bat,87,0.09025815369068887,0.05462800829949295,0.0502065196633338,0.3458765745162964,0.0703932419419288,0.1421134322881698,0.2977167332172394
cake,215,0.08995151060611697,0.056250104733672014,0.0500232465565204,0.4872821569442749,0.0700573623180389,0.1488190442323684,0.31706181526184046
tennis racket,130,0.08979454983312346,0.046451433182659416,0.0500293746590614,0.2741961479187011,0.07359029352664945,0.15952682197093965,0.2611787109076974
baseball glove,181,0.08892858450337006,0.049192231706217185,0.0500568188726902,0.4796168506145477,0.0719610676169395,0.1437488347291946,0.25572437047958335
sports ball,145,0.0868886796564891,0.038835388101604425,0.0506919175386428,0.3158126473426819,0.0739256963133812,0.13212287425994867,0.23878165721893324
bird,242,0.08607679633192775,0.04767119350714647,0.0503498949110507,0.34234419465065,0.0706820897758007,0.1320476785302162,0.29003237783908853
