alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method
0.1,210,0,0,0,0,0.0,0.0,0.0,0.3,462.0,9,binary
0.15,210,0,0,0,0,0.0,0.0,0.0,0.3,462.0,9,binary
0.2,210,0,0,0,0,0.0,0.0,0.0,0.3,462.0,9,binary
0.05,210,109,161,8,153,0.049689440993788817,0.3686746987951807,0.017857142857142856,0.3,,9,pvalue_bh
0.1,210,133,215,18,197,0.08372093023255814,0.4746987951807229,0.04910779696493982,0.3,,9,pvalue_bh
0.15,210,152,249,25,224,0.10040160642570281,0.5397590361445783,0.06875065410779696,0.3,,9,pvalue_bh
0.2,210,160,297,48,249,0.16161616161616163,0.6,0.09825963718820861,0.3,,9,pvalue_bh
0.05,210,21,24,0,24,0.0,0.05263157894736842,0.0,0.3,465.0,10,betting
0.1,210,75,94,2,92,0.02127659574468085,0.20175438596491227,0.007142857142857143,0.3,465.0,10,betting
0.15,210,97,143,6,137,0.04195804195804196,0.30043859649122806,0.01380952380952381,0.3,465.0,10,betting
0.2,210,119,180,9,171,0.05,0.375,0.025714285714285717,0.3,465.0,10,betting
0.05,210,0,0,0,0,0.0,0.0,0.0,0.3,465.0,10,binary
0.1,210,0,0,0,0,0.0,0.0,0.0,0.3,465.0,10,binary
0.15,210,0,0,0,0,0.0,0.0,0.0,0.3,465.0,10,binary
0.2,210,0,0,0,0,0.0,0.0,0.0,0.3,465.0,10,binary
0.05,210,119,167,7,160,0.041916167664670656,0.3508771929824561,0.023809523809523808,0.3,,10,pvalue_bh
0.1,210,148,245,17,228,0.06938775510204082,0.5,0.04801587301587302,0.3,,10,pvalue_bh
0.15,210,167,351,59,292,0.16809116809116809,0.6403508771929824,0.07109310390822994,0.3,,10,pvalue_bh
0.2,210,184,468,128,340,0.27350427350427353,0.7456140350877193,0.11959177790588212,0.3,,10,pvalue_bh
0.05,210,58,70,2,68,0.02857142857142857,0.16113744075829384,0.003968253968253968,0.3,452.0,11,betting
0.1,210,88,120,5,115,0.041666666666666664,0.2725118483412322,0.018253968253968255,0.3,452.0,11,betting
0.15,210,104,155,12,143,0.07741935483870968,0.33886255924170616,0.04027777777777777,0.3,452.0,11,betting
0.2,210,113,176,14,162,0.07954545454545454,0.38388625592417064,0.04424603174603174,0.3,452.0,11,betting
0.05,210,105,158,11,147,0.06962025316455696,0.34834123222748814,0.03571428571428571,0.3,452.0,11,binary
0.1,210,127,209,19,190,0.09090909090909091,0.45023696682464454,0.05916305916305916,0.3,452.0,11,binary
0.15,210,152,267,36,231,0.1348314606741573,0.54739336492891,0.08535353535353535,0.3,452.0,11,binary
0.2,210,165,335,70,265,0.208955223880597,0.6279620853080569,0.11276581605528975,0.3,452.0,11,binary
0.05,210,134,240,31,209,0.12916666666666668,0.495260663507109,0.060414428929466524,0.3,,11,pvalue_bh
0.1,210,148,301,48,253,0.15946843853820597,0.5995260663507109,0.07904425323780163,0.3,,11,pvalue_bh
0.15,210,166,356,72,284,0.20224719101123595,0.6729857819905213,0.10076358826358826,0.3,,11,pvalue_bh
0.2,210,171,391,94,297,0.24040920716112532,0.7037914691943128,0.1193764603129928,0.3,,11,pvalue_bh
0.05,210,25,26,0,26,0.0,0.06860158311345646,0.0,0.3,308.0,12,betting
0.1,210,58,69,1,68,0.014492753623188406,0.17941952506596306,0.004761904761904762,0.3,308.0,12,betting
0.15,210,86,105,2,103,0.01904761904761905,0.2717678100263852,0.009523809523809525,0.3,308.0,12,betting
0.2,210,93,114,4,110,0.03508771929824561,0.29023746701846964,0.016666666666666666,0.3,308.0,12,betting
0.05,210,0,0,0,0,0.0,0.0,0.0,0.3,308.0,12,binary
0.1,210,0,0,0,0,0.0,0.0,0.0,0.3,308.0,12,binary
0.15,210,0,0,0,0,0.0,0.0,0.0,0.3,308.0,12,binary
0.2,210,0,0,0,0,0.0,0.0,0.0,0.3,308.0,12,binary
0.05,210,122,177,9,168,0.05084745762711865,0.44327176781002636,0.02619047619047619,0.3,,12,pvalue_bh
0.1,210,138,219,15,204,0.0684931506849315,0.5382585751978892,0.03215419501133787,0.3,,12,pvalue_bh
0.15,210,147,252,26,226,0.10317460317460317,0.5963060686015831,0.0488988788988789,0.3,,12,pvalue_bh
0.2,210,156,290,45,245,0.15517241379310345,0.6464379947229552,0.06822751322751322,0.3,,12,pvalue_bh
0.05,210,54,63,2,61,0.031746031746031744,0.17994100294985252,0.004761904761904762,0.3,316.0,13,betting
0.1,210,77,98,2,96,0.02040816326530612,0.2831858407079646,0.004761904761904762,0.3,316.0,13,betting
0.15,210,90,118,4,114,0.03389830508474576,0.336283185840708,0.011904761904761904,0.3,316.0,13,betting
0.2,210,108,144,5,139,0.034722222222222224,0.41002949852507375,0.013095238095238096,0.3,316.0,13,betting
0.05,210,0,0,0,0,0.0,0.0,0.0,0.3,316.0,13,binary
0.1,210,0,0,0,0,0.0,0.0,0.0,0.3,316.0,13,binary
0.15,210,0,0,0,0,0.0,0.0,0.0,0.3,316.0,13,binary
0.2,210,0,0,0,0,0.0,0.0,0.0,0.3,316.0,13,binary
0.05,210,127,187,11,176,0.058823529411764705,0.5191740412979351,0.02857142857142857,0.3,,13,pvalue_bh
0.1,210,142,219,25,194,0.1141552511415525,0.5722713864306784,0.06122448979591837,0.3,,13,pvalue_bh
0.15,210,156,258,35,223,0.13565891472868216,0.6578171091445427,0.08520408163265307,0.3,,13,pvalue_bh
0.2,210,161,276,42,234,0.15217391304347827,0.6902654867256637,0.09637319030176172,0.3,,13,pvalue_bh
0.05,210,46,49,0,49,0.0,0.14040114613180515,0.0,0.3,358.0,14,betting
0.1,210,70,80,1,79,0.0125,0.22636103151862463,0.004761904761904762,0.3,358.0,14,betting
0.15,210,89,107,4,103,0.037383177570093455,0.29512893982808025,0.016666666666666666,0.3,358.0,14,betting
0.2,210,94,120,6,114,0.05,0.32664756446991405,0.023809523809523808,0.3,358.0,14,betting
0.05,210,0,0,0,0,0.0,0.0,0.0,0.3,358.0,14,binary
0.1,210,0,0,0,0,0.0,0.0,0.0,0.3,358.0,14,binary
0.15,210,0,0,0,0,0.0,0.0,0.0,0.3,358.0,14,binary
0.2,210,0,0,0,0,0.0,0.0,0.0,0.3,358.0,14,binary
0.05,210,120,174,15,159,0.08620689655172414,0.45558739255014324,0.04841269841269841,0.3,,14,pvalue_bh
0.1,210,141,224,25,199,0.11160714285714286,0.5702005730659025,0.07142857142857142,0.3,,14,pvalue_bh
0.15,210,157,273,44,229,0.16117216117216118,0.6561604584527221,0.11761904761904761,0.3,,14,pvalue_bh
0.2,210,169,432,171,261,0.3958333333333333,0.7478510028653295,0.15940115440115438,0.3,,14,pvalue_bh
0.05,210,33,34,1,33,0.029411764705882353,0.1064516129032258,0.004761904761904762,0.3,285.0,15,betting
0.1,210,74,85,1,84,0.011764705882352941,0.2709677419354839,0.004761904761904762,0.3,285.0,15,betting
0.15,210,92,111,2,109,0.018018018018018018,0.35161290322580646,0.007142857142857143,0.3,285.0,15,betting
0.2,210,104,128,4,124,0.03125,0.4,0.013095238095238096,0.3,285.0,15,betting
0.05,210,0,0,0,0,0.0,0.0,0.0,0.3,285.0,15,binary
0.1,210,0,0,0,0,0.0,0.0,0.0,0.3,285.0,15,binary
0.15,210,0,0,0,0,0.0,0.0,0.0,0.3,285.0,15,binary
0.2,210,0,0,0,0,0.0,0.0,0.0,0.3,285.0,15,binary
0.05,210,131,169,12,157,0.07100591715976332,0.5064516129032258,0.04007936507936508,0.3,,15,pvalue_bh
0.1,210,144,203,22,181,0.10837438423645321,0.5838709677419355,0.06103174603174603,0.3,,15,pvalue_bh
0.15,210,158,238,32,206,0.13445378151260504,0.6645161290322581,0.088015873015873,0.3,,15,pvalue_bh
0.2,210,170,272,45,227,0.16544117647058823,0.7322580645161291,0.11488095238095236,0.3,,15,pvalue_bh
0.05,210,29,32,2,30,0.0625,0.07556675062972293,0.004761904761904762,0.3,525.0,16,betting
0.1,210,68,78,3,75,0.038461538461538464,0.1889168765743073,0.009523809523809525,0.3,525.0,16,betting
0.15,210,83,102,3,99,0.029411764705882353,0.24937027707808565,0.009523809523809525,0.3,525.0,16,betting
0.2,210,94,125,4,121,0.032,0.3047858942065491,0.011904761904761904,0.3,525.0,16,betting
0.05,210,0,0,0,0,0.0,0.0,0.0,0.3,525.0,16,binary
0.1,210,0,0,0,0,0.0,0.0,0.0,0.3,525.0,16,binary
0.15,210,0,0,0,0,0.0,0.0,0.0,0.3,525.0,16,binary
0.2,210,0,0,0,0,0.0,0.0,0.0,0.3,525.0,16,binary
0.05,210,120,193,18,175,0.09326424870466321,0.44080604534005036,0.03220121381886088,0.3,,16,pvalue_bh
0.1,210,132,248,32,216,0.12903225806451613,0.5440806045340051,0.05578306878306879,0.3,,16,pvalue_bh
0.15,210,148,303,53,250,0.17491749174917492,0.6297229219143576,0.09305661658602833,0.3,,16,pvalue_bh
0.2,210,156,336,68,268,0.20238095238095238,0.6750629722921915,0.11569822878646407,0.3,,16,pvalue_bh
0.05,210,19,22,0,22,0.0,0.05641025641025641,0.0,0.3,386.0,17,betting
0.1,210,68,85,3,82,0.03529411764705882,0.21025641025641026,0.014285714285714285,0.3,386.0,17,betting
0.15,210,83,115,4,111,0.034782608695652174,0.2846153846153846,0.014285714285714285,0.3,386.0,17,betting
0.2,210,96,133,4,129,0.03007518796992481,0.33076923076923076,0.014285714285714285,0.3,386.0,17,betting
