alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method
0.1,238,178,294,13,281,0.04421768707482993,0.7635869565217391,0.02700746965452848,0.4,,15,pvalue_bh
0.15,238,189,327,26,301,0.07951070336391437,0.8179347826086957,0.04927637721755369,0.4,,15,pvalue_bh
0.2,238,192,341,33,308,0.0967741935483871,0.8369565217391305,0.0605859010270775,0.4,,15,pvalue_bh
0.05,238,67,82,0,82,0.0,0.22162162162162163,0.0,0.4,297.0,16,betting
0.1,238,106,142,0,142,0.0,0.3837837837837838,0.0,0.4,297.0,16,betting
0.15,238,125,172,1,171,0.005813953488372093,0.46216216216216216,0.0005252100840336134,0.4,297.0,16,betting
0.2,238,140,200,3,197,0.015,0.5324324324324324,0.005777310924369748,0.4,297.0,16,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,297.0,16,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,297.0,16,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,297.0,16,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,0.4,297.0,16,binary
0.05,238,166,254,9,245,0.03543307086614173,0.6621621621621622,0.022175536881419235,0.4,,16,pvalue_bh
0.1,238,177,298,20,278,0.06711409395973154,0.7513513513513513,0.03541083099906629,0.4,,16,pvalue_bh
0.15,238,182,320,31,289,0.096875,0.7810810810810811,0.04742063492063492,0.4,,16,pvalue_bh
0.2,238,189,338,39,299,0.11538461538461539,0.8081081081081081,0.06422735760971054,0.4,,16,pvalue_bh
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,289.0,17,betting
0.1,238,87,116,0,116,0.0,0.30526315789473685,0.0,0.4,289.0,17,betting
0.15,238,127,166,4,162,0.024096385542168676,0.4263157894736842,0.011904761904761904,0.4,289.0,17,betting
0.2,238,138,189,9,180,0.047619047619047616,0.47368421052631576,0.02226890756302521,0.4,289.0,17,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,289.0,17,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,289.0,17,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,289.0,17,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,0.4,289.0,17,binary
0.05,238,144,195,4,191,0.020512820512820513,0.5026315789473684,0.011904761904761904,0.4,,17,pvalue_bh
0.1,238,187,303,23,280,0.07590759075907591,0.7368421052631579,0.05189075630252101,0.4,,17,pvalue_bh
0.15,238,197,345,40,305,0.11594202898550725,0.8026315789473685,0.08627450980392157,0.4,,17,pvalue_bh
0.2,238,201,363,46,317,0.12672176308539945,0.8342105263157895,0.09246880570409982,0.4,,17,pvalue_bh
0.05,238,72,79,0,79,0.0,0.2323529411764706,0.0,0.4,259.0,18,betting
0.1,238,128,152,1,151,0.006578947368421052,0.4441176470588235,0.0008403361344537816,0.4,259.0,18,betting
0.15,238,144,186,4,182,0.021505376344086023,0.5352941176470588,0.00819327731092437,0.4,259.0,18,betting
0.2,238,152,204,4,200,0.0196078431372549,0.5882352941176471,0.00819327731092437,0.4,259.0,18,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,259.0,18,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,259.0,18,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,259.0,18,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,0.4,259.0,18,binary
0.05,238,162,224,5,219,0.022321428571428572,0.6441176470588236,0.00938375350140056,0.4,,18,pvalue_bh
0.1,238,176,267,20,247,0.0749063670411985,0.7264705882352941,0.030652260904361742,0.4,,18,pvalue_bh
0.15,238,187,293,29,264,0.09897610921501707,0.7764705882352941,0.05579231692677071,0.4,,18,pvalue_bh
0.2,238,198,319,39,280,0.12225705329153605,0.8235294117647058,0.07189875950380152,0.4,,18,pvalue_bh
0.05,238,80,99,0,99,0.0,0.2391304347826087,0.0,0.4,233.0,19,betting
0.1,238,130,171,1,170,0.005847953216374269,0.4106280193236715,0.004201680672268907,0.4,233.0,19,betting
0.15,238,152,211,2,209,0.009478672985781991,0.5048309178743962,0.008403361344537815,0.4,233.0,19,betting
0.2,238,167,247,4,243,0.016194331983805668,0.5869565217391305,0.011904761904761904,0.4,233.0,19,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,233.0,19,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,233.0,19,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,233.0,19,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,0.4,233.0,19,binary
0.05,238,178,304,9,295,0.029605263157894735,0.7125603864734299,0.019607843137254898,0.4,,19,pvalue_bh
0.1,238,191,347,18,329,0.05187319884726225,0.7946859903381642,0.03319327731092437,0.4,,19,pvalue_bh
0.15,238,198,370,28,342,0.07567567567567568,0.8260869565217391,0.06008403361344538,0.4,,19,pvalue_bh
0.2,238,201,388,38,350,0.0979381443298969,0.8454106280193237,0.06843737494997999,0.4,,19,pvalue_bh
